,Player,Team,Sal,Opp,Pos,Ceiling,Floor,Own,Week
0,Kristian Wilkerson,BUF,3000,BAL,WR,,,0,1
1,Mitchell Fraboni,DEN,2500,TEN,TE,,,0,1
2,Tyler Conklin,LAC,3100,KC,TE,10.0,1.7,0,1
3,Lamar Jackson,BAL,7300,BUF,QB,36.6,13.4,0,1
4,Carson Wentz,MIN,4000,CHI,QB,,,0,1
5,Hunter Henry,NE,3900,LV,TE,16.3,4.7,0,1
6,Kaleb Johnson,PIT,5300,NYJ,RB,13.3,1.4,0,1
7,Patrick Taylor Jr.,SF,4000,SEA,RB,,,0,1
8,Mark Andrews,BAL,4900,BUF,TE,18.2,5.6,0,1
9,DeAndre Hopkins,BAL,4200,BUF,WR,13.5,2.5,0,1
10,Josh Jacobs,GB,6700,DET,RB,26.4,7.1,0,1
11,Jared Goff,DET,6500,GB,QB,26.3,10.4,0,1
12,Allen Lazard,NYJ,3900,PIT,WR,10.3,1.0,0,1
13,Jauan Jennings,SF,4900,SEA,WR,23.3,8.2,0,1
14,Kene Nwangwu,NYJ,4000,PIT,RB,4.9,,0,1
15,Andrew Beck,NYJ,4000,PIT,RB,3.9,,0,1
16,Christian Watson,GB,4000,DET,WR,,,0,1
17,Justice Hill,BAL,4200,BUF,RB,11.8,1.4,0,1
18,Russell Wilson,NYG,5000,WAS,QB,25.5,8.3,0,1
19,Jimmy Garoppolo,LAR,4400,HOU,QB,,,0,1
20,Jake Browning,CIN,4400,CLE,QB,,,0,1
21,Jakob Johnson,HOU,2500,LAR,TE,,,0,1
22,Dalton Schultz,HOU,3500,LAR,TE,13.0,3.5,0,1
23,Jelani Woods,NYJ,2500,PIT,TE,3.7,,0,1
24,George Holani,SEA,4000,SF,RB,5.2,,0,1
25,Hendon Hooker,CAR,4000,JAX,QB,,,0,1
26,Kalif Raymond,DET,3200,GB,WR,9.2,0.4,0,1
27,Ainias Smith,CAR,3000,JAX,WR,,,0,1
28,Easton Stick,ATL,4000,TB,QB,,,0,1
29,Dayton Wade,BAL,3000,BUF,WR,,,0,1
30,Jackson Hawes,BUF,2500,BAL,TE,3.9,,0,1
31,Tre Watson,KC,2500,LAC,TE,,,0,1
32,Jaleel McLaughlin,DEN,4800,TEN,RB,9.3,,0,1
33,Irv Smith Jr.,HOU,2500,LAR,TE,,,0,1
34,Brock Bowers,LV,6500,NE,TE,24.2,9.7,0,1
35,Nick Mullens,JAX,4300,CAR,QB,,,0,1
36,Irvin Charles,NYJ,3000,PIT,WR,,,0,1
37,Cooper Kupp,SEA,5300,SF,WR,17.3,4.8,0,1
38,Aaron Jones,MIN,5500,CHI,RB,,,0,1
39,Geno Smith,LV,5200,NE,QB,26.0,9.4,0,1
40,Samaje Perine,CIN,4100,CLE,RB,9.7,0.7,0,1
41,Braxton Berrios,HOU,3000,LAR,WR,4.3,,0,1
42,Ben Skowronek,PIT,3000,NYJ,WR,4.9,,0,1
43,Xavier Weaver,ARI,3000,NO,WR,4.5,,0,1
44,Nick Chubb,HOU,5200,LAR,RB,18.1,3.3,0,1
45,Ray-Ray McCloud,ATL,3700,TB,WR,14.0,3.0,0,1
46,Michael Carter,ARI,4100,NO,RB,,,0,1
47,JJ Galbreath,PIT,2500,NYJ,TE,,,0,1
48,Trey Palmer,NO,3000,ARI,WR,4.6,,0,1
49,Will Dissly,LAC,2900,KC,TE,8.6,0.9,0,1
50,Deebo Samuel,WAS,5200,NYG,WR,21.6,5.5,0,1
51,Quinshon Judkins,CLE,5100,CIN,RB,4.9,,0,1
52,David Montgomery,DET,5700,GB,RB,20.2,4.2,0,1
53,Lawrence Cager,WAS,2500,NYG,TE,,,0,1
54,Tony Pollard,TEN,5700,DEN,RB,24.2,7.0,0,1
55,Saquon Barkley,PHI,8200,DAL,RB,30.0,8.6,0,1
56,Drew Lock,SEA,4300,SF,QB,,,0,1
