,Player,Pos,1
0,49ers,DST,2300.0
1,A.J. Brown,WR,7100.0
2,AJ Barner,TE,3600.0
3,AJ Dillon,RB,4000.0
4,Aaron Jones,RB,5300.0
5,Aaron Rodgers,QB,5300.0
6,Adam Prentice,RB,4000.0
7,Adam Randall,RB,4000.0
8,Adam Trautman,TE,2700.0
9,Adonai Mitchell,WR,4000.0
10,Ahmani Marshall,RB,4000.0
11,Aidan O'Connell,QB,4000.0
12,Al-Jay Henderson,RB,4000.0
13,Albert Okwuegbunam Jr.,TE,2500.0
14,Alec Ingold,RB,4000.0
15,Alec Pierce,WR,5700.0
16,Alex Bachman,WR,3000.0
17,Alvin Kamara,RB,4900.0
18,Amar Johnson,RB,4000.0
19,Ameer Abdullah,RB,4000.0
20,Amon-Ra St. Brown,WR,7500.0
21,Anderson Castle,RB,4000.0
22,Andrei Iosivas,WR,3300.0
23,Andrew Armstrong,WR,3000.0
24,Andrew Beck,RB,4000.0
25,Andrew DePaola,TE,2500.0
26,Andy Dalton,QB,4000.0
27,Anthony Gould,WR,3000.0
28,Anthony Richardson Sr.,QB,4900.0
29,Anthony Smith,WR,3000.0
30,Anthony Tyus III,RB,4000.0
31,Antonio Williams,WR,4200.0
32,Antwane Wells Jr.,WR,3000.0
33,Arian Smith,WR,3000.0
34,Ashton Dulin,WR,3200.0
35,Ashton Jeanty,RB,6600.0
36,Athan Kaliakmanis,QB,4000.0
37,Audric Estime,RB,4000.0
38,Austin Hooper,TE,2700.0
39,Austin Trammell,WR,3000.0
40,Bailey Zappe,QB,4000.0
41,Baker Mayfield,QB,5900.0
42,Bam Knight,RB,4000.0
43,Barion Brown,WR,3000.0
44,Bauer Sharp,TE,2500.0
45,Bears,DST,2800.0
46,Beaux Collins,WR,3000.0
47,Behren Morton,QB,4000.0
48,Ben Mann,TE,2500.0
49,Ben Sims,TE,2500.0
50,Ben Sinnott,TE,2800.0
51,Ben Skowronek,WR,3000.0
52,Ben VanSumeren,RB,4000.0
53,Ben Yurosek,TE,2500.0
54,Bengals,DST,2700.0
55,Bhayshul Tuten,RB,5800.0
56,Bijan Robinson,RB,7700.0
57,Bills,DST,3100.0
58,Blake Corum,RB,5200.0
59,Blake Whiteheart,TE,2500.0
60,Bo Melton,WR,3000.0
61,Bo Nix,QB,5800.0
62,Brady Cook,QB,4000.0
63,Brady Russell,RB,4000.0
64,Braelon Allen,RB,4700.0
65,Brandon Aiyuk,WR,3000.0
66,Brandon Johnson,WR,3000.0
67,Brandon Smith,WR,3000.0
68,Brashard Smith,RB,4000.0
69,Braxton Berrios,WR,3000.0
70,Brayden Willis,TE,2500.0
71,Breece Hall,RB,6200.0
72,Brenen Thompson,WR,3300.0
73,Brennan Presley,WR,3000.0
74,Brenton Strange,TE,3600.0
75,Brevin Jordan,TE,2500.0
76,Brevyn Spann-Ford,TE,2900.0
77,Brian Robinson,RB,4700.0
78,Brian Thomas,WR,5500.0
79,Britain Covey,WR,3000.0
80,British Brooks,RB,4000.0
81,Brittain Brown,RB,4000.0
82,Brock Bowers,TE,6900.0
83,Brock Purdy,QB,5700.0
84,Brock Wright,TE,2900.0
85,Broncos,DST,2900.0
86,Browns,DST,2100.0
87,Bryce Lance,WR,3100.0
88,Bryce Oliver,WR,3000.0
89,Bryce Young,QB,5200.0
90,Brycen Tremayne,WR,3000.0
91,Buccaneers,DST,2600.0
92,Bucky Irving,RB,5700.0
93,C.J. Stroud,QB,5200.0
94,CJ Daniels,WR,3000.0
95,CJ Dippre,TE,2500.0
96,CJ Donaldson,RB,4000.0
97,CJ Williams,WR,3000.0
98,Cade Klubnik,QB,4000.0
99,Cade Otton,TE,3700.0
100,Cade Stover,TE,2500.0
101,Caleb Douglas,WR,3000.0
102,Caleb Lohner,TE,2500.0
103,Caleb Williams,QB,6300.0
104,Calvin Austin,WR,3700.0
105,Calvin Ridley,WR,4500.0
106,Cam Grandy,TE,2500.0
107,Cam Skattebo,RB,5800.0
108,Cam Ward,QB,5100.0
109,Camden Brown,WR,3000.0
110,Cameron Dorner,WR,3000.0
111,Cameron Latu,TE,2500.0
112,Cardinals,DST,2000.0
113,Carlos Washington Jr.,RB,4000.0
114,Carnell Tate,WR,5300.0
115,Carsen Ryan,TE,2500.0
116,Carson Beck,QB,4100.0
117,Carson Steele,RB,4000.0
118,Carson Towt,TE,2500.0
119,Carson Wentz,QB,4000.0
120,Carter Bradley,QB,4000.0
121,Carter Runyon,TE,2500.0
122,Case Keenum,QB,4000.0
123,Casey Washington,WR,3000.0
124,Cash Jones,RB,4000.0
