,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
0,C,Nikola Jokic (40588010),Nikola Jokic,40588010,C/UTIL,11500,NOP@DEN 10/29/2025 09:00PM ET,DEN,65.17
1,PF,Anthony Davis (40588012),Anthony Davis,40588012,PF/F/UTIL,10100,IND@DAL 10/29/2025 08:30PM ET,DAL,51.06
2,PG,Cade Cunningham (40588015),Cade Cunningham,40588015,PG/G/UTIL,9900,ORL@DET 10/29/2025 07:00PM ET,DET,39.25
3,PF,Zion Williamson (40588018),Zion Williamson,40588018,PF/F/UTIL,9700,NOP@DEN 10/29/2025 09:00PM ET,NOP,54.88
4,SG,Donovan Mitchell (40588021),Donovan Mitchell,40588021,SG/G/UTIL,9300,CLE@BOS 10/29/2025 07:00PM ET,CLE,42.62
5,PG,Trae Young (40588024),Trae Young,40588024,PG/G/UTIL,9100,ATL@BKN 10/29/2025 07:30PM ET,ATL,40.06
6,C,Domantas Sabonis (40588027),Domantas Sabonis,40588027,C/UTIL,9000,SAC@CHI 10/29/2025 08:00PM ET,SAC,36.0
7,PG,Josh Giddey (40588029),Josh Giddey,40588029,PG/G/UTIL,8800,SAC@CHI 10/29/2025 08:00PM ET,CHI,42.33
8,PF,Evan Mobley (40588032),Evan Mobley,40588032,PF/F/UTIL,8700,CLE@BOS 10/29/2025 07:00PM ET,CLE,43.81
9,PF,Deni Avdija (40588035),Deni Avdija,40588035,PF/F/UTIL,8500,POR@UTA 10/29/2025 09:00PM ET,POR,39.56
10,PF,Paolo Banchero (40588038),Paolo Banchero,40588038,PF/F/UTIL,8500,ORL@DET 10/29/2025 07:00PM ET,ORL,40.25
11,SF,Jaylen Brown (40588049),Jaylen Brown,40588049,SF/F/UTIL,8400,CLE@BOS 10/29/2025 07:00PM ET,BOS,39.19
12,PF,Pascal Siakam (40588041),Pascal Siakam,40588041,PF/F/UTIL,8400,IND@DAL 10/29/2025 08:30PM ET,IND,52.75
13,C,Nikola Vucevic (40588044),Nikola Vucevic,40588044,C/UTIL,8300,SAC@CHI 10/29/2025 08:00PM ET,CHI,46.08
14,PF,Jalen Johnson (40588046),Jalen Johnson,40588046,PF/F/UTIL,8200,ATL@BKN 10/29/2025 07:30PM ET,ATL,37.25
15,PG,Derrick White (40588061),Derrick White,40588061,PG/G/UTIL,8000,CLE@BOS 10/29/2025 07:00PM ET,BOS,34.12
16,PG,Darius Garland (40588052),Darius Garland,40588052,PG/G/UTIL,7900,CLE@BOS 10/29/2025 07:00PM ET,CLE,0.0
17,PF,DeMar DeRozan (40588055),DeMar DeRozan,40588055,PF/F/UTIL,7800,SAC@CHI 10/29/2025 08:00PM ET,SAC,35.88
18,PG,Jamal Murray (40588058),Jamal Murray,40588058,PG/G/UTIL,7800,NOP@DEN 10/29/2025 09:00PM ET,DEN,49.08
19,SF,Lauri Markkanen (40588064),Lauri Markkanen,40588064,SF/F/UTIL,7700,POR@UTA 10/29/2025 09:00PM ET,UTA,51.5
20,SG,Coby White (40588067),Coby White,40588067,SG/G/UTIL,7600,SAC@CHI 10/29/2025 08:00PM ET,CHI,0.0
21,SF,Zach LaVine (40588070),Zach LaVine,40588070,SF/F/UTIL,7600,SAC@CHI 10/29/2025 08:00PM ET,SAC,35.75
22,SF/PF,Franz Wagner (40588073),Franz Wagner,40588073,SF/PF/F/UTIL,7500,ORL@DET 10/29/2025 07:00PM ET,ORL,36.44
23,SG,Trey Murphy III (40588077),Trey Murphy III,40588077,SG/G/UTIL,7400,NOP@DEN 10/29/2025 09:00PM ET,NOP,33.17
24,C,Kristaps Porzingis (40588080),Kristaps Porzingis,40588080,C/UTIL,7000,ATL@BKN 10/29/2025 07:30PM ET,ATL,35.12
25,SG,Shaedon Sharpe (40588084),Shaedon Sharpe,40588084,SG/G/UTIL,6900,POR@UTA 10/29/2025 09:00PM ET,POR,27.88
26,C,Jalen Duren (40588082),Jalen Duren,40588082,C/UTIL,6900,ORL@DET 10/29/2025 07:00PM ET,DET,30.44
27,SG,Cam Thomas (40588087),Cam Thomas,40588087,SG/G/UTIL,6800,ATL@BKN 10/29/2025 07:30PM ET,BKN,32.12
28,C,Onyeka Okongwu (40588096),Onyeka Okongwu,40588096,C/UTIL,6800,ATL@BKN 10/29/2025 07:30PM ET,ATL,34.88
29,PG,Jrue Holiday (40588090),Jrue Holiday,40588090,PG/G/UTIL,6800,POR@UTA 10/29/2025 09:00PM ET,POR,39.88
30,SG,Desmond Bane (40588101),Desmond Bane,40588101,SG/G/UTIL,6800,ORL@DET 10/29/2025 07:00PM ET,ORL,30.31
31,PF,Aaron Gordon (40588093),Aaron Gordon,40588093,PF/F/UTIL,6800,NOP@DEN 10/29/2025 09:00PM ET,DEN,37.58
32,PG,Jordan Poole (40588098),Jordan Poole,40588098,PG/G/UTIL,6800,NOP@DEN 10/29/2025 09:00PM ET,NOP,30.17
33,PG/SG,Keyonte George (40588104),Keyonte George,40588104,PG/SG/G/UTIL,6700,POR@UTA 10/29/2025 09:00PM ET,UTA,40.75
34,SG,Payton Pritchard (40588110),Payton Pritchard,40588110,SG/G/UTIL,6600,CLE@BOS 10/29/2025 07:00PM ET,BOS,32.94
