,Name,Pos,Team,Opp,ETR MP,Salary,ETRProj,Value,Ceiling,Own,Site,Slate,Scenario,ID,DKName
0,Luka Doncic,PG,LAL,CHA,38.0,"$12,000",63.2,9.2,72.9,15.3%,DK,MAIN,Default,40738252,Luka Doncic
1,Giannis Antetokounmpo,PF,MIL,DAL,34.0,"$11,700",60.6,7.8,69.0,16.1%,DK,MAIN,Default,40738257,Giannis Antetokounmpo
2,Victor Wembanyama,C,SAS,CHI,33.0,"$11,900",57.3,3.7,66.1,6.2%,DK,MAIN,Default,40738255,Victor Wembanyama
3,Cade Cunningham,PG,DET,WAS,35.0,"$10,500",56.1,8.1,65.8,16.2%,DK,MAIN,Default,40738260,Cade Cunningham
4,Jalen Duren,C,DET,WAS,32.0,"$7,700",47.7,10.9,55.7,41.1%,DK,MAIN,Default,40738329,Jalen Duren
5,Anthony Edwards,SG,MIN,UTA,35.0,"$8,600",47.5,7.1,56.0,20.1%,DK,MAIN,Default,40738293,Anthony Edwards
6,Devin Booker,PG,PHX,NOP,37.0,"$9,600",47.4,3.0,56.0,10.1%,DK,MAIN,Default,40738272,Devin Booker
7,Donovan Mitchell,SG,CLE,MIA,33.0,"$9,200",47.0,4.2,55.8,9.5%,DK,MAIN,Default,40738281,Donovan Mitchell
8,Paolo Banchero,PF,ORL,POR,35.0,"$9,300",45.4,2.2,54.0,6.3%,DK,MAIN,Default,40738278,Paolo Banchero
9,Deni Avdija,PF,POR,ORL,35.0,"$8,500",43.6,3.6,53.1,11.1%,DK,MAIN,Default,40738296,Deni Avdija
10,Evan Mobley,PF,CLE,MIA,33.0,"$8,700",43.2,2.4,50.9,7.3%,DK,MAIN,Default,40738290,Evan Mobley
11,Julius Randle,PF,MIN,UTA,34.5,"$8,100",42.2,3.8,50.1,11.1%,DK,MAIN,Default,40738309,Julius Randle
12,Nikola Vucevic,C,CHI,SAS,31.5,"$7,900",42.1,4.5,50.1,13.1%,DK,MAIN,Default (Hedged Ayo & Huerter Starting),40738318,Nikola Vucevic
13,Austin Reaves,PG/SG,LAL,CHA,36.0,"$8,400",42.1,2.5,50.8,13.5%,DK,MAIN,Default,40738299,Austin Reaves
14,Miles Bridges,PF,CHA,LAL,35.0,"$8,800",41.8,0.6,49.7,2.9%,DK,MAIN,Default,40738287,Miles Bridges
15,Lauri Markkanen,PF,UTA,MIN,34.5,"$8,000",40.0,2.0,47.6,8.6%,DK,MAIN,Default,40738312,Lauri Markkanen
16,Franz Wagner,SF,ORL,POR,34.5,"$7,800",38.8,1.6,46.2,8.0%,DK,MAIN,Default,40738323,Franz Wagner
17,Trey Murphy III,SG,NOP,PHX,36.5,"$7,900",38.4,0.8,45.7,4.8%,DK,MAIN,Default,40738315,Trey Murphy III
18,Jrue Holiday,PG,POR,ORL,33.5,"$7,600",37.6,1.2,46.2,5.9%,DK,MAIN,Default,40738331,Jrue Holiday
19,Alexandre Sarr,C,WAS,DET,29.0,"$7,200",37.4,2.6,45.6,7.7%,DK,MAIN,Default,40738344,Alexandre Sarr
20,DeAaron Fox,PG,SAS,CHI,31.5,"$6,900",36.8,3.2,45.0,9.5%,DK,MAIN,Default,40738358,De'Aaron Fox
21,Darius Garland,PG,CLE,MIA,30.0,"$7,700",36.5,-0.3,44.9,3.1%,DK,MAIN,Default,40738326,Darius Garland
22,Stephon Castle,SG,SAS,CHI,33.5,"$7,800",36.3,-0.9,45.2,2.3%,DK,MAIN,Default,40738320,Stephon Castle
23,Andrew Wiggins,PF,MIA,CLE,33.5,"$6,800",35.7,2.5,43.7,10.3%,DK,MAIN,Default,40738365,Andrew Wiggins
24,Keyonte George,PG/SG,UTA,MIN,32.5,"$7,000",35.0,1.0,43.5,13.1%,DK,MAIN,Default,40738348,Keyonte George
25,Cooper Flagg,SG,DAL,MIL,33.5,"$6,900",34.9,1.3,42.8,2.2%,DK,MAIN,Default,40738355,Cooper Flagg
26,PJ Washington,SF/PF,DAL,MIL,35.5,"$7,400",34.6,-1.0,42.6,0.8%,DK,MAIN,Default,40738340,PJ Washington
27,Mark Williams,C,PHX,NOP,27.5,"$6,600",34.3,1.9,41.9,10.1%,DK,MAIN,Default,40738374,Mark Williams
28,Desmond Bane,SG,ORL,POR,32.5,"$6,100",33.9,3.5,42.7,14.3%,DK,MAIN,Default,40738420,Desmond Bane
29,Deandre Ayton,C,LAL,CHA,32.0,"$7,300",33.8,-1.4,41.9,1.3%,DK,MAIN,Default,40738346,Deandre Ayton
30,Collin Sexton,PG/SG,CHA,LAL,30.0,"$6,700",33.3,0.5,41.6,7.5%,DK,MAIN,Default,40738361,Collin Sexton
31,Jaime Jaquez Jr.,SG/SF,MIA,CLE,28.0,"$6,500",33.1,1.1,41.6,10.2%,DK,MAIN,Default,40738382,Jaime Jaquez Jr.
32,Tre Jones,PG,CHI,SAS,31.0,"$5,600",33.0,4.6,41.1,23.9%,DK,MAIN,Default (Hedged Ayo & Huerter Starting),40738480,Tre Jones
33,Norman Powell,SG,MIA,CLE,30.0,"$7,000",32.8,-1.2,41.1,3.2%,DK,MAIN,Default,40738352,Norman Powell
