"Player","Pos","Team","Opp","DK Proj","FD Proj","FFPC Proj","Standard Proj","Half PPR Proj","Full PPR Proj","DK Ceiling","FD Ceiling","Slate"
"Josh Allen","QB","BUF","DET","26.5","26.3","27.7","24.9","24.9","24.9","38.9","38.8","Thursday"
"Jahmyr Gibbs","RB","DET","@BUF","25.5","23.3","24.3","20.0","22.1","24.2","41.0","38.4","Thursday"
"Bijan Robinson","RB","ATL","CAR","24.0","21.3","22.9","17.6","20.2","22.7","38.6","35.3","Main"
"Dak Prescott","QB","DAL","WAS","21.7","21.6","22.8","19.9","19.9","19.9","32.4","32.3","Main"
"Christian McCaffrey","RB","SF","MIA","21.4","19.0","20.9","16.1","18.5","20.8","35.9","32.8","Main"
"Kenneth Walker","RB","KC","IND","21.3","19.4","20.3","16.6","18.4","20.2","35.9","33.6","Sunday"
"Brock Purdy","QB","SF","MIA","21.1","21.0","22.4","19.8","19.8","19.8","31.4","31.3","Main"
"Lamar Jackson","QB","BAL","NO","20.6","20.4","21.8","19.5","19.5","19.5","30.5","30.4","Main"
"Derrick Henry","RB","BAL","NO","20.3","19.6","19.0","17.8","18.3","18.9","34.7","33.9","Main"
"Jayden Daniels","QB","WAS","@DAL","20.3","20.1","21.5","19.1","19.1","19.1","29.9","29.7","Main"
"Patrick Mahomes","QB","KC","IND","20.2","20.0","21.4","18.9","18.9","18.9","30.4","30.3","Sunday"
"James Cook","RB","BUF","DET","20.0","18.6","19.1","16.3","17.6","19.0","34.6","32.9","Thursday"
"Amon-Ra St Brown","WR","DET","@BUF","19.9","16.2","19.0","11.7","15.3","19.0","33.8","28.6","Thursday"
"Jalen Hurts","QB","PHI","@TEN","19.7","19.5","21.0","18.7","18.7","18.7","29.5","29.3","Main"
"Drake Maye","QB","NE","PIT","19.3","19.1","20.5","18.0","18.0","18.0","29.3","29.2","Main"
"Caleb Williams","QB","CHI","MIN","19.2","19.0","20.5","18.1","18.1","18.1","29.0","28.9","Main"
"Bo Nix","QB","DEN","JAX","19.2","19.0","20.3","17.8","17.8","17.8","29.2","29.1","Main"
"Jordan Love","QB","GB","@NYJ","19.2","19.0","20.3","17.5","17.5","17.5","29.1","29.0","Main"
"Jonathan Taylor","RB","IND","@KC","19.1","17.6","18.2","15.2","16.6","18.1","32.4","30.5","Sunday"
"Justin Herbert","QB","LAC","LV","18.9","18.7","20.1","17.7","17.7","17.7","28.8","28.7","Main"
"Jaxson Dart","QB","NYG","@LA","18.9","18.6","20.1","17.6","17.6","17.6","28.5","28.3","Monday"
"CeeDee Lamb","WR","DAL","WAS","18.8","15.7","17.9","11.8","14.8","17.8","33.4","28.9","Main"
"Javonte Williams","RB","DAL","WAS","18.7","17.3","18.0","15.2","16.5","17.8","32.4","30.7","Main"
"Trevor Lawrence","QB","JAX","@DEN","18.7","18.5","19.7","17.1","17.1","17.1","28.4","28.2","Main"
"Ja'Marr Chase","WR","CIN","@HOU","18.6","15.3","17.7","11.2","14.5","17.7","32.4","27.8","Main"
"Matthew Stafford","QB","LA","NYG","18.6","18.5","19.8","17.2","17.2","17.2","27.9","27.9","Monday"
"Joe Burrow","QB","CIN","@HOU","18.3","18.1","19.4","16.6","16.6","16.6","27.9","27.8","Main"
"Jared Goff","QB","DET","@BUF","18.3","18.2","19.5","16.7","16.7","16.7","27.9","27.8","Thursday"
"Justin Jefferson","WR","MIN","@CHI","18.3","15.0","17.3","10.9","14.1","17.3","32.0","27.4","Main"
"Baker Mayfield","QB","TB","CLE","18.3","18.1","19.5","17.1","17.1","17.1","27.3","27.1","Main"
"Jaxon Smith-Njigba","WR","SEA","@ARI","18.2","15.0","17.4","11.0","14.2","17.3","31.7","27.1","Main"
"Ashton Jeanty","RB","LV","@LAC","18.0","15.9","17.4","13.3","15.3","17.3","30.2","27.6","Main"
"Davante Adams","WR","LA","NYG","17.7","15.0","17.0","11.7","14.3","16.9","31.6","27.7","Monday"
"Tyler Shough","QB","NO","@BAL","17.3","17.1","18.4","15.8","15.8","15.8","26.5","26.3","Main"
"Saquon Barkley","RB","PHI","@TEN","17.3","16.1","16.3","14.2","15.2","16.2","30.7","29.3","Main"
"Bryce Young","QB","CAR","@ATL","17.0","16.8","18.2","15.8","15.8","15.8","26.4","26.2","Main"
"De'Von Achane","RB","MIA","@SF","16.8","14.8","16.3","12.3","14.3","16.2","28.9","26.4","Main"
"Trey McBride","TE","ARI","SEA","16.7","13.2","19.5","9.3","12.7","16.1","28.6","23.6","Main"
"CJ Stroud","QB","HOU","CIN","16.7","16.5","17.9","15.5","15.5","15.5","26.1","26.0","Main"
"George Pickens","WR","DAL","WAS","16.3","13.8","15.5","10.7","13.1","15.5","30.3","26.5","Main"
"Kyren Williams","RB","LA","NYG","16.3","15.0","15.7","13.3","14.4","15.6","28.3","26.8","Monday"
"Bucky Irving","RB","TB","CLE","16.2","14.7","15.7","12.7","14.2","15.6","28.3","26.4","Main"
"Aaron Jones","RB","MIN","@CHI","16.0","14.4","15.5","12.5","13.9","15.3","28.1","26.2","Main"
"Omarion Hampton","RB","LAC","LV","15.7","14.5","15.2","12.9","14.0","15.1","28.1","26.6","Main"
"Chris Olave","WR","NO","@BAL","15.7","12.9","15.1","9.5","12.3","15.1","28.2","24.0","Main"
"Jacoby Brissett","QB","ARI","SEA","15.6","15.4","16.8","14.2","14.2","14.2","24.4","24.2","Main"
"Malik Willis","QB","MIA","@SF","15.6","15.3","16.5","14.4","14.4","14.4","24.4","24.2","Main"
"Breece Hall","RB","NYJ","GB","15.6","14.1","15.1","12.2","13.6","15.0","27.6","25.8","Main"
"Garrett Wilson","WR","NYJ","GB","15.6","12.8","15.1","9.3","12.2","15.1","28.3","24.1","Main"
"Chase Brown","RB","CIN","@HOU","15.5","13.6","15.2","11.5","13.3","15.1","27.0","24.6","Main"
"Carson Wentz","QB","MIN","@CHI","15.5","15.3","16.6","14.1","14.1","14.1","24.5","24.4","Main"
"DJ Moore","WR","BUF","DET","15.4","13.0","14.8","10.0","12.4","14.8","28.8","25.1","Thursday"
"Daniel Jones","QB","IND","@KC","15.4","15.2","16.6","14.1","14.1","14.1","23.9","23.8","Sunday"
"Drew Lock","QB","SEA","@ARI","15.4","15.2","16.5","14.3","14.3","14.3","24.2","24.1","Main"
"Malik Nabers","WR","NYG","@LA","15.1","12.5","14.5","9.2","11.9","14.5","27.8","23.9","Monday"
"David Montgomery","RB","HOU","CIN","14.8","13.7","14.4","12.3","13.3","14.3","26.9","25.5","Main"
"Rhamondre Stevenson","RB","NE","PIT","14.8","13.2","14.5","11.4","12.9","14.5","26.5","24.3","Main"
"Parker Washington","WR","JAX","@DEN","14.6","12.2","14.1","9.2","11.6","14.1","26.9","23.1","Main"
"Rashee Rice","WR","KC","IND","14.6","12.0","14.2","9.1","11.6","14.2","26.8","23.0","Sunday"
"Chuba Hubbard","RB","CAR","@ATL","14.5","13.1","14.1","11.4","12.7","14.0","25.7","24.0","Main"
"D'Andre Swift","RB","CHI","MIN","14.5","13.6","14.0","12.2","13.0","13.9","26.5","25.3","Main"
"Aaron Rodgers","QB","PIT","@NE","14.3","14.1","15.5","13.1","13.1","13.1","22.4","22.3","Main"
"Christian Watson","WR","GB","@NYJ","14.1","12.1","13.4","9.5","11.4","13.4","27.3","24.1","Main"
"DeVonta Smith","WR","PHI","@TEN","14.1","11.6","13.6","8.7","11.1","13.6","26.0","22.3","Main"
"Tetairoa McMillan","WR","CAR","@ATL","13.9","11.7","13.5","9.0","11.2","13.4","26.4","22.9","Main"
"Jaylen Waddle","WR","DEN","JAX","13.9","11.6","13.4","8.8","11.1","13.4","26.0","22.5","Main"
"Geno Smith","QB","NYJ","GB","13.8","13.6","14.9","12.6","12.6","12.6","22.6","22.4","Main"
"DK Metcalf","WR","PIT","@NE","13.8","11.5","13.3","8.6","11.0","13.3","25.9","22.3","Main"
"Mike Evans","WR","SF","MIA","13.8","11.7","13.4","9.1","11.3","13.4","26.4","23.1","Main"
"Deshaun Watson","QB","CLE","@TB","13.7","13.5","14.8","12.7","12.7","12.7","21.1","21.0","Main"
"Mark Andrews","TE","BAL","NO","13.3","11.0","15.3","8.4","10.7","13.0","24.5","20.9","Main"
"Jadarian Price","RB","SEA","@ARI","13.3","12.3","12.7","10.9","11.8","12.6","24.5","23.4","Main"
"Tee Higgins","WR","CIN","@HOU","13.2","11.1","12.7","8.6","10.6","12.7","25.2","22.0","Main"
"Emeka Egbuka","WR","TB","CLE","13.2","11.1","12.8","8.6","10.7","12.8","25.1","21.8","Main"
"Drake London","WR","ATL","CAR","13.1","10.8","12.7","8.2","10.4","12.7","24.5","21.1","Main"
"Jameson Williams","WR","DET","@BUF","13.1","11.1","12.6","8.6","10.6","12.6","25.2","22.0","Thursday"
"Ladd McConkey","WR","LAC","LV","13.1","10.9","12.8","8.2","10.5","12.7","25.1","21.7","Main"
"Dalton Kincaid","TE","BUF","DET","12.8","10.6","14.5","8.1","10.3","12.4","24.5","21.1","Thursday"
"Jalen Coker","WR","CAR","@ATL","12.7","10.4","12.2","7.7","10.0","12.2","24.2","20.7","Main"
"Kirk Cousins","QB","LV","@LAC","12.6","12.4","13.7","11.4","11.4","11.4","20.3","20.2","Main"
"Cam Ward","QB","TEN","PHI","12.6","12.3","13.8","11.6","11.6","11.6","20.1","19.9","Main"
"JK Dobbins","RB","DEN","JAX","12.4","11.5","11.9","10.2","11.0","11.8","23.5","22.4","Main"
"Matthew Golden","WR","GB","@NYJ","12.4","10.4","12.1","8.1","10.1","12.1","24.0","20.9","Main"
"Cam Skattebo","RB","NYG","@LA","12.4","11.5","12.0","10.3","11.1","11.9","22.7","21.5","Monday"
"Terry McLaurin","WR","WAS","@DAL","12.4","10.4","12.0","8.0","10.0","12.0","23.8","20.7","Main"
"MarShawn Lloyd","RB","GB","@NYJ","12.3","11.4","11.9","10.3","11.1","11.8","23.0","22.0","Main"
"Tyler Warren","TE","IND","@KC","12.3","9.8","14.6","7.1","9.6","12.1","22.1","18.3","Sunday"
"Jacory Croskey-Merritt","RB","WAS","@DAL","12.3","11.6","12.0","10.6","11.2","11.9","22.8","21.9","Main"
"Colston Loveland","TE","CHI","MIN","12.2","10.0","14.1","7.6","9.8","12.0","23.0","19.6","Main"
"Stefon Diggs","WR","WAS","@DAL","12.2","9.9","11.9","7.3","9.6","11.8","22.8","19.3","Main"
"Cooper Rush","QB","ATL","CAR","12.0","11.9","13.0","10.9","10.9","10.9","19.5","19.4","Main"
"Sam LaPorta","TE","DET","@BUF","12.0","9.7","14.1","7.1","9.4","11.7","22.3","18.7","Thursday"
"Xavier Worthy","WR","KC","IND","12.0","10.0","11.7","7.8","9.7","11.6","23.3","20.3","Sunday"
"Quinshon Judkins","RB","CLE","@TB","11.8","10.7","11.5","9.3","10.4","11.4","21.5","20.0","Main"
"Michael Mayer","TE","LV","@LAC","11.8","9.2","14.3","6.4","9.0","11.7","21.2","17.2","Main"
"Jaylen Warren","RB","PIT","@NE","11.7","10.0","11.5","8.3","9.9","11.5","21.0","18.7","Main"
"Dalton Schultz","TE","HOU","CIN","11.6","9.2","13.8","6.6","9.0","11.4","21.5","17.8","Main"
"Travis Kelce","TE","KC","IND","11.6","9.5","13.6","7.2","9.3","11.4","22.0","18.7","Sunday"
"Luther Burden","WR","CHI","MIN","11.5","9.4","11.2","7.1","9.2","11.2","22.0","18.9","Main"
"Travis Etienne","RB","NO","@BAL","11.5","10.3","11.3","9.0","10.1","11.3","21.1","19.5","Main"
"Jeremiyah Love","RB","ARI","SEA","11.4","9.7","11.3","7.9","9.6","11.2","20.6","18.3","Main"
"Quentin Johnston","WR","LAC","LV","11.4","9.5","11.1","7.4","9.2","11.1","22.5","19.7","Main"
"George Kittle","TE","SF","MIA","11.4","9.5","13.0","7.3","9.2","11.1","22.1","19.0","Main"
"Jayden Reed","WR","GB","@NYJ","11.3","9.4","11.1","7.2","9.1","11.1","22.1","19.0","Main"
"Josh Downs","WR","IND","@KC","11.1","8.9","11.0","6.4","8.7","10.9","20.7","17.3","Sunday"
"Tucker Kraft","TE","GB","@NYJ","11.0","9.1","12.7","7.0","8.9","10.8","21.5","18.4","Main"
"Rico Dowdle","RB","PIT","@NE","11.0","9.4","10.9","7.8","9.3","10.9","19.9","17.7","Main"
"Chris Godwin","WR","TB","CLE","11.0","9.0","10.8","6.8","8.8","10.8","21.0","17.9","Main"
"Courtland Sutton","WR","DEN","JAX","10.8","9.0","10.5","7.0","8.8","10.5","21.3","18.5","Main"
"Bhayshul Tuten","RB","JAX","@DEN","10.8","9.8","10.5","8.7","9.6","10.5","20.0","18.8","Main"
"Dallas Goedert","TE","PHI","@TEN","10.7","8.6","12.6","6.4","8.5","10.5","20.1","16.9","Main"
"Deebo Samuel","WR","SF","MIA","10.7","8.8","10.5","6.8","8.6","10.5","20.8","17.9","Main"
"Khalil Shakir","WR","BUF","DET","10.6","8.5","10.4","6.3","8.3","10.4","20.5","17.3","Thursday"
"Jakobi Meyers","WR","JAX","@DEN","10.4","8.4","10.2","6.3","8.2","10.2","20.0","16.9","Main"
"Juwan Johnson","TE","NO","@BAL","10.4","8.3","12.4","6.1","8.2","10.2","19.5","16.1","Main"
"Jordan Addison","WR","MIN","@CHI","10.2","8.6","9.9","6.6","8.3","9.9","20.8","18.2","Main"
"Romeo Doubs","WR","NE","PIT","10.2","8.5","10.0","6.6","8.3","10.0","20.8","18.0","Main"
"Michael Wilson","WR","ARI","SEA","10.1","8.3","9.9","6.2","8.1","9.9","19.9","16.9","Main"
"Blake Corum","RB","LA","NYG","10.1","9.7","9.8","9.0","9.4","9.7","19.7","19.2","Monday"
"Tre Tucker","WR","LV","@LAC","10.0","8.2","9.8","6.2","8.0","9.8","19.8","16.9","Main"
"Hunter Henry","TE","NE","PIT","10.0","8.2","11.7","6.2","8.0","9.9","19.6","16.7","Main"
"Isaiah Likely","TE","NYG","@LA","10.0","8.0","11.8","5.9","7.9","9.8","18.9","15.8","Monday"
"Wan'Dale Robinson","WR","TEN","PHI","10.0","7.8","9.9","5.4","7.6","9.8","18.5","15.2","Main"
"Rome Odunze","WR","CHI","MIN","9.9","8.4","9.6","6.6","8.1","9.6","20.8","18.3","Main"
"Colby Parkinson","TE","LA","NYG","9.9","8.0","11.8","6.0","7.9","9.8","19.2","16.1","Monday"
