,Player,Team,Opp,Pass Att,Pass Yards,Pass TD,Rush Att,Rush Yds,Rec,Rec Yds,System
0,A.J. Brown,PHI,DEN,,,,,,,73.26,Blitz
1,Alvin Kamara,NO,NYG,,,,16.24,66.38,3.6,22.01,Blitz
2,Amon-Ra St. Brown,DET,CIN,,,,,,,74.25,Blitz
3,Ashton Jeanty,LV,IND,,,,,61.72,,13.16,Blitz
4,Baker Mayfield,TB,SEA,32.28,222.67,1.25,3.46,19.05,,,Blitz
5,Blake Corum,LA,SF,,,,,33.63,,,Blitz
6,Brandin Cooks,NO,NYG,,,,,,,24.05,Blitz
7,Breece Hall,NYJ,DAL,,,,,63.61,,,Blitz
8,Brian Robinson,SF,LA,,,,5.72,23.31,,,Blitz
9,Brian Thomas,JAX,KC,,,,,,,66.18,Blitz
10,Brock Bowers,LV,IND,,,,,,6.5,68.96,Blitz
11,Bryce Young,CAR,MIA,29.87,200.0,1.37,,15.84,,,Blitz
12,C.J. Stroud,HOU,BAL,,202.7,1.17,,17.07,,,Blitz
13,Cade Otton,TB,SEA,,,,,,2.37,21.86,Blitz
14,Calvin Ridley,TEN,ARI,,,,,,,45.24,Blitz
15,Cam Skattebo,NYG,NO,,,,,75.09,,29.61,Blitz
16,Cam Ward,TEN,ARI,,200.71,0.85,,15.68,,,Blitz
17,Carson Wentz,MIN,CLE,30.58,199.46,1.22,,,,,Blitz
18,Chase Brown,CIN,DET,,,,,62.88,,19.61,Blitz
19,Chig Okonkwo,TEN,ARI,,,,,,,34.41,Blitz
20,Chris Godwin,TB,SEA,,,,,,5.23,58.26,Blitz
21,Chris Olave,NO,NYG,,,,,,5.87,69.28,Blitz
22,Christian Kirk,HOU,BAL,,,,,,,38.34,Blitz
23,Christian McCaffrey,SF,LA,,,,16.43,67.6,6.99,56.94,Blitz
24,Chuba Hubbard,CAR,MIA,,,,,59.88,,,Blitz
25,Colby Parkinson,LA,SF,,,,,,1.77,16.41,Blitz
26,Cooper Kupp,SEA,TB,,,,,,,39.86,Blitz
27,Dak Prescott,DAL,NYJ,32.83,242.1,1.72,,4.27,,,Blitz
28,Dallas Goedert,PHI,DEN,,,,,,,33.15,Blitz
29,Dalton Kincaid,BUF,NE,,,,,,,38.72,Blitz
30,Dalton Schultz,HOU,BAL,,,,,,,32.57,Blitz
31,Daniel Jones,IND,LV,31.31,248.87,1.71,,27.93,,,Blitz
32,Davante Adams,LA,SF,,,,,,4.9,60.07,Blitz
33,David Montgomery,DET,CIN,,,,,52.18,,,Blitz
34,David Njoku,CLE,MIN,,,,,,,26.92,Blitz
35,De'Von Achane,MIA,CAR,,,,,66.05,,37.82,Blitz
36,DeVonta Smith,PHI,DEN,,,,,,,49.31,Blitz
37,Demarcus Robinson,SF,LA,,,,,,2.77,42.88,Blitz
38,Derrick Henry,BAL,HOU,,,,,86.98,,7.21,Blitz
39,Drake Maye,NE,BUF,,224.32,1.36,,34.17,,,Blitz
40,Emeka Egbuka,TB,SEA,,,,,,4.84,65.5,Blitz
41,Garrett Wilson,NYJ,DAL,,,,,,,72.23,Blitz
42,Geno Smith,LV,IND,34.95,264.84,1.35,,13.3,,,Blitz
43,George Pickens,DAL,NYJ,,,,,,,74.74,Blitz
44,Hunter Henry,NE,BUF,,,,,,,44.69,Blitz
45,Isaiah Bond,CLE,MIN,,,,,,,39.99,Blitz
46,Ja'Marr Chase,CIN,DET,,,,,,,81.05,Blitz
47,Jahmyr Gibbs,DET,CIN,,,,,66.89,,29.28,Blitz
48,Jake Browning,CIN,DET,,238.79,1.37,,,,,Blitz
49,Jake Ferguson,DAL,NYJ,,,,,,,47.15,Blitz
50,Jake Tonges,SF,LA,,,,,,3.35,35.32,Blitz
51,Jakobi Meyers,LV,IND,,,,,,5.79,69.19,Blitz
52,Jalen Hurts,PHI,DEN,,199.76,,,44.99,,,Blitz
53,Jalen Tolbert,DAL,NYJ,,,,,,,33.96,Blitz
54,James Cook,BUF,NE,,,,,69.97,,17.97,Blitz
55,Jameson Williams,DET,CIN,,,,,,,45.67,Blitz
56,Jared Goff,DET,CIN,,241.94,1.93,,2.31,,,Blitz
57,Javonte Williams,DAL,NYJ,,,,,61.0,,16.77,Blitz
58,Jaxon Smith-Njigba,SEA,TB,,,,,,,83.27,Blitz
59,Jayden Daniels,WAS,LAC,34.1,242.52,1.41,,61.76,,,Blitz
60,Jaylen Waddle,MIA,CAR,,,,,,,56.05,Blitz
61,Jerry Jeudy,CLE,MIN,,,,,,,51.8,Blitz
62,Jonathan Taylor,IND,LV,,,,,76.75,,18.37,Blitz
63,Jordan Addison,MIN,CLE,,,,,,3.59,46.76,Blitz
64,Jordan Mason,MIN,CLE,,,,16.09,70.32,1.67,10.41,Blitz
65,Jordan Whittington,LA,SF,,,,,,1.96,24.89,Blitz
66,Josh Allen,BUF,NE,29.65,225.0,2.01,,32.73,,,Blitz
67,Justin Fields,NYJ,DAL,27.62,187.53,1.28,,63.14,,,Blitz
68,Justin Herbert,LAC,WAS,35.75,259.76,1.79,,20.82,,,Blitz
69,Justin Jefferson,MIN,CLE,,,,,,4.97,67.29,Blitz
70,Juwan Johnson,NO,NYG,,,,,,,48.71,Blitz
71,Keenan Allen,LAC,WAS,,,,,,,49.46,Blitz
72,Kendre Miller,NO,NYG,,,,,30.38,,,Blitz
73,Kendrick Bourne,SF,LA,,,,,,4.05,47.36,Blitz
74,Kenneth Walker,SEA,TB,,,,,60.78,,,Blitz
75,Keon Coleman,BUF,NE,,,,,,,46.75,Blitz
76,Khalil Shakir,BUF,NE,,,,,,,48.13,Blitz
77,Kyle Juszczyk,SF,LA,,,,,,1.67,13.11,Blitz
78,Kyler Murray,ARI,TEN,31.16,251.55,1.57,,35.84,,,Blitz
79,Kyren Williams,LA,SF,,,,15.5,66.39,2.1,13.01,Blitz
80,Ladd McConkey,LAC,WAS,,,,,,,63.13,Blitz
81,Luke Farrell,SF,LA,,,,,,1.44,13.03,Blitz
82,Mac Jones,SF,LA,38.21,250.11,1.03,1.67,6.87,,,Blitz
83,Marquez Valdes-Scantling,SF,LA,,,,,,,,Blitz
84,Marvin Harrison Jr.,ARI,TEN,,,,,,,64.63,Blitz
85,Mason Taylor,NYJ,DAL,,,,,,,30.71,Blitz
86,Matthew Stafford,LA,SF,36.29,267.13,1.76,1.64,1.43,,,Blitz
87,Michael Carter,ARI,TEN,,,,,40.99,,,Blitz
88,Michael Pittman Jr.,IND,LV,,,,,,,57.76,Blitz
89,Nico Collins,HOU,BAL,,,,,,,66.38,Blitz
90,Omarion Hampton,LAC,WAS,,,,,71.35,,,Blitz
91,Patrick Mahomes,KC,JAX,,244.52,1.95,,28.99,,,Blitz
92,Puka Nacua,LA,SF,,,,,,7.82,102.66,Blitz
93,Quentin Johnston,LAC,WAS,,,,,,,66.13,Blitz
94,Rachaad White,TB,SEA,,,,,,,,Blitz
95,Rashid Shaheed,NO,NYG,,,,,,,48.57,Blitz
96,Rhamondre Stevenson,NE,BUF,,,,,35.26,,,Blitz
97,Sam Darnold,SEA,TB,,225.1,1.35,,11.87,,,Blitz
98,Sam LaPorta,DET,CIN,,,,,,,42.62,Blitz
99,Saquon Barkley,PHI,DEN,,,,,78.79,,22.88,Blitz
100,Spencer Rattler,NO,NYG,35.49,233.28,1.34,5.34,24.77,,,Blitz
101,Stefon Diggs,NE,BUF,,,,,,,45.95,Blitz
102,T.J. Hockenson,MIN,CLE,,,,,,3.53,33.45,Blitz
103,Tee Higgins,CIN,DET,,,,,,,60.05,Blitz
104,Terrance Ferguson,LA,SF,,,,,,,,Blitz
105,Tetairoa McMillan,CAR,MIA,,,,,,,60.69,Blitz
106,Theo Johnson,NYG,NO,,,,,,,30.88,Blitz
107,Tony Pollard,TEN,ARI,,,,,70.32,,14.42,Blitz
108,Travis Etienne,JAX,KC,,,,,56.74,,12.19,Blitz
109,Travis Hunter,JAX,KC,,,,,,,37.49,Blitz
110,Travis Kelce,KC,JAX,,,,,,,37.75,Blitz
111,Trevor Lawrence,JAX,KC,,243.26,,,16.48,,,Blitz
112,Trey McBride,ARI,TEN,,,,,,,69.73,Blitz
113,Tua Tagovailoa,MIA,CAR,30.02,226.78,1.41,,7.17,,,Blitz
114,Tutu Atwell,LA,SF,,,,,,,15.86,Blitz
115,Tyler Warren,IND,LV,,,,,,,59.84,Blitz
116,Wan'Dale Robinson,NYG,NO,,,,,,,58.45,Blitz
117,Xavier Worthy,KC,JAX,,,,,,,60.02,Blitz
118,Zach Ertz,WAS,LAC,,,,,,,40.9,Blitz
119,Zay Flowers,BAL,HOU,,,,,,,63.72,Blitz
