,Player,Pos,Team,Opp,Game,Pass Att,Pass Yards,Int,Pass TD,Rush Att,Rush Yds,Rec,Rec Yds,Rush Rec TD,FPts,System
0,Michael Penix Jr.,QB,ATL,GB,ATL@GB,31.53,204.96,0.69,1.14,0.0,3.3,0.0,0.0,0.09,12.938399999999998,Sportsbooks
1,Jordan Love,QB,GB,ATL,GB@ATL,30.99,227.97,0.62,1.75,0.0,8.21,0.0,0.0,0.15,17.2198,Sportsbooks
2,Bijan Robinson,RB,ATL,GB,ATL@GB,0.0,0.0,0.0,0.0,18.5,77.98,4.85,40.08,0.89,21.996,Sportsbooks
7,Drake London,WR,ATL,GB,ATL@GB,0.0,0.0,0.0,0.0,0.0,0.0,5.42,64.73,0.43,14.473,Sportsbooks
8,Christian Watson,WR,GB,ATL,GB@ATL,0.0,0.0,0.0,0.0,0.0,0.0,4.85,65.94,0.53,14.623999999999999,Sportsbooks
9,Matthew Golden,WR,GB,ATL,GB@ATL,0.0,0.0,0.0,0.0,0.0,0.0,4.39,53.59,0.43,12.329,Sportsbooks
10,Tucker Kraft,TE,GB,ATL,GB@ATL,0.0,0.0,0.0,0.0,0.0,0.0,4.11,45.51,0.45,11.361,Sportsbooks
11,Kyle Pitts,TE,ATL,GB,ATL@GB,0.0,0.0,0.0,0.0,0.0,0.0,3.75,36.39,0.24,8.829,Sportsbooks
25,Josh Allen,QB,BUF,LAC,LAC@BUF,29.77,239.93,0.56,1.92,7.5,33.71,0.0,0.0,0.9,25.4882,Sportsbooks
26,Justin Herbert,QB,LAC,BUF,LAC@BUF,32.26,219.84,0.73,1.36,4.5,19.62,0.0,0.0,0.24,16.9056,Sportsbooks
27,James Cook,RB,BUF,LAC,LAC@BUF,0.0,0.0,0.0,0.0,17.5,81.57,0.0,0.0,1.05,14.457,Sportsbooks
28,Omarion Hampton,RB,LAC,BUF,LAC@BUF,0.0,0.0,0.0,0.0,15.5,60.91,1.88,10.88,0.8,13.859000000000002,Sportsbooks
30,DJ Moore,WR,BUF,LAC,LAC@BUF,0.0,0.0,0.0,0.0,0.0,0.0,3.95,49.96,0.48,11.826,Sportsbooks
32,Ladd McConkey,WR,LAC,BUF,LAC@BUF,0.0,0.0,0.0,0.0,0.0,0.0,4.31,51.27,0.38,11.717000000000002,Sportsbooks
33,Quentin Johnston,WR,LAC,BUF,LAC@BUF,0.0,0.0,0.0,0.0,0.0,0.0,4.06,35.21,0.35,9.681,Sportsbooks
36,Tre Harris,WR,LAC,BUF,LAC@BUF,0.0,0.0,0.0,0.0,0.0,0.0,3.05,33.02,0.2,7.5520000000000005,Sportsbooks
79,Joe Burrow,QB,CIN,PIT,CIN@PIT,35.45,250.65,0.7,1.64,0.0,0.0,0.0,0.0,0.13,16.666,Sportsbooks
81,Tee Higgins,WR,CIN,PIT,CIN@PIT,0.0,0.0,0.0,0.0,0.0,0.0,4.55,52.95,0.45,12.545000000000002,Sportsbooks
82,Ja'Marr Chase,WR,CIN,PIT,CIN@PIT,0.0,0.0,0.0,0.0,0.0,0.0,6.99,77.08,0.58,18.178,Sportsbooks
83,Pat Freiermuth,TE,PIT,CIN,CIN@PIT,0.0,0.0,0.0,0.0,0.0,0.0,3.95,34.62,0.24,8.852,Sportsbooks
84,Chase Brown,RB,CIN,PIT,CIN@PIT,0.0,0.0,0.0,0.0,16.5,62.77,3.44,21.85,0.82,16.822000000000003,Sportsbooks
87,DK Metcalf,WR,PIT,CIN,CIN@PIT,0.0,0.0,0.0,0.0,0.0,0.0,4.48,52.07,0.37,11.907,Sportsbooks
93,Aaron Rodgers,QB,PIT,CIN,CIN@PIT,34.37,218.63,0.64,1.18,0.0,0.0,0.0,0.0,0.06,13.185199999999998,Sportsbooks
106,Amon-Ra St. Brown,WR,DET,NYJ,NYJ@DET,0.0,0.0,0.0,0.0,0.0,0.0,32.81,77.21,0.82,45.45100000000001,Sportsbooks
107,Jared Goff,QB,DET,NYJ,NYJ@DET,34.46,256.83,0.57,2.12,0.0,0.0,0.0,0.0,0.07,18.6032,Sportsbooks
