,Name,Salary,Pos,RW_Proj,ETRProj,Ceiling,Value,Value_adj,BaseMix,CeilAdj,PosBump,NewProj,ID,Name + ID,TeamAbbrev,Position,Game Info,Unnamed: 0,Team,OPP,MIN,PTS,REB,AST,STL,BLK,TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,DK_Base,Prob_DD,Prob_TD,DK_Bonus,ETR MP,Own,CeilZ,LastUpdate
0,Giannis Antetokounmpo,12100.0,F,55.87036868265812,58.3,66.6,3.9,3.8,58.0570368682658,1.1413873585993606,0.14509011772990776,59.34,40600008.0,Giannis Antetokounmpo (40600008),MIL,PF,GSW@MIL 10/30/2025 08:00PM ET,3.0,MIL,GSW,34.0,27.89775,11.32501,6.36463,1.16117,0.99679,3.80918,10.69067,17.41253,61.4,0.68906,2.14717,32.1,5.82734,8.56981,68.0,2.01223,9.31278,54.3568175,0.85795943635929,0.07553734270639544,1.5135511826581212,33.5,14.7%,1.9023122643322679,2025-10-30 18:30:42
1,Victor Wembanyama,11700.0,C,54.12033167791136,60.4,68.5,7.6,7.56,59.77203316779114,1.2529263142890854,0.04035609147016337,61.07,40600011.0,Victor Wembanyama (40600011),SAS,C,MIA@SAS 10/30/2025 08:30PM ET,130.0,SAS,MIA,32.0,23.45383,12.62558,3.80537,1.21747,3.0719,3.77001,8.12702,15.81743,51.4,2.36967,6.48103,36.6,4.83013,5.74637,84.1,4.04964,8.57593,52.82243,0.8341522306760942,0.015557777299073143,1.2979016779113608,33.5,23.9%,2.0882105238151425,2025-10-30 18:30:42
2,Shai Gilgeous-Alexander,10800.0,G,56.665296267311476,56.3,64.8,7.1,7.23,56.33652962673115,1.0357188742617272,-0.07523855207528032,57.3,40600013.0,Shai Gilgeous-Alexander (40600013),OKC,PG,WAS@OKC 10/30/2025 08:00PM ET,41.0,OKC,WAS,35.0,34.54645,6.66636,6.07765,1.50584,0.80663,2.72445,11.2962,22.91861,49.3,2.01257,6.44244,31.2,9.94147,11.05245,89.9,0.89134,5.77502,56.264874999999996,0.24149156474429403,0.012727973398346292,0.4004212673114799,32.5,21.9%,1.7261981237695452,2025-10-30 18:30:42
3,LaMelo Ball,9900.0,G,48.02662521171089,50.1,60.1,4.5,4.52,49.89266252117109,0.7598067207134616,-0.0705361425705753,50.58,40600016.0,LaMelo Ball (40600016),CHA,PG,ORL@CHA 10/30/2025 07:00PM ET,7.0,CHA,ORL,34.0,24.88809,6.05308,7.56671,1.50112,0.23557,3.2706,8.25279,18.80018,43.9,3.68959,9.50693,38.8,4.6929,5.73706,81.8,1.35289,4.70019,47.487379999999995,0.3204652378561762,0.0195157849755459,0.539245211710902,34.5,20.9%,1.266344534522436,2025-10-30 18:30:42
4,Stephen Curry,9000.0,G,38.91288656182696,43.4,52.3,1.4,1.49,42.95128865618269,0.30190995525038183,-0.06583373306587029,43.19,40600019.0,Stephen Curry (40600019),GSW,PG,GSW@MIL 10/30/2025 08:00PM ET,32.0,GSW,MIL,32.0,22.44345,4.7913,5.00377,1.04969,0.24245,3.13909,7.54475,16.40848,46.0,3.63984,9.09902,40.0,3.71411,4.2926,86.5,0.77064,4.02066,38.77288500000001,0.0894555659231539,0.0019394043140725137,0.1400015618269484,32.0,14.3%,0.5031832587506364,2025-10-30 18:30:42
5,Tyler Herro,8600.0,G,6.181736613850029e-05,,,,,,0.0,,,40600022.0,Tyler Herro (40600022),MIA,PG,MIA@SAS 10/30/2025 08:30PM ET,49.0,MIA,SAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1193981709054106e-05,8.797858306379187e-09,6.181736613850029e-05,,,0.0,2025-10-30 18:30:42
6,Paolo Banchero,8800.0,F,42.4471739350991,45.8,53.8,4.6,4.54,45.46471739350991,0.3899670255317432,0.13818106450467404,45.99,40600025.0,Paolo Banchero (40600025),ORL,PF,ORL@CHA 10/30/2025 07:00PM ET,8.0,ORL,CHA,35.0,23.03009,8.33748,4.02311,0.74781,0.78114,3.04062,7.46167,16.00362,46.6,1.86147,5.41805,34.4,6.24528,8.4677,73.8,2.65897,5.67851,41.95493,0.3149375368422964,0.006612543278553425,0.4922439350991049,35.0,27.9%,0.6499450425529054,2025-10-30 18:30:42
7,Bam Adebayo,8500.0,C,40.48751982754502,43.8,51.9,3.8,3.85,43.468751982754505,0.27842806984201884,0.03632048232314703,43.78,40600028.0,Bam Adebayo (40600028),MIA,PF,MIA@SAS 10/30/2025 08:30PM ET,1.0,MIA,SAS,33.0,19.91447,8.96223,4.03687,1.0989,0.48667,2.18973,7.18015,15.14272,47.4,1.29596,3.35579,38.6,4.25821,5.22271,81.5,1.80421,7.15803,39.8968175,0.3775585823033593,0.008121484696661003,0.5907023275450219,35.0,24.3%,0.46404678307003144,2025-10-30 18:30:42
8,Jalen Williams,8000.0,F,6.181736613850029e-05,,,,,,0.0,,,40600031.0,Jalen Williams (40600031),OKC,SF,WAS@OKC 10/30/2025 08:00PM ET,135.0,OKC,WAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1193981709054106e-05,8.797858306379187e-09,6.181736613850029e-05,,,0.0,2025-10-30 18:30:42
9,Chet Holmgren,7900.0,C,6.181736613850029e-05,,,,,,0.0,,,40600034.0,Chet Holmgren (40600034),OKC,PF,WAS@OKC 10/30/2025 08:00PM ET,51.0,OKC,WAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1193981709054106e-05,8.797858306379187e-09,6.181736613850029e-05,,,0.0,2025-10-30 18:30:42
