DST1,DST2
IND DST,Colts
CIN DST,Bengals
PHI DST,Eagles
NE DST,Patriots
KC DST,Chiefs
ATL DST,Falcons
BUF DST,Bills
SF DST,49ers
TB DST,Buccaneers
BAL DST,Ravens
LAC DST,Chargers
HOU DST,Texans
CLE DST,Browns
GB DST,Packers
MIN DST,Vikings
NYJ DST,Jets
DEN DST,Broncos
NYG DST,Giants
PIT DST,Steelers
MIA DST,Dolphins
NO DST,Saints
DAL DST,Cowboys
WAS DST,Commanders
CHI DST,Bears
CAR DST,Panthers
TEN DST,Titans
SEA DST,Seahawks
ARI DST,Cardinals
DET DST,Lions
JAC DST,Jaguars
JAX DST,Jaguars
LAR DST,Rams
LA DST,Rams
LV DST,Raiders
LVR DST,Raiders
