,Player,Pos,Team,Opp,DK Proj,FD Proj,FFPC Proj,Standard Proj,Half PPR Proj,Full PPR Proj,DK Ceiling,FD Ceiling,Slate
0,Jahmyr Gibbs,RB,DET,NYJ,27.4,25.2,26.0,21.7,23.8,25.9,44.0,41.4,Main
1,Josh Allen,QB,BUF,LAC,26.0,25.8,27.2,24.5,24.5,24.5,37.8,37.7,Main
2,Christian McCaffrey,RB,SF,ARI,23.1,20.5,22.5,17.2,19.8,22.4,38.4,35.0,Main
3,Bijan Robinson,RB,ATL,@GB,23.0,20.6,21.9,17.2,19.5,21.8,37.0,34.1,Thursday
4,Lamar Jackson,QB,BAL,DAL,22.9,22.7,24.1,21.5,21.5,21.5,34.0,33.8,Main
5,Kenneth Walker,RB,KC,@MIA,22.5,20.6,21.4,17.7,19.5,21.3,37.6,35.4,Main
6,Brock Purdy,QB,SF,ARI,21.3,21.2,22.5,19.9,19.9,19.9,32.1,32.0,Main
7,Dak Prescott,QB,DAL,BAL,21.2,21.0,22.2,19.3,19.3,19.3,31.8,31.7,Main
8,Amon-Ra St Brown,WR,DET,NYJ,21.2,17.5,20.1,12.8,16.5,20.1,35.8,30.6,Main
9,Patrick Mahomes,QB,KC,@MIA,21.2,21.1,22.5,20.0,20.0,20.0,32.0,31.9,Main
10,Derrick Henry,RB,BAL,DAL,21.0,20.1,19.8,18.0,18.8,19.7,35.7,34.6,Main
11,Jaxon Smith-Njigba,WR,SEA,@WAS,20.3,17.1,19.2,12.8,16.0,19.2,34.8,30.2,Main
12,Ashton Jeanty,RB,LV,@NO,19.8,17.7,19.0,14.9,16.9,18.9,33.2,30.6,Main
13,Drake Maye,QB,NE,@JAX,19.8,19.5,20.8,18.2,18.2,18.2,30.1,29.9,Main
14,Jalen Hurts,QB,PHI,@CHI,19.7,19.5,20.9,18.4,18.4,18.4,30.2,30.1,Monday
15,Jared Goff,QB,DET,NYJ,19.6,19.5,20.8,18.0,18.0,18.0,29.8,29.7,Main
16,Tyler Shough,QB,NO,LV,19.6,19.3,20.7,18.0,18.0,18.0,29.9,29.7,Main
17,Jonathan Taylor,RB,IND,HOU,19.5,17.9,18.6,15.5,17.0,18.4,33.0,31.1,Main
18,Trevor Lawrence,QB,JAX,NE,19.3,19.1,20.3,17.8,17.8,17.8,29.8,29.6,Main
19,James Cook,RB,BUF,LAC,19.2,18.0,18.1,16.0,17.0,18.0,33.4,32.1,Main
20,Ja'Marr Chase,WR,CIN,@PIT,19.0,15.7,18.1,11.4,14.8,18.1,33.4,28.7,Main
21,CeeDee Lamb,WR,DAL,BAL,18.9,15.8,17.9,11.8,14.9,17.9,33.3,28.8,Main
22,Kyler Murray,QB,MIN,@TB,18.5,18.3,19.7,17.2,17.2,17.2,28.3,28.2,Main
23,Garrett Wilson,WR,NYJ,@DET,18.5,15.2,17.6,11.1,14.4,17.6,32.5,27.8,Main
24,Joe Burrow,QB,CIN,@PIT,18.3,18.1,19.4,16.6,16.6,16.6,28.5,28.4,Main
25,Jordan Love,QB,GB,ATL,18.2,18.0,19.4,16.7,16.7,16.7,27.8,27.7,Thursday
26,Justin Jefferson,WR,MIN,@TB,18.1,15.1,17.1,11.2,14.1,17.0,32.1,27.8,Main
27,Davante Adams,WR,LA,@DEN,17.9,15.2,17.0,11.7,14.3,17.0,32.2,28.2,Sunday
28,De'Von Achane,RB,MIA,KC,17.9,15.8,17.3,13.1,15.2,17.2,30.3,27.6,Main
29,Bo Nix,QB,DEN,LA,17.7,17.5,18.8,16.3,16.3,16.3,27.7,27.6,Sunday
