,Player,Team,Opp,Pos,Pass Att,Pass Comp,Pass Yards,Pass TD,INT,Rush Att,Rush Yds,Rush TD,Tgt,Rec,Rec Yds,Rec TD,Rush Rec TD,Last Update,System
0,De'Von Achane,MIA,NOR,RB,0.0,0,0,0.0,0.0,17.9,94.7,0.57,6.4,5.5,38.8,0.38,0.95,2025-11-27 06:59:21 EST,FPts
1,Jalen Hurts,PHI,CHI,QB,29.0,19,236,1.73,0.18,7.6,33.9,0.68,-,-,-,0.0,0.68,2025-11-27 06:59:21 EST,FPts
2,Josh Allen,BUF,PIT,QB,34.0,23,268,1.51,0.83,6.0,32.9,0.7,-,-,-,0.0,0.7,2025-11-27 06:59:21 EST,FPts
3,Jahmyr Gibbs,DET,GB,RB,0.0,0,0,0.0,0.0,14.7,81.4,0.66,6.4,5.5,42.7,0.19,0.8500000000000001,2025-11-27 06:59:21 EST,FPts
4,Jaxon Smith-Njigba,SEA,MIN,WR,0.0,0,0,0.0,0.0,0.6,3.6,0.0,9.4,6.6,116.5,0.72,0.72,2025-11-27 06:59:21 EST,FPts
5,Patrick Mahomes,KAN,DAL,QB,38.0,25,291,2.18,0.74,4.2,25.0,0.09,-,-,-,0.0,0.09,2025-11-27 06:59:21 EST,FPts
6,Christian McCaffrey,SF,CLE,RB,0.0,0,0,0.0,0.0,16.5,62.7,0.49,6.9,5.7,56.7,0.29,0.78,2025-11-27 06:59:21 EST,FPts
7,Ja'Marr Chase,CIN,BAL,WR,0.0,0,0,0.0,0.0,0.2,0.5,0.0,11.1,7.7,102.3,0.66,0.66,2025-11-27 06:59:21 EST,FPts
8,Amon-Ra St. Brown,DET,GB,WR,0.0,0,0,0.0,0.0,0.1,0.4,0.0,10.5,7.6,88.0,0.75,0.75,2025-11-27 06:59:21 EST,FPts
9,Lamar Jackson,BAL,CIN,QB,28.0,18,237,1.92,0.48,6.5,34.0,0.16,-,-,-,0.0,0.16,2025-11-27 06:59:21 EST,FPts
10,Drake Maye,NWE,NYG,QB,29.0,20,253,1.92,0.55,6.2,27.4,0.18,-,-,-,0.0,0.18,2025-11-27 06:59:21 EST,FPts
11,Jaxson Dart,NYG,NWE,QB,32.0,21,224,1.41,0.47,6.9,41.1,0.46,-,-,-,0.0,0.46,2025-11-27 06:59:21 EST,FPts
12,Jonathan Taylor,IND,HOU,RB,0.0,0,0,0.0,0.0,18.3,92.4,1.11,2.9,2.6,19.0,0.08,1.1900000000000002,2025-11-27 06:59:21 EST,FPts
13,Rashee Rice,KAN,DAL,WR,0.0,0,0,0.0,0.0,0.7,3.1,0.03,9.3,6.9,83.5,0.72,0.75,2025-11-27 06:59:21 EST,FPts
14,Justin Herbert,LAC,LVR,QB,32.0,22,252,1.64,0.71,5.1,27.9,0.15,-,-,-,0.0,0.15,2025-11-27 06:59:21 EST,FPts
15,Dak Prescott,DAL,KAN,QB,35.0,24,270,1.88,0.64,3.6,12.5,0.11,-,-,-,0.0,0.11,2025-11-27 06:59:21 EST,FPts
16,Derrick Henry,BAL,CIN,RB,0.0,0,0,0.0,0.0,18.9,100.8,1.04,1.9,1.6,12.9,0.04,1.08,2025-11-27 06:59:21 EST,FPts
17,Bijan Robinson,ATL,NYJ,RB,0.0,0,0,0.0,0.0,14.4,65.1,0.52,5.1,4.3,40.5,0.22,0.74,2025-11-27 06:59:21 EST,FPts
18,Matthew Stafford,LAR,CAR,QB,34.0,22,255,2.27,0.23,2.0,0.4,0.03,-,-,-,0.0,0.03,2025-11-27 06:59:21 EST,FPts
19,Puka Nacua,LAR,CAR,WR,0.0,0,0,0.0,0.0,0.5,3.5,0.01,9.1,6.7,90.6,0.41,0.42,2025-11-27 06:59:21 EST,FPts
20,Michael Wilson,ARZ,TB,WR,0.0,0,0,0.0,0.0,-,-,0.0,10.9,6.9,87.0,0.47,0.47,2025-11-27 06:59:21 EST,FPts
21,Joe Burrow,CIN,BAL,QB,38.0,24,268,1.77,0.58,2.5,10.3,0.04,-,-,-,0.0,0.04,2025-11-27 06:59:21 EST,FPts
22,CeeDee Lamb,DAL,KAN,WR,0.0,0,0,0.0,0.0,0.1,0.6,0.0,9.6,6.2,87.2,0.54,0.54,2025-11-27 06:59:21 EST,FPts
23,Bo Nix,DEN,WAS,QB,33.0,21,222,1.81,0.64,4.3,16.3,0.18,-,-,-,0.0,0.18,2025-11-27 06:59:21 EST,FPts
24,James Cook,BUF,PIT,RB,0.0,0,0,0.0,0.0,18.4,90.4,0.6,2.8,2.5,21.0,0.1,0.7,2025-11-27 06:59:21 EST,FPts
25,George Pickens,DAL,KAN,WR,0.0,0,0,0.0,0.0,-,-,0.0,7.8,5.5,87.8,0.56,0.56,2025-11-27 06:59:21 EST,FPts
26,Jacoby Brissett,ARZ,TB,QB,38.0,25,262,1.45,0.66,3.3,13.8,0.13,-,-,-,0.0,0.13,2025-11-27 06:59:21 EST,FPts
27,C.J. Stroud,HOU,IND,QB,37.0,25,265,1.41,0.8,3.4,20.5,0.03,-,-,-,0.0,0.03,2025-11-27 06:59:21 EST,FPts
28,Trevor Lawrence,JAX,TEN,QB,32.0,20,219,1.37,0.91,5.0,20.2,0.34,-,-,-,0.0,0.34,2025-11-27 06:59:21 EST,FPts
29,Saquon Barkley,PHI,CHI,RB,0.0,0,0,0.0,0.0,18.6,75.8,0.55,3.7,3.2,23.8,0.14,0.6900000000000001,2025-11-27 06:59:21 EST,FPts
30,Omarion Hampton,LAC,LVR,RB,0.0,0,0,0.0,0.0,17.0,75.3,0.64,3.4,3.0,22.3,0.1,0.74,2025-11-27 06:59:21 EST,FPts
31,TreVeyon Henderson,NWE,NYG,RB,0.0,0,0,0.0,0.0,15.7,81.5,0.62,3.0,2.6,16.5,0.14,0.76,2025-11-27 06:59:21 EST,FPts
32,Trey McBride,ARZ,TB,TE,0.0,0,0,0.0,0.0,-,-,0.0,9.4,6.7,69.9,0.53,0.53,2025-11-27 06:59:21 EST,FPts
33,Daniel Jones,IND,HOU,QB,32.0,21,236,1.29,0.76,3.7,17.2,0.24,-,-,-,0.0,0.24,2025-11-27 06:59:21 EST,FPts
34,Breece Hall,NYJ,ATL,RB,0.0,0,0,0.0,0.0,18.4,83.7,0.39,3.2,2.7,26.6,0.13,0.52,2025-11-27 06:59:21 EST,FPts
35,Jaylen Waddle,MIA,NOR,WR,0.0,0,0,0.0,0.0,-,-,0.0,7.7,5.1,77.6,0.64,0.64,2025-11-27 06:59:21 EST,FPts
36,Caleb Williams,CHI,PHI,QB,35.0,21,237,1.01,0.47,5.0,28.6,0.16,-,-,-,0.0,0.16,2025-11-27 06:59:21 EST,FPts
37,Jordan Love,GB,DET,QB,33.0,22,239,1.53,0.35,2.8,12.1,0.03,-,-,-,0.0,0.03,2025-11-27 06:59:21 EST,FPts
38,Chris Olave,NOR,MIA,WR,0.0,0,0,0.0,0.0,0.1,0.3,0.0,10.1,6.6,74.0,0.43,0.43,2025-11-27 06:59:21 EST,FPts
39,Brock Purdy,SF,CLE,QB,31.0,21,253,1.5,0.91,3.3,10.2,0.06,-,-,-,0.0,0.06,2025-11-27 06:59:21 EST,FPts
