,Week,Team,Opp,OU,Spread,Implied
0,1,CIN,CLE,48.5,-5.5,27.0
1,1,BAL,BUF,50.5,-1.5,26.0
2,1,DEN,TEN,42.5,-8.5,25.5
3,1,WAS,NYG,45.5,-5.5,25.5
4,1,JAX,CAR,46.5,-3.5,25.0
5,1,GNB,DET,47.5,-2.5,25.0
6,1,ARI,NOR,43.5,-6.5,25.0
7,1,KAN,LAC,46.5,-3.0,24.75
8,1,BUF,BAL,50.5,1.5,24.5
9,1,IND,MIA,47.5,-1.5,24.5
10,1,TAM,ATL,46.5,-1.5,24.0
11,1,NWE,LVR,44.5,-2.5,23.5
12,1,LAR,HOU,43.5,-3.0,23.25
13,1,MIA,IND,47.5,1.5,23.0
14,1,MIN,CHI,43.5,-1.5,22.5
15,1,ATL,TAM,46.5,1.5,22.5
16,1,SFO,SEA,43.5,-1.5,22.5
17,1,DET,GNB,47.5,2.5,22.5
18,1,LAC,KAN,46.5,3.0,21.75
19,1,CAR,JAX,46.5,3.5,21.5
20,1,CLE,CIN,48.5,5.5,21.5
21,1,SEA,SFO,43.5,1.5,21.0
22,1,LVR,NWE,44.5,2.5,21.0
23,1,CHI,MIN,43.5,1.5,21.0
24,1,PIT,NYJ,37.5,-3.0,20.25
25,1,HOU,LAR,43.5,3.0,20.25
26,1,NYG,WAS,45.5,5.5,20.0
27,1,NOR,ARI,43.5,6.5,18.5
28,1,NYJ,PIT,37.5,3.0,17.25
29,1,TEN,DEN,42.5,8.5,17.0
