,Player,Pos,Team,Opp,Sal,Projection,Value,MainSlate,Ceiling100,LastUpdate
0,Jahmyr Gibbs,RB,DET,NYJ,8800.0,26.3719,2.9968068181818177,Y,140.0,2026-09-24 07:46:26 AM
1,Josh Allen,QB,BUF,LAC,8000.0,25.17828,3.147285,Y,140.0,2026-09-24 07:46:26 AM
2,Bijan Robinson,RB,ATL,@GB,,22.4414,,N,140.0,2026-09-24 07:46:26 AM
3,Christian McCaffrey,RB,SF,ARI,8300.0,20.349300000000003,2.451722891566265,Y,140.0,2026-09-24 07:46:26 AM
4,Kenneth Walker,RB,KC,@MIA,7400.0,21.8329,2.950391891891892,Y,140.0,2026-09-24 07:46:26 AM
5,Lamar Jackson,QB,BAL,DAL,7500.0,21.28946,2.8385946666666664,Y,134.0,2026-09-24 07:46:26 AM
6,Brock Purdy,QB,SF,ARI,6500.0,20.9586,3.2244,Y,134.0,2026-09-24 07:46:26 AM
7,Dak Prescott,QB,DAL,BAL,6700.0,20.43024,3.0492895522388057,Y,130.0,2026-09-24 07:46:26 AM
8,Patrick Mahomes,QB,KC,@MIA,6200.0,20.8659,3.365467741935484,Y,132.0,2026-09-24 07:46:26 AM
9,Derrick Henry,RB,BAL,DAL,7700.0,20.0389,2.6024545454545454,Y,136.0,2026-09-24 07:46:26 AM
10,Amon-Ra St. Brown,WR,DET,NYJ,7900.0,22.8207,2.888696202531645,Y,140.0,2026-09-24 07:46:26 AM
11,Trevor Lawrence,QB,JAX,NE,5700.0,19.71976,3.459607017543859,Y,125.0,2026-09-24 07:46:26 AM
12,Jonathan Taylor,RB,IND,HOU,7600.0,19.7452,2.5980526315789474,Y,129.0,2026-09-24 07:46:26 AM
13,Jared Goff,QB,DET,NYJ,6300.0,19.11588,3.034266666666667,Y,120.0,2026-09-24 07:46:26 AM
14,Jaxon Smith-Njigba,WR,SEA,@WAS,8600.0,19.2807,2.241941860465116,Y,140.0,2026-09-24 07:46:26 AM
15,James Cook,RB,BUF,LAC,6900.0,18.4268,2.670550724637681,Y,129.0,2026-09-24 07:46:26 AM
16,Drake Maye,QB,NE,@JAX,6100.0,18.708720000000003,3.0670032786885253,Y,113.0,2026-09-24 07:46:26 AM
17,Ashton Jeanty,RB,LV,@NO,7100.0,19.2741,2.7146619718309863,Y,126.0,2026-09-24 07:46:26 AM
18,De'Von Achane,RB,MIA,KC,6500.0,18.8267,2.8964153846153846,Y,127.0,2026-09-24 07:46:26 AM
19,Kyler Murray,QB,MIN,@TB,5100.0,18.20074,3.568772549019608,Y,114.0,2026-09-24 07:46:26 AM
20,CeeDee Lamb,WR,DAL,BAL,7800.0,18.6414,2.389923076923077,Y,140.0,2026-09-24 07:46:26 AM
21,Tyler Shough,QB,NO,LV,5400.0,19.101,3.537222222222222,Y,114.0,2026-09-24 07:46:26 AM
22,Jalen Hurts,QB,PHI,@CHI,,18.6603,,N,114.0,2026-09-24 07:46:26 AM
23,Bo Nix,QB,DEN,LA,,17.86728,,N,109.0,2026-09-24 07:46:26 AM
24,Jordan Love,QB,GB,ATL,,17.92084,,N,107.0,2026-09-24 07:46:26 AM
25,Davante Adams,WR,LA,@DEN,,16.78,,N,140.0,2026-09-24 07:46:26 AM
26,Matthew Stafford,QB,LA,@DEN,,17.34356,,N,102.0,2026-09-24 07:46:26 AM
27,Ja'Marr Chase,WR,CIN,@PIT,8100.0,17.522599999999997,2.163283950617284,Y,135.0,2026-09-24 07:46:26 AM
28,C.J. Stroud,QB,HOU,@IND,5500.0,16.915399999999998,3.0755272727272724,Y,101.0,2026-09-24 07:46:26 AM
29,Justin Herbert,QB,LAC,@BUF,5800.0,17.1784,2.961793103448276,Y,101.0,2026-09-24 07:46:26 AM
30,Joe Burrow,QB,CIN,@PIT,6600.0,17.41752,2.639018181818182,Y,100.0,2026-09-24 07:46:26 AM
31,Parker Washington,WR,JAX,NE,6000.0,16.5826,2.7637666666666667,Y,138.0,2026-09-24 07:46:26 AM
32,Chase Brown,RB,CIN,@PIT,6600.0,17.2832,2.618666666666667,Y,116.0,2026-09-24 07:46:26 AM
33,Justin Jefferson,WR,MIN,@TB,7500.0,16.7779,2.2370533333333333,Y,136.0,2026-09-24 07:46:26 AM
34,Trey McBride,TE,ARI,@SF,6700.0,16.1135,2.405,Y,140.0,2026-09-24 07:46:26 AM
35,Chuba Hubbard,RB,CAR,@CLE,6100.0,16.7537,2.746508196721311,Y,118.0,2026-09-24 07:46:26 AM
36,Saquon Barkley,RB,PHI,@CHI,,16.1159,,N,119.0,2026-09-24 07:46:26 AM
37,Bryce Young,QB,CAR,@CLE,5600.0,16.8544,3.009714285714286,Y,95.0,2026-09-24 07:46:26 AM
38,Chris Olave,WR,NO,LV,7200.0,16.6222,2.308638888888889,Y,133.0,2026-09-24 07:46:26 AM
39,Sam Darnold,QB,SEA,@WAS,5400.0,11.48,2.1259259259259253,Y,94.0,2026-09-24 07:46:26 AM
40,Christian Watson,WR,GB,ATL,,15.9442,,N,132.0,2026-09-24 07:46:26 AM
41,Drake London,WR,ATL,@GB,,15.445,,N,128.0,2026-09-24 07:46:26 AM
42,Javonte Williams,RB,DAL,BAL,6700.0,16.0154,2.390358208955224,Y,113.0,2026-09-24 07:46:26 AM
43,George Pickens,WR,DAL,BAL,6600.0,15.057299999999998,2.2814090909090905,Y,130.0,2026-09-24 07:46:26 AM
44,DeVonta Smith,WR,PHI,@CHI,,15.9167,,N,128.0,2026-09-24 07:46:26 AM
45,Jacoby Brissett,QB,ARI,@SF,4800.0,15.34316,3.1964916666666667,Y,85.0,2026-09-24 07:46:26 AM
46,Baker Mayfield,QB,TB,MIN,5300.0,15.9564,3.0106415094339622,Y,86.0,2026-09-24 07:46:26 AM
47,Bucky Irving,RB,TB,MIN,6300.0,15.2223,2.416238095238095,Y,111.0,2026-09-24 07:46:26 AM
48,Aaron Jones,RB,MIN,@TB,5900.0,15.55,2.635593220338983,Y,109.0,2026-09-24 07:46:26 AM
49,Daniel Jones,QB,IND,HOU,5000.0,14.584499999999998,2.9169,Y,79.0,2026-09-24 07:46:26 AM
50,Garrett Wilson,WR,NYJ,@DET,6300.0,15.1172,2.399555555555555,Y,124.0,2026-09-24 07:46:26 AM
51,Deshaun Watson,QB,CLE,CAR,4700.0,15.4591,3.289170212765957,Y,84.0,2026-09-24 07:46:26 AM
52,Malik Willis,QB,MIA,KC,4900.0,15.27478,3.1173020408163263,Y,80.0,2026-09-24 07:46:26 AM
53,Omarion Hampton,RB,LAC,@BUF,6800.0,14.439899999999998,2.1235147058823527,Y,107.0,2026-09-24 07:46:26 AM
54,Jameis Winston,QB,NYG,TEN,4000.0,14.508159999999998,3.62704,Y,81.0,2026-09-24 07:46:26 AM
55,Geno Smith,QB,NYJ,@DET,4900.0,15.13888,3.089567346938775,Y,80.0,2026-09-24 07:46:26 AM
56,Aaron Rodgers,QB,PIT,CIN,5000.0,14.43192,2.886384,Y,76.0,2026-09-24 07:46:26 AM
57,Breece Hall,RB,NYJ,@DET,6400.0,15.035799999999998,2.34934375,Y,106.0,2026-09-24 07:46:26 AM
58,Jaylen Waddle,WR,DEN,LA,,14.1809,,N,119.0,2026-09-24 07:46:26 AM
59,Kirk Cousins,QB,LV,@NO,4800.0,14.230800000000002,2.9647500000000004,Y,74.0,2026-09-24 07:46:26 AM
60,Brock Bowers,TE,LV,@NO,6600.0,12.9297,1.9590454545454548,Y,137.0,2026-09-24 07:46:26 AM
61,Matthew Golden,WR,GB,ATL,,13.7356,,N,117.0,2026-09-24 07:46:26 AM
62,Jadarian Price,RB,SEA,@WAS,5300.0,9.94,1.875471698113208,Y,106.0,2026-09-24 07:46:26 AM
63,Michael Penix Jr.,QB,ATL,@GB,,13.95842,,N,71.0,2026-09-24 07:46:26 AM
64,Case Keenum,QB,CHI,PHI,,13.53,,N,70.0,2026-09-24 07:46:26 AM
65,Ladd McConkey,WR,LAC,@BUF,5900.0,13.792199999999998,2.337661016949152,Y,115.0,2026-09-24 07:46:26 AM
66,Kyren Williams,RB,LA,@DEN,,12.9892,,N,103.0,2026-09-24 07:46:26 AM
67,Malik Nabers,WR,NYG,TEN,6500.0,13.235399999999998,2.0362153846153843,Y,116.0,2026-09-24 07:46:26 AM
68,Cam Skattebo,RB,NYG,TEN,6200.0,14.28,2.303225806451613,Y,102.0,2026-09-24 07:46:26 AM
69,DK Metcalf,WR,PIT,CIN,5400.0,13.9436,2.582148148148148,Y,113.0,2026-09-24 07:46:26 AM
70,Mike Evans,WR,SF,ARI,6800.0,13.59,1.9985294117647057,Y,115.0,2026-09-24 07:46:26 AM
71,Mark Andrews,TE,BAL,DAL,4400.0,13.07,2.970454545454545,Y,130.0,2026-09-24 07:46:26 AM
72,DJ Moore,WR,BUF,LAC,5800.0,12.9381,2.230706896551724,Y,113.0,2026-09-24 07:46:26 AM
73,Tetairoa McMillan,WR,CAR,@CLE,6000.0,13.5455,2.2575833333333333,Y,114.0,2026-09-24 07:46:26 AM
74,Marcus Mariota,QB,WAS,SEA,4500.0,13.84,3.075555555555556,Y,67.0,2026-09-24 07:46:26 AM
75,D'Andre Swift,RB,CHI,PHI,,13.38,,N,99.0,2026-09-24 07:46:26 AM
76,Tee Higgins,WR,CIN,@PIT,6100.0,13.3167,2.183065573770492,Y,113.0,2026-09-24 07:46:26 AM
77,Josh Downs,WR,IND,HOU,5700.0,12.7156,2.23080701754386,Y,109.0,2026-09-24 07:46:26 AM
78,Quinshon Judkins,RB,CLE,CAR,5500.0,13.169999999999998,2.394545454545454,Y,99.0,2026-09-24 07:46:26 AM
79,Rashod Bateman,WR,BAL,DAL,4700.0,11.84,2.519148936170213,Y,112.0,2026-09-24 07:46:26 AM
80,Cam Ward,QB,TEN,@NYG,5100.0,12.79246,2.5083254901960785,Y,61.0,2026-09-24 07:46:26 AM
81,Dalton Kincaid,TE,BUF,LAC,5500.0,12.5039,2.2734363636363635,Y,125.0,2026-09-24 07:46:26 AM
82,Travis Kelce,TE,KC,@MIA,4500.0,13.2306,2.9401333333333333,Y,127.0,2026-09-24 07:46:26 AM
83,George Kittle,TE,SF,ARI,4800.0,12.2,2.5416666666666665,Y,124.0,2026-09-24 07:46:26 AM
84,Sam LaPorta,TE,DET,NYJ,4300.0,12.3409,2.8699767441860464,Y,118.0,2026-09-24 07:46:26 AM
85,Dalton Schultz,TE,HOU,@IND,4200.0,12.3395,2.9379761904761907,Y,119.0,2026-09-24 07:46:26 AM
86,Tyler Warren,TE,IND,HOU,5300.0,11.8781,2.2411509433962267,Y,111.0,2026-09-24 07:46:26 AM
87,Bhayshul Tuten,RB,JAX,NE,5600.0,11.796399999999998,2.1065,Y,94.0,2026-09-24 07:46:26 AM
88,Rashee Rice,WR,KC,@MIA,6400.0,12.954,2.0240625,Y,101.0,2026-09-24 07:46:26 AM
89,Rhamondre Stevenson,RB,NE,@JAX,5400.0,11.6192,2.1517037037037032,Y,91.0,2026-09-24 07:46:26 AM
90,Michael Wilson,WR,ARI,@SF,5200.0,11.3863,2.1896730769230768,Y,100.0,2026-09-24 07:46:26 AM
91,Jalen Coker,WR,CAR,@CLE,5500.0,12.7322,2.314945454545455,Y,100.0,2026-09-24 07:46:26 AM
92,Travis Etienne,RB,NO,LV,5800.0,11.69,2.0155172413793103,Y,92.0,2026-09-24 07:46:26 AM
93,Deebo Samuel,WR,SF,ARI,5300.0,12.01,2.2660377358490567,Y,99.0,2026-09-24 07:46:26 AM
94,Jameson Williams,WR,DET,NYJ,5400.0,11.7616,2.178074074074074,Y,103.0,2026-09-24 07:46:26 AM
95,David Montgomery,RB,HOU,@IND,6000.0,12.2109,2.03515,Y,92.0,2026-09-24 07:46:26 AM
96,Jaylen Warren,RB,PIT,CIN,5700.0,13.79,2.419298245614035,Y,90.0,2026-09-24 07:46:26 AM
97,Jeremiyah Love,RB,ARI,@SF,5500.0,11.2002,2.0364,Y,89.0,2026-09-24 07:46:26 AM
98,Tucker Kraft,TE,GB,ATL,,11.4605,,N,111.0,2026-09-24 07:46:26 AM
99,Emeka Egbuka,WR,TB,MIN,6200.0,11.1962,1.80583870967742,Y,96.0,2026-09-24 07:46:26 AM
100,Tony Pollard,RB,TEN,@NYG,5400.0,11.27,2.087037037037037,Y,91.0,2026-09-24 07:46:26 AM
101,Rico Dowdle,RB,PIT,CIN,4700.0,7.699999999999999,1.6382978723404251,Y,87.0,2026-09-24 07:46:26 AM
102,Xavier Worthy,WR,KC,@MIA,4400.0,10.8384,2.4632727272727277,Y,93.0,2026-09-24 07:46:26 AM
103,Luther Burden,WR,CHI,PHI,,10.21,,N,88.0,2026-09-24 07:46:26 AM
104,Terrance Ferguson,TE,LA,@DEN,,9.46,,N,79.0,2026-09-24 07:46:26 AM
105,Malik Washington,WR,MIA,KC,4200.0,10.51,2.5023809523809524,Y,89.0,2026-09-24 07:46:26 AM
106,KC Concepcion,WR,CLE,CAR,,10.3154,,N,88.0,2026-09-24 07:46:26 AM
107,Brian Thomas,WR,JAX,NE,4600.0,10.4337,2.268195652173913,Y,91.0,2026-09-24 07:46:26 AM
108,Jordan Addison,WR,MIN,@TB,4900.0,9.9314,2.026816326530612,Y,91.0,2026-09-24 07:46:26 AM
109,Colston Loveland,TE,CHI,PHI,,9.91,,N,98.0,2026-09-24 07:46:26 AM
110,Courtland Sutton,WR,DEN,LA,,10.328,,N,89.0,2026-09-24 07:46:26 AM
111,Romeo Doubs,WR,NE,@JAX,5100.0,10.347,2.0288235294117647,Y,87.0,2026-09-24 07:46:26 AM
112,Devaughn Vele,WR,NO,LV,4400.0,10.5757,2.4035681818181818,Y,86.0,2026-09-24 07:46:26 AM
113,Adonai Mitchell,WR,NYJ,@DET,4300.0,10.6245,2.470813953488372,Y,88.0,2026-09-24 07:46:26 AM
114,Dontayvion Wicks,WR,PHI,@CHI,,9.8542,,N,87.0,2026-09-24 07:46:26 AM
115,Jakobi Meyers,WR,JAX,NE,4800.0,9.8341,2.0487708333333337,Y,84.0,2026-09-24 07:46:26 AM
116,TreVeyon Henderson,RB,NE,@JAX,5200.0,9.82,1.8884615384615384,Y,82.0,2026-09-24 07:46:26 AM
117,Hunter Henry,TE,NE,@JAX,3900.0,9.7895,2.510128205128205,Y,95.0,2026-09-24 07:46:26 AM
118,Khalil Shakir,WR,BUF,LAC,4800.0,9.0675,1.8890625,Y,83.0,2026-09-24 07:46:26 AM
119,Harold Fannin,TE,CLE,CAR,4000.0,9.5765,2.394125,Y,92.0,2026-09-24 07:46:26 AM
120,Harrison Butker,K,KC,@MIA,,9.439999999999998,,N,140.0,2026-09-24 07:46:26 AM
121,Isaiah Likely,TE,NYG,TEN,4700.0,9.6546,2.0541702127659573,Y,90.0,2026-09-24 07:46:26 AM
122,Carnell Tate,WR,TEN,@NYG,5000.0,9.3321,1.86642,Y,81.0,2026-09-24 07:46:26 AM
123,Terry McLaurin,WR,WAS,SEA,5100.0,10.2721,2.0141372549019607,Y,82.0,2026-09-24 07:46:26 AM
124,Eddy Pineiro,K,SF,ARI,,9.77,,N,132.0,2026-09-24 07:46:26 AM
125,Xavier Hutchinson,WR,HOU,@IND,4000.0,8.8087,2.202175,Y,81.0,2026-09-24 07:46:26 AM
126,Blake Corum,RB,LA,@DEN,,8.5788,,N,78.0,2026-09-24 07:46:26 AM
127,Jake Bates,K,DET,NYJ,,9.29,,N,132.0,2026-09-24 07:46:26 AM
128,Tre Tucker,WR,LV,@NO,5000.0,9.1326,1.82652,Y,81.0,2026-09-24 07:46:26 AM
