,Player,Pos,Team,Opp,Sal,Projection,Value,MainSlate
0,Josh Allen,QB,BUF,DET,,26.14212,,N
1,Jahmyr Gibbs,RB,DET,@BUF,,24.828899999999997,,N
2,Bijan Robinson,RB,ATL,CAR,8200.0,23.5951,2.8774512195121953,Y
3,Dak Prescott,QB,DAL,WAS,6400.0,20.9572,3.2745625,Y
4,Puka Nacua,WR,LA,NYG,,21.051299999999998,,N
5,Christian McCaffrey,RB,SF,MIA,8000.0,21.2888,2.6611,Y
6,Brock Purdy,QB,SF,MIA,6200.0,21.072359999999996,3.398767741935483,Y
7,Derrick Henry,RB,BAL,NO,7200.0,19.787,2.748194444444444,Y
8,Patrick Mahomes,QB,KC,IND,,19.82144,,N
9,Jayden Daniels,QB,WAS,@DAL,6300.0,19.773600000000002,3.138666666666667,Y
10,James Cook,RB,BUF,DET,,19.2783,,N
11,Amon-Ra St. Brown,WR,DET,@BUF,,19.74,,N
12,Kenneth Walker,RB,KC,IND,,19.508200000000002,,N
13,Jalen Hurts,QB,PHI,@TEN,6700.0,19.77806,2.951949253731343,Y
14,Lamar Jackson,QB,BAL,NO,7300.0,19.96714,2.7352246575342467,Y
15,Trevor Lawrence,QB,JAX,@DEN,5800.0,18.3775,3.168534482758621,Y
16,Matthew Stafford,QB,LA,NYG,,18.75668,,N
17,Caleb Williams,QB,CHI,MIN,6800.0,19.1432,2.8151764705882356,Y
18,Bo Nix,QB,DEN,JAX,5700.0,18.8357,3.3045087719298243,Y
19,Javonte Williams,RB,DAL,WAS,6400.0,18.281599999999997,2.8564999999999996,Y
20,Jonathan Taylor,RB,IND,@KC,,18.883,,N
21,Ja'Marr Chase,WR,CIN,@HOU,7600.0,18.3953,2.4204342105263157,Y
22,Justin Herbert,QB,LAC,LV,6000.0,18.580000000000002,3.096666666666667,Y
23,Drake Maye,QB,NE,PIT,6100.0,18.65076,3.0575016393442622,Y
24,Joe Burrow,QB,CIN,@HOU,6600.0,18.33,2.7772727272727273,Y
25,CeeDee Lamb,WR,DAL,WAS,7300.0,18.1178,2.481890410958904,Y
26,Jared Goff,QB,DET,@BUF,,18.134999999999998,,N
27,Jordan Love,QB,GB,@NYJ,5900.0,18.16494,3.0788033898305085,Y
28,Jaxson Dart,QB,NYG,@LA,,18.4406,,N
29,Baker Mayfield,QB,TB,CLE,5600.0,17.63596,3.149278571428572,Y
30,De'Von Achane,RB,MIA,@SF,6700.0,17.1648,2.561910447761194,Y
31,Tyler Shough,QB,NO,@BAL,5300.0,17.31874,3.26768679245283,Y
32,Jaxon Smith-Njigba,WR,SEA,@ARI,8100.0,17.0563,2.1057160493827163,Y
33,C.J. Stroud,QB,HOU,CIN,5500.0,17.38,3.1599999999999997,Y
34,Ashton Jeanty,RB,LV,@LAC,6800.0,17.5163,2.5759264705882354,Y
35,Bryce Young,QB,CAR,@ATL,5400.0,17.06948,3.1610148148148145,Y
36,Justin Jefferson,WR,MIN,@CHI,7800.0,17.1872,2.2034871794871798,Y
37,Saquon Barkley,RB,PHI,@TEN,7000.0,16.4708,2.3529714285714287,Y
38,George Pickens,WR,DAL,WAS,6300.0,15.847200000000003,2.515428571428572,Y
39,Chris Olave,WR,NO,@BAL,7200.0,16.0122,2.2239166666666668,Y
40,Trey McBride,TE,ARI,SEA,6900.0,16.0743,2.329608695652174,Y
41,Bucky Irving,RB,TB,CLE,6100.0,15.735599999999998,2.579606557377049,Y
42,Rhamondre Stevenson,RB,NE,PIT,5700.0,15.5345,2.7253508771929824,Y
43,Kyren Williams,RB,LA,NYG,,15.027199999999999,,N
44,Daniel Jones,QB,IND,@KC,,15.301099999999998,,N
45,Malik Willis,QB,MIA,@SF,5200.0,15.821419999999998,3.042580769230769,Y
46,Carson Wentz,QB,MIN,@CHI,4600.0,15.463719999999999,3.361678260869565,Y
47,Breece Hall,RB,NYJ,GB,6200.0,15.3973,2.483435483870968,Y
48,DJ Moore,WR,BUF,DET,,14.764599999999998,,N
49,Drew Lock,QB,SEA,@ARI,4900.0,15.027,3.066734693877551,Y
50,Jacoby Brissett,QB,ARI,SEA,5000.0,15.228979999999998,3.0457959999999997,Y
51,Chase Brown,RB,CIN,@HOU,6900.0,15.344600000000002,2.2238550724637682,Y
52,Omarion Hampton,RB,LAC,LV,6600.0,14.936799999999998,2.263151515151515,Y
53,Aaron Jones,RB,MIN,@CHI,5100.0,14.934,2.928235294117647,Y
54,Parker Washington,WR,JAX,@DEN,5900.0,13.953500000000002,2.365,Y
55,Garrett Wilson,WR,NYJ,GB,6000.0,14.1242,2.354033333333333,Y
56,Rashee Rice,WR,KC,IND,,14.341599999999998,,N
57,D'Andre Swift,RB,CHI,MIN,6300.0,14.479700000000001,2.2983650793650794,Y
58,Malik Nabers,WR,NYG,@LA,,14.3013,,N
59,Aaron Rodgers,QB,PIT,@NE,5100.0,14.339679999999998,2.8117019607843137,Y
60,DeVonta Smith,WR,PHI,@TEN,6800.0,14.0422,2.065029411764706,Y
61,David Montgomery,RB,HOU,CIN,6500.0,14.663099999999998,2.2558615384615384,Y
62,Tetairoa McMillan,WR,CAR,@ATL,6100.0,13.651499999999999,2.237950819672131,Y
63,Chuba Hubbard,RB,CAR,@ATL,5800.0,13.4917,2.326155172413793,Y
64,Davante Adams,WR,LA,NYG,,13.4956,,N
65,Mike Evans,WR,SF,MIA,6600.0,13.837499999999999,2.096590909090909,Y
66,Deshaun Watson,QB,CLE,@TB,4500.0,13.835700000000001,3.0746,Y
67,MarShawn Lloyd,RB,GB,@NYJ,5300.0,13.027399999999998,2.4579999999999997,Y
68,DK Metcalf,WR,PIT,@NE,5200.0,13.0964,2.518538461538461,Y
69,Jaylen Waddle,WR,DEN,JAX,6500.0,13.2553,2.039276923076923,Y
70,Christian Watson,WR,GB,@NYJ,6200.0,13.290899999999999,2.1436935483870965,Y
71,Geno Smith,QB,NYJ,GB,4800.0,13.500219999999999,2.812545833333333,Y
72,Tee Higgins,WR,CIN,@HOU,6100.0,12.8501,2.1065737704918033,Y
73,Jameson Williams,WR,DET,@BUF,,12.9449,,N
74,Mark Andrews,TE,BAL,NO,4400.0,12.222000000000001,2.777727272727273,Y
75,Quentin Johnston,WR,LAC,LV,5000.0,12.91,2.582,Y
76,Emeka Egbuka,WR,TB,CLE,6400.0,12.498199999999999,1.9528437499999998,Y
77,Dalton Kincaid,TE,BUF,DET,,12.4587,,N
78,Cam Ward,QB,TEN,PHI,4900.0,12.61128,2.5737306122448977,Y
79,Kirk Cousins,QB,LV,@LAC,5000.0,12.819999999999999,2.5639999999999996,Y
80,Cam Skattebo,RB,NYG,@LA,,12.3866,,N
81,Drake London,WR,ATL,CAR,6000.0,12.6391,2.1065166666666664,Y
82,Tyler Warren,TE,IND,@KC,,11.678999999999998,,N
83,Jacory Croskey-Merritt,RB,WAS,@DAL,5500.0,11.483299999999998,2.087872727272727,Y
84,Terry McLaurin,WR,WAS,@DAL,5200.0,12.5841,2.4200192307692308,Y
85,Jalen Coker,WR,CAR,@ATL,5100.0,12.1388,2.380156862745098,Y
86,Stefon Diggs,WR,WAS,@DAL,5300.0,11.962499999999999,2.257075471698113,Y
87,Xavier Worthy,WR,KC,IND,,11.5396,,N
88,Colston Loveland,TE,CHI,MIN,5000.0,11.9769,2.3953800000000003,Y
89,Sam LaPorta,TE,DET,@BUF,,12.053799999999999,,N
90,Michael Mayer,TE,LV,@LAC,3600.0,11.659999999999998,3.2388888888888885,Y
91,Cooper Rush,QB,ATL,CAR,4200.0,11.8,2.8095238095238098,Y
92,Travis Kelce,TE,KC,IND,,11.572000000000001,,N
93,Jadarian Price,RB,SEA,@ARI,5500.0,11.9713,2.1766,Y
94,Luther Burden,WR,CHI,MIN,5700.0,11.791999999999998,2.068771929824561,Y
95,Quinshon Judkins,RB,CLE,@TB,5400.0,11.3171,2.095759259259259,Y
96,Matthew Golden,WR,GB,@NYJ,4700.0,11.0273,2.3462340425531916,Y
97,Dalton Schultz,TE,HOU,CIN,3200.0,11.1289,3.4777812499999996,Y
98,Jaylen Warren,RB,PIT,@NE,5400.0,11.383899999999999,2.1081296296296292,Y
99,Josh Downs,WR,IND,@KC,,10.650699999999999,,N
100,Tucker Kraft,TE,GB,@NYJ,4900.0,10.758700000000001,2.19565306122449,Y
101,Deebo Samuel,WR,SF,MIA,5300.0,10.561300000000001,1.9926981132075474,Y
102,Jeremiyah Love,RB,ARI,SEA,5900.0,10.928899999999999,1.8523559322033896,Y
103,KC Concepcion,WR,CLE,@TB,4100.0,10.161200000000001,2.4783414634146346,Y
104,Jayden Reed,WR,GB,@NYJ,4500.0,10.357000000000001,2.301555555555556,Y
105,Dallas Goedert,TE,PHI,@TEN,4800.0,11.1498,2.3228750000000002,Y
106,Tre Tucker,WR,LV,@LAC,4500.0,10.680000000000001,2.3733333333333335,Y
107,Rico Dowdle,RB,PIT,@NE,4900.0,10.817400000000001,2.2076326530612245,Y
108,Khalil Shakir,WR,BUF,DET,,10.6142,,N
109,Courtland Sutton,WR,DEN,JAX,5800.0,10.4591,1.8032931034482758,Y
110,Jakobi Meyers,WR,JAX,@DEN,4900.0,10.5319,2.1493673469387753,Y
111,Travis Etienne,RB,NO,@BAL,6000.0,10.991299999999999,1.831883333333333,Y
112,Chris Godwin,WR,TB,CLE,5600.0,10.7445,1.9186607142857144,Y
113,Kenny Gainwell,RB,TB,CLE,5100.0,10.17,1.9941176470588236,Y
114,Bhayshul Tuten,RB,JAX,@DEN,5600.0,10.2746,1.83475,Y
115,Wan'Dale Robinson,WR,TEN,PHI,4600.0,10.038499999999999,2.182282608695652,Y
116,Rome Odunze,WR,CHI,MIN,5500.0,9.9095,1.8017272727272726,Y
117,RJ Harvey,RB,DEN,JAX,5200.0,10.33,1.9865384615384616,Y
118,Tre Harris,WR,LAC,LV,4000.0,10.139999999999999,2.5349999999999997,Y
119,Jordan Addison,WR,MIN,@CHI,5100.0,9.814799999999998,1.924470588235294,Y
120,Juwan Johnson,TE,NO,@BAL,3900.0,10.1396,2.599897435897436,Y
121,Michael Wilson,WR,ARI,SEA,5400.0,10.093399999999999,1.8691481481481478,Y
122,George Kittle,TE,SF,MIA,4600.0,10.289099999999998,2.236760869565217,Y
123,Romeo Doubs,WR,NE,PIT,5000.0,10.2465,2.0492999999999997,Y
124,Michael Pittman Jr.,WR,PIT,@NE,4700.0,10.119,2.1529787234042552,Y
125,Cairo Santos,K,CHI,MIN,,10.039999999999997,,N
126,JK Dobbins,RB,DEN,JAX,5000.0,9.9316,1.9863199999999999,Y
127,Blake Corum,RB,LA,NYG,,9.043399999999998,,N
128,Hunter Henry,TE,NE,PIT,4000.0,9.441199999999998,2.3602999999999996,Y
129,TB DST,DST,TB,CLE,,9.55,,N
130,Tyler Loop,K,BAL,NO,,9.74,,N
131,Alec Pierce,WR,IND,@KC,,9.182599999999999,,N
132,Brandon Aubrey,K,DAL,WAS,,9.600000000000001,,N
133,Cameron Dicker,K,LAC,LV,,10.09,,N
134,Eddy Pineiro,K,SF,MIA,,9.23,,N
135,Keenan Allen,WR,IND,@KC,,9.2608,,N
136,Brian Thomas,WR,JAX,@DEN,4800.0,9.2248,1.9218333333333335,Y
137,Malik Washington,WR,MIA,@SF,4000.0,9.1299,2.282475,Y
138,Devaughn Vele,WR,NO,@BAL,4200.0,9.7414,2.3193809523809525,Y
139,Isaiah Likely,TE,NYG,@LA,,9.490300000000001,,N
140,Tyler Bass,K,BUF,DET,,9.719999999999999,,N
141,Harrison Butker,K,KC,IND,,9.3,,N
142,Harrison Mevis,K,LA,NYG,,9.719999999999999,,N
143,Marvin Harrison Jr.,WR,ARI,SEA,4900.0,9.3057,1.8991224489795917,Y
144,Harold Fannin,TE,CLE,@TB,4100.0,9.4109,2.2953414634146343,Y
145,Xavier Hutchinson,WR,HOU,CIN,3500.0,9.3048,2.658514285714286,Y
146,Carnell Tate,WR,TEN,PHI,5100.0,9.5247,1.8675882352941175,Y
147,Ryan Fitzgerald,K,CAR,@ATL,,9.29,,N
148,Caleb Douglas,WR,MIA,@SF,3700.0,9.105799999999999,2.4610270270270265,Y
149,Will Reichard,K,MIN,@CHI,,9.62,,N
150,Jake Elliott,K,PHI,@TEN,,9.25,,N
151,Evan McPherson,K,CIN,@HOU,,9.01,,N
