,Player,DK ID,Pos,Team,Opp,Proj,Sal,Own,Floor,Ceiling,JA Proj,Avg Proj,Avg Ceiling,Proj OA,Ceiling OA,wProj1,wProj_ceil
0,Jonathan Taylor,40470030,RB,IND,TEN,25.8,9500.0,27.0,12.1,41.7,24.19,15.76,27.64,1.64,1.13,25.4,28.64
2,Bijan Robinson,40470034,RB,ATL,MIA,25.7,8800.0,28.0,12.7,41.7,23.4,15.76,27.64,1.63,1.13,25.12,28.33
1,Christian McCaffrey,40470032,RB,SF,HOU,23.3,9000.0,16.0,11.4,37.5,22.72,15.76,27.64,1.48,1.09,23.16,25.24
3,Ja'Marr Chase,40470264,WR,CIN,NYJ,22.5,8100.0,34.0,9.6,37.6,21.3,11.83,22.72,1.9,1.16,22.2,25.81
6,Josh Allen,40469963,QB,BUF,CAR,22.3,7500.0,4.0,12.3,33.7,21.84,17.42,27.38,1.28,1.06,22.18,23.46
27,Bo Nix,40469970,QB,DEN,DAL,22.1,6000.0,14.0,12.2,33.3,21.67,17.42,27.38,1.27,1.06,21.99,23.2
13,Jalen Hurts,40469965,QB,PHI,NYG,20.7,6600.0,13.0,11.1,31.6,21.62,17.42,27.38,1.19,1.04,20.93,21.71
5,Saquon Barkley,40470036,RB,PHI,NYG,20.6,7600.0,18.0,9.4,34.9,19.05,15.76,27.64,1.31,1.06,20.21,21.53
17,Baker Mayfield,40469967,QB,TB,NO,20.6,6400.0,11.0,11.2,31.7,19.6,17.42,27.38,1.18,1.04,20.35,21.16
22,Drake Maye,40469968,QB,NE,CLE,19.7,6200.0,4.0,10.6,30.1,19.04,17.42,27.38,1.13,1.02,19.53,20.02
7,De'Von Achane,40470038,RB,MIA,ATL,19.7,7300.0,18.0,9.0,32.4,20.03,15.76,27.64,1.25,1.04,19.78,20.62
23,Daniel Jones,40469969,QB,IND,TEN,19.7,6100.0,9.0,10.9,31.2,20.46,17.42,27.38,1.13,1.03,19.89,20.59
4,CeeDee Lamb,40470266,WR,DAL,DEN,19.5,7800.0,9.0,7.7,34.0,16.59,11.83,22.72,1.65,1.12,18.77,21.12
18,Rachaad White,40470050,RB,TB,NO,19.2,6400.0,31.0,8.5,33.0,18.64,15.76,27.64,1.22,1.05,19.06,19.97
15,Dak Prescott,40469966,QB,DAL,DEN,19.0,6500.0,2.0,9.9,29.5,18.45,17.42,27.38,1.09,1.02,18.86,19.24
11,James Cook,40470044,RB,BUF,CAR,18.3,6700.0,13.0,7.4,32.1,16.75,15.76,27.64,1.16,1.04,17.91,18.63
43,Joe Flacco,40469974,QB,CIN,NYJ,18.0,5400.0,9.0,9.2,28.1,17.63,17.42,27.38,1.03,1.01,17.91,18.04
9,Emeka Egbuka,40470272,WR,TB,NO,17.8,7000.0,21.0,6.3,32.5,16.7,11.83,22.72,1.5,1.11,17.53,19.41
41,Jaxson Dart,40469973,QB,NYG,PHI,17.7,5500.0,3.0,9.2,27.9,16.74,17.42,27.38,1.02,1.0,17.46,17.55
56,Justin Fields,40469978,QB,NYJ,CIN,17.6,5000.0,4.0,9.0,27.9,17.8,17.42,27.38,1.01,1.0,17.65,17.74
29,DeVonta Smith,40470286,WR,PHI,NYG,17.6,5900.0,31.0,6.9,31.6,16.9,11.83,22.72,1.49,1.1,17.42,19.12
10,Javonte Williams,40470040,RB,DAL,DEN,17.5,6800.0,9.0,7.3,30.4,16.55,15.76,27.64,1.11,1.02,17.26,17.69
63,Spencer Rattler,40469981,QB,NO,TB,16.9,4700.0,9.0,8.8,26.8,16.93,17.42,27.38,0.97,1.0,16.91,16.82
