,player_id,team,opp,pos,name,fpts,proj_own,smash,opto_pct,value_percent,ceil,floor,min_exposure,max_exposure,rg_value,salary,custom,rg_id,partner_id
0,843733,DEN,LAC,TE,Mitchell Fraboni,,0.0,,,,,,0,0,-7.75,2500,,-843733,843733
1,861278,LAC,DEN,TE,Tyler Conklin,4.12,3.17,,,,8.9,1.1,0,0,-4.23,2800,,328304,861278
2,613866,MIN,CIN,QB,Carson Wentz,18.24,8.9,,,,28.1,9.6,0,0,4.49,4000,,35558,613866
3,744425,NE,PIT,TE,Hunter Henry,10.06,2.57,,,,16.4,4.9,0,0,-0.29,3800,,35634,744425
4,1381902,PIT,NE,RB,Kaleb Johnson,1.03,0.76,,,,6.4,,0,0,-10.52,4400,,8223437,1381902
5,943635,SF,ARI,RB,Patrick Taylor Jr.,,0.0,,,,,,0,0,-10.75,4000,,1844272,943635
6,944416,GB,CLE,RB,Josh Jacobs,19.91,5.04,,,,30.3,9.1,0,0,3.16,7000,,973101,944416
7,837958,NYJ,TB,WR,Allen Lazard,0.87,1.54,,,,5.5,,0,0,-8.48,3300,,328523,837958
8,867009,SF,ARI,WR,Jauan Jennings,14.16,3.21,,,,22.1,7.2,0,0,1.41,5000,,1849815,867009
9,946748,NYJ,TB,RB,Kene Nwangwu,,0.0,,,,,,0,0,-10.75,4000,,2861721,946748
10,824428,NYJ,TB,RB,Andrew Beck,,0.0,,,,4.9,,0,0,-10.75,4000,,982262,824428
11,1067918,GB,CLE,WR,Christian Watson,,0.0,,,,,,0,0,-8.75,3000,,3491515,1067918
12,555358,LAR,PHI,QB,Jimmy Garoppolo,,0.0,,,,,,0,0,-14.15,4200,,18136,555358
13,865844,CIN,MIN,QB,Jake Browning,17.78,2.06,,,,26.5,9.4,0,0,1.03,5500,,982172,865844
14,820601,HOU,JAX,TE,Jakob Johnson,,0.0,,,,,,0,0,-7.75,2500,,-820601,820601
15,830523,HOU,JAX,TE,Dalton Schultz,7.82,9.22,,,,13.5,3.7,0,0,-1.73,3400,,328583,830523
16,975503,NYJ,TB,TE,Jelani Woods,,0.0,,,,3.7,,0,0,-7.75,2500,,3491721,975503
17,1180625,SEA,NO,RB,George Holani,0.08,0.78,,,,4.9,,0,0,-10.67,4000,,6228549,1180625
18,976966,CAR,ATL,QB,Hendon Hooker,,0.0,,,,,,0,0,-13.75,4000,,4687729,976966
19,920756,CHI,DAL,WR,Devin Duvernay,0.23,1.25,,,,4.3,,0,0,-8.52,3000,,1844099,920756
20,1180328,CAR,ATL,WR,Ainias Smith,,0.0,,,,,,0,0,-8.75,3000,,6228457,1180328
21,831007,ATL,CAR,QB,Easton Stick,,0.0,,,,,,0,0,-13.75,4000,,982758,831007
22,1271738,DEN,LAC,RB,Jaleel McLaughlin,,0.0,,,,4.9,,0,0,-10.75,4000,,4773040,1271738
23,944428,HOU,JAX,TE,Irv Smith Jr.,,0.0,,,,,,0,0,-7.75,2500,,982176,944428
24,1285917,LV,WAS,TE,Brock Bowers,18.2,12.96,,,,25.4,10.5,0,0,3.45,6000,,6228166,1285917
25,748309,JAX,HOU,QB,Nick Mullens,,0.0,,,,,,0,0,-13.75,4000,,37067,748309
26,883312,NYJ,TB,WR,Irvin Charles,,0.0,,,,,,0,0,-8.75,3000,,3515611,883312
27,698227,SEA,NO,WR,Cooper Kupp,10.6,2.24,,,,17.7,5.3,0,0,-2.15,5000,,37050,698227
28,741314,MIN,CIN,RB,Aaron Jones Sr.,,0.0,,,,,,0,0,-13.35,5300,,36871,741314
29,513856,LV,WAS,QB,Geno Smith,19.88,9.44,,,,28.6,11.3,0,0,3.73,5200,,16557,513856
30,820734,CIN,MIN,RB,Samaje Perine,3.05,0.71,,,,8.8,0.6,0,0,-7.7,4000,,36977,820734
31,820866,HOU,JAX,WR,Braxton Berrios,,0.0,,,,,,0,0,-8.75,3000,,328392,820866
32,920944,PIT,NE,WR,Ben Skowronek,0.51,1.41,,,,5.0,,0,0,-8.64,3200,,2862398,920944
33,1180538,ARI,SF,WR,Xavier Weaver,,0.0,,,,4.3,,0,0,-8.75,3000,,6227657,1180538
34,822857,HOU,JAX,RB,Nick Chubb,11.55,11.87,,,,20.3,4.1,0,0,-1.6,5200,,328152,822857
35,732107,PIT,NE,QB,Logan Woodside,,0.0,,,,,,0,0,-13.75,4000,,328118,732107
36,867759,ATL,CAR,WR,Ray-Ray McCloud III,2.97,1.43,,,,8.0,0.1,0,0,-7.58,3900,,328333,867759
37,976329,ARI,SF,RB,Michael Carter,,0.0,,,,,,0,0,-10.75,4000,,2861839,976329
38,1270617,PIT,NE,TE,JJ Galbreath,,0.0,,,,,,0,0,-7.75,2500,,8251127,1270617
39,1161739,NO,SEA,WR,Trey Palmer,,0.0,,,,4.3,,0,0,-8.75,3000,,4688203,1161739
40,837806,LAC,DEN,TE,Will Dissly,4.02,4.0,,,,8.6,1.0,0,0,-4.53,2900,,329037,837806
41,835749,WAS,LV,WR,Deebo Samuel Sr.,16.39,3.47,,,,24.9,8.1,0,0,1.44,6100,,982845,835749
42,1383807,CLE,GB,RB,Quinshon Judkins,9.48,1.71,,,,17.7,3.2,0,0,-3.27,5000,,8223000,1383807
43,880123,WAS,LV,TE,Lawrence Cager,,0.0,,,,,,0,0,-7.75,2500,,1844430,880123
44,880398,TEN,IND,RB,Tony Pollard,16.65,4.2,,,,26.3,7.5,0,0,2.5,5700,,982431,880398
45,883302,PHI,LAR,RB,Saquon Barkley,19.65,4.45,,,,30.5,8.8,0,0,1.3,7800,,328607,883302
46,882345,SEA,NO,QB,Drew Lock,,0.0,,,,,,0,0,-13.75,4000,,982657,882345
47,973964,LAC,DEN,RB,Najee Harris,5.98,4.98,,,,13.0,1.1,0,0,-6.97,5100,,2861602,973964
48,865801,HOU,JAX,WR,Christian Kirk,10.29,1.86,,,,17.5,4.6,0,0,-1.86,4700,,328952,865801
49,877913,TEN,IND,WR,James Proche II,,0.0,,,,,,0,0,-8.75,3000,,1844098,877913
50,976924,LV,WAS,QB,Kenny Pickett,,0.0,,,,,,0,0,-15.15,4700,,3491435,976924
51,865868,DEN,LAC,QB,Jarrett Stidham,,0.0,,,,,,0,0,-13.75,4000,,982257,865868
52,1171816,TB,NYJ,QB,Connor Bazelak,,0.0,,,,,,0,0,-13.75,4000,,8245049,1171816
53,712506,IND,TEN,TE,Mo Alie-Cox,2.14,0.45,,,,6.4,,0,0,-5.61,2500,,36928,712506
54,944826,PHI,LAR,WR,A.J. Brown,15.61,2.55,,,,23.6,8.5,0,0,0.26,6300,,982405,944826
55,923915,MIN,CIN,TE,T.J. Hockenson,9.96,3.37,,,,16.2,5.1,0,0,-0.39,3800,,972605,923915
56,1229083,IND,TEN,TE,Tyler Warren,11.03,3.64,,,,17.3,5.7,0,0,-0.52,4400,,8217153,1229083
57,791365,PHI,LAR,TE,Dallas Goedert,9.19,4.03,,,,15.3,4.7,0,0,-0.96,3700,,328643,791365
58,1285908,IND,TEN,WR,Adonai Mitchell,3.79,1.26,,,,9.2,0.3,0,0,-5.36,3200,,6228064,1285908
59,881697,CHI,DAL,TE,Stephen Carlson,,0.0,,,,,,0,0,-7.75,2500,,982024,881697
