Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RB,De'Von Achane (41169720),De'Von Achane,41169720,CPT,19200,MIA@PIT 12/15/2025 08:15PM ET,MIA,21.84
WR,Jaylen Waddle (41169721),Jaylen Waddle,41169721,CPT,16200,MIA@PIT 12/15/2025 08:15PM ET,MIA,13.82
QB,Aaron Rodgers (41169722),Aaron Rodgers,41169722,CPT,14700,MIA@PIT 12/15/2025 08:15PM ET,PIT,14.79
QB,Tua Tagovailoa (41169723),Tua Tagovailoa,41169723,CPT,14400,MIA@PIT 12/15/2025 08:15PM ET,MIA,12.50
WR,DK Metcalf (41169724),DK Metcalf,41169724,CPT,14100,MIA@PIT 12/15/2025 08:15PM ET,PIT,13.12
RB,Jaylen Warren (41169725),Jaylen Warren,41169725,CPT,13500,MIA@PIT 12/15/2025 08:15PM ET,PIT,13.49
RB,De'Von Achane (41169667),De'Von Achane,41169667,FLEX,12800,MIA@PIT 12/15/2025 08:15PM ET,MIA,21.84
WR,Jaylen Waddle (41169668),Jaylen Waddle,41169668,FLEX,10800,MIA@PIT 12/15/2025 08:15PM ET,MIA,13.82
RB,Kenneth Gainwell (41169726),Kenneth Gainwell,41169726,CPT,10500,MIA@PIT 12/15/2025 08:15PM ET,PIT,11.59
RB,Jaylen Wright (41169727),Jaylen Wright,41169727,CPT,10200,MIA@PIT 12/15/2025 08:15PM ET,MIA,4.53
QB,Aaron Rodgers (41169669),Aaron Rodgers,41169669,FLEX,9800,MIA@PIT 12/15/2025 08:15PM ET,PIT,14.79
QB,Tua Tagovailoa (41169670),Tua Tagovailoa,41169670,FLEX,9600,MIA@PIT 12/15/2025 08:15PM ET,MIA,12.50
WR,DK Metcalf (41169671),DK Metcalf,41169671,FLEX,9400,MIA@PIT 12/15/2025 08:15PM ET,PIT,13.12
RB,Jaylen Warren (41169672),Jaylen Warren,41169672,FLEX,9000,MIA@PIT 12/15/2025 08:15PM ET,PIT,13.49
QB,Skylar Thompson (41169728),Skylar Thompson,41169728,CPT,9000,MIA@PIT 12/15/2025 08:15PM ET,PIT,0
QB,Mason Rudolph (41169729),Mason Rudolph,41169729,CPT,9000,MIA@PIT 12/15/2025 08:15PM ET,PIT,3.6
QB,Zach Wilson (41169730),Zach Wilson,41169730,CPT,9000,MIA@PIT 12/15/2025 08:15PM ET,MIA,0.46
QB,Quinn Ewers (41169731),Quinn Ewers,41169731,CPT,9000,MIA@PIT 12/15/2025 08:15PM ET,MIA,2.12
QB,Will Howard (41169732),Will Howard,41169732,CPT,9000,MIA@PIT 12/15/2025 08:15PM ET,PIT,0
WR,Malik Washington (41169733),Malik Washington,41169733,CPT,8700,MIA@PIT 12/15/2025 08:15PM ET,MIA,7.09
K,Chris Boswell (41169734),Chris Boswell,41169734,CPT,8100,MIA@PIT 12/15/2025 08:15PM ET,PIT,9.08
K,Riley Patterson (41169735),Riley Patterson,41169735,CPT,7500,MIA@PIT 12/15/2025 08:15PM ET,MIA,8.46
K,Jason Sanders (41169736),Jason Sanders,41169736,CPT,7500,MIA@PIT 12/15/2025 08:15PM ET,MIA,0
RB,Ollie Gordon II (41169737),Ollie Gordon II,41169737,CPT,7200,MIA@PIT 12/15/2025 08:15PM ET,MIA,4.01
RB,Kenneth Gainwell (41169673),Kenneth Gainwell,41169673,FLEX,7000,MIA@PIT 12/15/2025 08:15PM ET,PIT,11.59
RB,Jaylen Wright (41169674),Jaylen Wright,41169674,FLEX,6800,MIA@PIT 12/15/2025 08:15PM ET,MIA,4.53
TE,Darren Waller (41169738),Darren Waller,41169738,CPT,6600,MIA@PIT 12/15/2025 08:15PM ET,MIA,9.18
QB,Skylar Thompson (41169675),Skylar Thompson,41169675,FLEX,6000,MIA@PIT 12/15/2025 08:15PM ET,PIT,0
QB,Mason Rudolph (41169676),Mason Rudolph,41169676,FLEX,6000,MIA@PIT 12/15/2025 08:15PM ET,PIT,3.6
QB,Zach Wilson (41169677),Zach Wilson,41169677,FLEX,6000,MIA@PIT 12/15/2025 08:15PM ET,MIA,0.46
QB,Quinn Ewers (41169678),Quinn Ewers,41169678,FLEX,6000,MIA@PIT 12/15/2025 08:15PM ET,MIA,2.12
QB,Will Howard (41169679),Will Howard,41169679,FLEX,6000,MIA@PIT 12/15/2025 08:15PM ET,PIT,0
DST,Steelers  (41169739),Steelers ,41169739,CPT,6000,MIA@PIT 12/15/2025 08:15PM ET,PIT,7.92
WR,Malik Washington (41169680),Malik Washington,41169680,FLEX,5800,MIA@PIT 12/15/2025 08:15PM ET,MIA,7.09
WR,Calvin Austin III (41169740),Calvin Austin III,41169740,CPT,5700,MIA@PIT 12/15/2025 08:15PM ET,PIT,6.36
K,Chris Boswell (41169681),Chris Boswell,41169681,FLEX,5400,MIA@PIT 12/15/2025 08:15PM ET,PIT,9.08
DST,Dolphins  (41169741),Dolphins ,41169741,CPT,5400,MIA@PIT 12/15/2025 08:15PM ET,MIA,6.54
K,Riley Patterson (41169682),Riley Patterson,41169682,FLEX,5000,MIA@PIT 12/15/2025 08:15PM ET,MIA,8.46
K,Jason Sanders (41169683),Jason Sanders,41169683,FLEX,5000,MIA@PIT 12/15/2025 08:15PM ET,MIA,0
RB,Ollie Gordon II (41169684),Ollie Gordon II,41169684,FLEX,4800,MIA@PIT 12/15/2025 08:15PM ET,MIA,4.01
WR,Adam Thielen (41169742),Adam Thielen,41169742,CPT,4800,MIA@PIT 12/15/2025 08:15PM ET,PIT,1.52
TE,Pat Freiermuth (41169743),Pat Freiermuth,41169743,CPT,4500,MIA@PIT 12/15/2025 08:15PM ET,PIT,6.59
TE,Darren Waller (41169685),Darren Waller,41169685,FLEX,4400,MIA@PIT 12/15/2025 08:15PM ET,MIA,9.18
TE,Jonnu Smith (41169744),Jonnu Smith,41169744,CPT,4200,MIA@PIT 12/15/2025 08:15PM ET,PIT,4.82
DST,Steelers  (41169686),Steelers ,41169686,FLEX,4000,MIA@PIT 12/15/2025 08:15PM ET,PIT,7.92
TE,Darnell Washington (41169745),Darnell Washington,41169745,CPT,3900,MIA@PIT 12/15/2025 08:15PM ET,PIT,4.6
WR,Calvin Austin III (41169687),Calvin Austin III,41169687,FLEX,3800,MIA@PIT 12/15/2025 08:15PM ET,PIT,6.36
DST,Dolphins  (41169688),Dolphins ,41169688,FLEX,3600,MIA@PIT 12/15/2025 08:15PM ET,MIA,6.54
RB,Kaleb Johnson (41169746),Kaleb Johnson,41169746,CPT,3600,MIA@PIT 12/15/2025 08:15PM ET,PIT,0.93
WR,Marquez Valdes-Scantling (41169747),Marquez Valdes-Scantling,41169747,CPT,3300,MIA@PIT 12/15/2025 08:15PM ET,PIT,1.33
WR,Adam Thielen (41169689),Adam Thielen,41169689,FLEX,3200,MIA@PIT 12/15/2025 08:15PM ET,PIT,1.52
TE,Pat Freiermuth (41169690),Pat Freiermuth,41169690,FLEX,3000,MIA@PIT 12/15/2025 08:15PM ET,PIT,6.59
WR,Nick Westbrook-Ikhine (41169748),Nick Westbrook-Ikhine,41169748,CPT,3000,MIA@PIT 12/15/2025 08:15PM ET,MIA,1.53
TE,Jonnu Smith (41169691),Jonnu Smith,41169691,FLEX,2800,MIA@PIT 12/15/2025 08:15PM ET,PIT,4.82
WR,Cedrick Wilson Jr. (41169749),Cedrick Wilson Jr.,41169749,CPT,2700,MIA@PIT 12/15/2025 08:15PM ET,MIA,0.92
TE,Darnell Washington (41169692),Darnell Washington,41169692,FLEX,2600,MIA@PIT 12/15/2025 08:15PM ET,PIT,4.6
RB,Kaleb Johnson (41169693),Kaleb Johnson,41169693,FLEX,2400,MIA@PIT 12/15/2025 08:15PM ET,PIT,0.93
TE,Greg Dulcich (41169750),Greg Dulcich,41169750,CPT,2400,MIA@PIT 12/15/2025 08:15PM ET,MIA,4.73
WR,Marquez Valdes-Scantling (41169694),Marquez Valdes-Scantling,41169694,FLEX,2200,MIA@PIT 12/15/2025 08:15PM ET,PIT,1.33
TE,Julian Hill (41169751),Julian Hill,41169751,CPT,2100,MIA@PIT 12/15/2025 08:15PM ET,MIA,2.21
WR,Nick Westbrook-Ikhine (41169695),Nick Westbrook-Ikhine,41169695,FLEX,2000,MIA@PIT 12/15/2025 08:15PM ET,MIA,1.53
WR,Cedrick Wilson Jr. (41169696),Cedrick Wilson Jr.,41169696,FLEX,1800,MIA@PIT 12/15/2025 08:15PM ET,MIA,0.92
WR,Roman Wilson (41169752),Roman Wilson,41169752,CPT,1800,MIA@PIT 12/15/2025 08:15PM ET,PIT,3.3
TE,Greg Dulcich (41169697),Greg Dulcich,41169697,FLEX,1600,MIA@PIT 12/15/2025 08:15PM ET,MIA,4.73
WR,Ben Skowronek (41169753),Ben Skowronek,41169753,CPT,1500,MIA@PIT 12/15/2025 08:15PM ET,PIT,1.3
TE,Julian Hill (41169698),Julian Hill,41169698,FLEX,1400,MIA@PIT 12/15/2025 08:15PM ET,MIA,2.21
WR,Roman Wilson (41169699),Roman Wilson,41169699,FLEX,1200,MIA@PIT 12/15/2025 08:15PM ET,PIT,3.3
WR,Scotty Miller (41169754),Scotty Miller,41169754,CPT,1200,MIA@PIT 12/15/2025 08:15PM ET,PIT,0.21
WR,Ben Skowronek (41169700),Ben Skowronek,41169700,FLEX,1000,MIA@PIT 12/15/2025 08:15PM ET,PIT,1.3
TE,Connor Heyward (41169755),Connor Heyward,41169755,CPT,900,MIA@PIT 12/15/2025 08:15PM ET,PIT,0.84
WR,Scotty Miller (41169701),Scotty Miller,41169701,FLEX,800,MIA@PIT 12/15/2025 08:15PM ET,PIT,0.21
TE,Connor Heyward (41169702),Connor Heyward,41169702,FLEX,600,MIA@PIT 12/15/2025 08:15PM ET,PIT,0.84
RB,Alec Ingold (41169756),Alec Ingold,41169756,CPT,600,MIA@PIT 12/15/2025 08:15PM ET,MIA,0.73
RB,Alec Ingold (41169703),Alec Ingold,41169703,FLEX,400,MIA@PIT 12/15/2025 08:15PM ET,MIA,0.73
RB,Lew Nichols (41169757),Lew Nichols,41169757,CPT,300,MIA@PIT 12/15/2025 08:15PM ET,PIT,0
RB,Alexander Mattison (41169758),Alexander Mattison,41169758,CPT,300,MIA@PIT 12/15/2025 08:15PM ET,MIA,0
RB,Jeff Wilson Jr. (41169759),Jeff Wilson Jr.,41169759,CPT,300,MIA@PIT 12/15/2025 08:15PM ET,MIA,0
RB,JaMycal Hasty (41169760),JaMycal Hasty,41169760,CPT,300,MIA@PIT 12/15/2025 08:15PM ET,MIA,0
WR,Tyreek Hill (41169761),Tyreek Hill,41169761,CPT,300,MIA@PIT 12/15/2025 08:15PM ET,MIA,14.12
WR,Dee Eskridge (41169762),Dee Eskridge,41169762,CPT,300,MIA@PIT 12/15/2025 08:15PM ET,MIA,0.84
WR,Ke'Shawn Williams (41169763),Ke'Shawn Williams,41169763,CPT,300,MIA@PIT 12/15/2025 08:15PM ET,PIT,-0.12
WR,Tahj Washington (41169764),Tahj Washington,41169764,CPT,300,MIA@PIT 12/15/2025 08:15PM ET,MIA,0.28
WR,Theo Wease Jr. (41169765),Theo Wease Jr.,41169765,CPT,300,MIA@PIT 12/15/2025 08:15PM ET,MIA,0
WR,John Rhys Plumlee (41169766),John Rhys Plumlee,41169766,CPT,300,MIA@PIT 12/15/2025 08:15PM ET,PIT,0
