,gsis_id,display_name,common_first_name,first_name,last_name,short_name,football_name,suffix,esb_id,nfl_id,pfr_id,pff_id,otc_id,espn_id,smart_id,birth_date,position_group,position,ngs_position_group,ngs_position,height,weight,headshot,college_name,college_conference,jersey_number,rookie_season,last_season,latest_team,status,ngs_status,ngs_status_short_description,years_of_experience,pff_position,pff_status,draft_year,draft_round,draft_pick,draft_team
3,ABB498348,Vince Abbott,Vince,Vincent,Abbott,,,,ABB498348,,abbotvin01,,,,32004142-4249-8348-e00f-5fbbe6a0c73c,1958-05-31,SPEC,K,,,71.0,207.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/g1xvyvzrfbrtbeqjvqgf",California State-Fullerton; Washington,,0.0,1987,1988,LAC,ACT,,,2,,,,,,
16477,OBR110744,Jim Obradovich,Jim,James,Obradovich,,,,OBR110744,,ObraJi00,,,,32004f42-5211-0744-e6d4-04e4c6639eb3,1953-04-02,TE,TE,,,74.0,225.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/bpkjs1z3vkl7yqdi0kav",USC; El Camino,,0.0,1975,1983,TB,ACT,,,9,,,1975.0,7.0,158.0,NYG
16478,OBR775208,Mike Obrovac,Mike,Michael,Obrovac,,,,OBR775208,,ObroMi20,,,,32004f42-5277-5208-5548-a20832ac1d57,1955-10-11,OL,OT,,,78.0,275.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/rtmiwdvumf0lvw3tdsed",Bowling Green,,0.0,1981,1983,CIN,ACT,,,3,,,,,,
16482,00-0026046,Steve Octavien,Steve,Steven,Octavien,,,,OCT059326,,OctaSt00,,,11774.0,32004f43-5405-9326-a9bf-0366892090fc,1984-11-25,LB,LB,,,72.0,254.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/fftve0r4ddoswyten6ik",Nebraska; William Rainey Harper College,,95.0,2008,2010,CLE,ACT,,,2,,,,,,
16483,00-0012303,Don Odegard,Don,Don,Odegard,,,,ODE166116,,OdegDo20,,,,32004f44-4516-6116-960c-38d1c623c3f5,1966-11-22,DB,DB,,,72.0,177.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ceepcnlbv6xke4azs7p9",UNLV; Oregon State,,0.0,1990,1991,NYJ,ACT,,,2,,,1990.0,6.0,150.0,CIN
16485,00-0012304,Derrick Oden,Derrick,Derrick,Oden,,,,ODE485598,,OdenDe20,,,7433.0,32004f44-4548-5598-71ca-ef6f4b3cadfd,1970-09-29,LB,LB,,,71.0,237.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/mzrbmsrybnmnf7ytxflh",Alabama,,0.0,1993,1995,PHI,ACT,,,3,,,1993.0,6.0,163.0,PHI
16486,ODE498348,McDonald Oden,McDonald,McDonald,Oden,,,,ODE498348,,OdenMc20,,,,32004f44-4549-8348-10fb-39ed1f9902ef,1958-03-28,TE,TE,,,76.0,234.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/zewsa0vxm7rugsyqxejv",Tennessee State,,0.0,1980,1982,CLE,ACT,,,3,,,,,,
16488,00-0036480,Dayo Odeyingbo,Dayo,Temidayo,Odeyingbo,D.Odeyingbo,Dayo,,ODE707589,53483.0,OdeyDa00,56923.0,9518.0,4242659.0,32004f44-4570-7589-a1e8-0c8ad4945469,1999-09-24,DL,DE,DL,EDGE,77.0,282.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/h0brx6vrdusdxl6fkxgv",Vanderbilt,Southeastern Conference,55.0,2021,2026,CHI,ACT,ACT,Active,6,ED,A,2021.0,2.0,54.0,IND
16489,00-0032397,Rees Odhiambo,Rees,Rees,Odhiambo,R.Odhiambo,Rees,,ODH296636,43386.0,OdhiRe00,10731.0,4810.0,2573312.0,32004f44-4829-6636-5b54-af1fb04ba4be,1992-09-23,OL,OT,,,76.0,315.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/rpvhjkpofbjjjqkp6z9m",Boise State,,63.0,2016,2018,ARI,ACT,CUT,,3,T,,2016.0,3.0,97.0,SEA
16490,00-0036942,Osa Odighizuwa,Osa,Osawanu,Odighizuwa,O.Odighizuwa,Osa,,ODI118654,53504.0,OdigOs00,42754.0,9539.0,4035840.0,32004f44-4911-8654-a883-7963338320c8,1998-08-13,DL,DT,DL,INTERIOR_LINE,74.0,280.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qselmahxlopzx8spnchw",UCLA,Pacific Twelve Conference,92.0,2021,2026,SF,ACT,ACT,Active,6,DI,A,2021.0,3.0,75.0,DAL
