,QB,Team,Season,1,2
24,Josh Allen,BUF,115.7,111.04999999999998,113.15
27,Lamar Jackson,BAL,111.14999999999999,112.55000000000001,103.85000000000001
3,Brock Purdy,SFO,110.75,101.7,117.64999999999998
20,Jaxson Dart,NYG,108.05000000000001,111.8,
6,Caleb Williams,CHI,106.7,112.14999999999998,93.05
4,Bryce Young,CAR,105.8,104.79999999999998,101.95
10,Dak Prescott,DAL,105.75,99.35000000000001,109.5
14,Drew Lock,SEA,104.94999999999999,101.15,81.6
31,Trevor Lawrence,JAX,103.55000000000001,110.39999999999999,90.45
17,Jalen Hurts,PHI,103.55,104.5,99.7
30,Patrick Mahomes,KAN,102.9,98.94999999999999,102.95
12,Deshaun Watson,CLE,102.8,100.05000000000001,102.94999999999999
29,Matthew Stafford,LAR,101.55000000000001,85.3,108.64999999999999
32,Tyler Shough,NOR,101.5,99.5,102.35000000000001
21,Jayden Daniels,WAS,100.84999999999998,98.80000000000001,
19,Jared Goff,DET,99.80000000000001,95.4,103.04999999999998
15,Geno Smith,NYJ,99.44999999999999,97.39999999999999,97.75000000000001
28,Malik Willis,MIA,99.10000000000001,95.05,97.9
13,Drake Maye,NWE,98.85,98.4,95.8
5,C.J. Stroud,HOU,98.65,98.39999999999999,94.75
26,Kirk Cousins,LVR,98.10000000000001,94.30000000000001,100.9
22,Joe Burrow,CIN,97.9,99.85,95.3
23,Jordan Love,GNB,96.75,99.69999999999999,69.45
8,Carson Wentz,MIN,96.45,97.05,92.0
25,Justin Herbert,LAC,96.2,98.80000000000001,93.89999999999999
1,Baker Mayfield,TAM,95.94999999999999,93.0,95.5
2,Bo Nix,DEN,95.60000000000001,89.05,102.05000000000001
16,Jacoby Brissett,ARI,95.15,101.05000000000001,89.85
7,Cam Ward,TEN,93.4,94.45,92.19999999999999
11,Daniel Jones,IND,92.14999999999999,90.75,96.3
0,Aaron Rodgers,PIT,88.9,93.95,84.15
9,Cooper Rush,ATL,85.85,66.25,
18,Jameis Winston,NYG,80.55000000000001,,83.10000000000001
