,Name,Team,OPP,Pos,MIN,PTS,REB,AST,STL,BLK,TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB
1,Precious Achiuwa,SAC,MIN,C,20.00000,7.12419,6.02970,0.86390,0.50596,0.52265,0.95604,2.85700,5.77189,49.5,0.35993,1.30909,27.5,1.05025,1.68473,62.3,2.16459,3.86511
2,Steven Adams,HOU,POR,C,20.00000,6.01268,6.87033,2.14505,0.59258,0.63136,1.27479,2.44238,4.27750,57.1,0.10052,0.24499,41.0,1.02740,2.02513,50.7,3.14958,3.72076
3,Bam Adebayo,MIA,NYK,C,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
4,Trey Alexander,NOP,LAL,G,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
5,Jose Alvarado,NOP,LAL,G,22.00000,10.22363,2.51860,3.89064,1.27389,0.13325,1.33326,3.58838,8.22823,43.6,1.91669,4.88920,39.2,1.13018,1.47965,76.4,0.67931,1.83929
6,Alex Antetokounmpo,MIL,CHA,F,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
7,Giannis Antetokounmpo,MIL,CHA,F,36.00000,29.61046,11.08607,7.74329,1.11417,0.93236,3.74126,11.61677,19.07238,60.9,0.74695,2.32974,32.1,5.62998,8.65805,65.0,2.33302,8.75306
8,Thanasis Antetokounmpo,MIL,CHA,F,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
9,Cole Anthony,MIL,CHA,G,19.00000,9.15074,2.94334,2.92716,0.70099,0.31240,1.37301,3.29317,7.69616,42.8,1.17730,3.19884,36.8,1.38710,1.61913,85.7,0.35646,2.58689
10,OG Anunoby,NYK,MIA,F,34.00000,17.93842,5.84792,2.46616,1.62964,0.81033,1.66044,6.30393,13.94741,45.2,2.42740,6.81325,35.6,2.90317,3.53468,82.1,1.91037,3.93756
11,Deni Avdija,POR,HOU,F,35.00000,21.68420,7.78551,5.42516,1.59491,0.44073,3.59306,7.15406,15.70666,45.5,2.50038,7.21043,34.7,4.87570,6.12425,79.6,1.30422,6.48129
12,Deandre Ayton,LAL,NOP,C,30.00000,13.78503,10.14109,1.81915,0.82384,1.16539,1.88713,6.05262,9.36042,64.7,0.15706,0.64592,24.3,1.52272,1.98475,76.7,2.93060,7.21049
13,LaMelo Ball,CHA,MIL,G,30.00000,21.16075,5.72301,6.05953,1.02980,0.32412,3.30255,7.00941,16.79504,41.7,3.09542,8.87002,34.9,4.04651,4.75350,85.1,1.42194,4.30108
14,Paolo Banchero,ORL,BKN,F,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
15,Desmond Bane,ORL,BKN,G,34.00000,20.56833,5.80262,4.94108,1.08337,0.42127,2.49675,7.28683,14.82251,49.2,2.68511,6.67165,40.2,3.30956,3.98210,83.1,1.08598,4.71663
16,Dominick Barlow,PHI,DET,C,16.00000,6.10637,5.78340,1.39093,0.53256,0.71050,1.35299,2.27690,4.86008,46.8,0.35127,1.28143,27.4,1.20129,1.69596,70.8,2.26675,3.51665
17,Harrison Barnes,SAS,GSW,F,28.00000,11.50350,3.91476,1.31625,0.67659,0.13100,1.23250,3.79861,8.13507,46.7,1.72345,4.35278,39.6,2.18282,2.63166,82.9,0.89096,3.02380
