,Week,Team,Shootout Score,Opp,Opp Shootout Score,Game SS
4,13,DAL,110.43,KAN,103.03,106.73
8,13,KAN,103.03,DAL,110.43,106.73
11,13,BAL,104.16,CIN,107.09,105.62
19,13,CIN,107.09,BAL,104.16,105.62
17,13,NYG,104.74,NWE,104.14,104.44
5,13,NWE,104.14,NYG,104.74,104.44
7,13,CHI,108.97,PHI,99.82,104.4
18,13,PHI,99.82,CHI,108.97,104.4
3,13,BUF,108.86,PIT,98.8,103.83
20,13,PIT,98.8,BUF,108.86,103.83
16,13,DEN,90.01,WAS,111.0,100.5
10,13,WAS,111.0,DEN,90.01,100.5
2,13,DET,106.13,GNB,94.77,100.45
9,13,GNB,94.77,DET,106.13,100.45
28,13,NOR,93.04,MIA,105.18,99.11
15,13,MIA,105.18,NOR,93.04,99.11
25,13,CAR,98.67,LAR,99.01,98.84
6,13,LAR,99.01,CAR,98.67,98.84
26,13,ARI,97.34,TAM,99.95,98.65
21,13,TAM,99.95,ARI,97.34,98.65
0,13,IND,107.38,HOU,89.51,98.44
24,13,HOU,89.51,IND,107.38,98.44
23,13,MIN,95.17,SEA,101.33,98.25
1,13,SEA,101.33,MIN,95.17,98.25
13,13,ATL,99.69,NYJ,94.49,97.09
27,13,NYJ,94.49,ATL,99.69,97.09
30,13,TEN,94.78,JAX,95.89,95.34
22,13,JAX,95.89,TEN,94.78,95.34
29,13,LVR,91.94,LAC,97.88,94.91
14,13,LAC,97.88,LVR,91.94,94.91
12,13,SFO,103.71,CLE,83.11,93.41
31,13,CLE,83.11,SFO,103.71,93.41
