,Team,ypa offense,ypa defense,Pace,Offense OA,Defense OA,Pace OA,Shootout Score
8,DAL,5.68,6.1,27.66,1.09,1.17,0.94,112.28
0,IND,6.36,5.17,29.52,1.22,1.0,1.0,110.25
12,CHI,5.46,5.87,27.84,1.05,1.13,0.94,108.1
9,BAL,5.58,5.64,32.36,1.07,1.09,1.1,107.85
11,WAS,5.51,5.74,30.3,1.06,1.1,1.03,107.78
1,BUF,5.92,5.26,31.46,1.13,1.01,1.07,107.32
6,NWE,5.73,5.14,29.92,1.1,0.99,1.01,104.15
27,CIN,4.75,6.16,26.3,0.91,1.19,0.89,104.1
15,PIT,5.3,5.5,30.62,1.02,1.06,1.04,103.69
7,KAN,5.72,5.05,29.19,1.1,0.97,0.99,103.19
3,DET,5.79,4.93,32.02,1.11,0.95,1.08,103.18
22,MIA,4.95,5.63,30.63,0.95,1.08,1.04,101.73
10,LAC,5.58,5.0,29.6,1.07,0.96,1.0,101.5
16,PHI,5.27,5.22,31.95,1.01,1.0,1.08,101.07
17,SFO,5.23,5.26,27.56,1.0,1.01,0.93,100.35
23,NYG,4.81,5.64,28.15,0.92,1.09,0.95,100.2
21,JAX,4.96,5.36,28.47,0.95,1.03,0.96,98.98
2,SEA,5.84,4.46,28.26,1.12,0.86,0.96,98.74
19,MIN,4.99,5.2,30.4,0.96,1.0,1.03,98.04
24,NYJ,4.78,5.39,31.04,0.92,1.04,1.05,97.99
5,LAR,5.74,4.46,26.34,1.1,0.86,0.89,97.53
4,GNB,5.77,4.35,30.49,1.11,0.84,1.03,97.42
26,CAR,4.76,5.37,28.87,0.91,1.03,0.98,97.28
14,ATL,5.32,4.76,30.1,1.02,0.92,1.02,96.98
18,TAM,5.04,4.99,29.46,0.97,0.96,1.0,96.51
25,LVR,4.76,5.12,30.68,0.91,0.98,1.04,95.27
30,TEN,4.08,5.76,30.12,0.78,1.11,1.02,94.84
28,ARI,4.62,5.12,29.28,0.89,0.99,0.99,93.82
13,DEN,5.39,4.26,28.44,1.03,0.82,0.96,92.83
29,NOR,4.44,5.12,26.89,0.85,0.99,0.91,91.8
20,HOU,4.97,4.51,31.79,0.95,0.87,1.08,91.78
31,CLE,3.9,4.71,28.74,0.75,0.91,0.97,83.46
