Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
QB,Jalen Hurts (41229353),Jalen Hurts,41229353,CPT,16500,PHI@WAS 12/20/2025 05:00PM ET,PHI,20.27
RB,Saquon Barkley (41229354),Saquon Barkley,41229354,CPT,15900,PHI@WAS 12/20/2025 05:00PM ET,PHI,15.09
QB,Jayden Daniels (41229355),Jayden Daniels,41229355,CPT,15000,PHI@WAS 12/20/2025 05:00PM ET,WAS,17.04
WR,A.J. Brown (41229356),A.J. Brown,41229356,CPT,14700,PHI@WAS 12/20/2025 05:00PM ET,PHI,15.77
WR,Terry McLaurin (41229357),Terry McLaurin,41229357,CPT,14100,PHI@WAS 12/20/2025 05:00PM ET,WAS,12.13
QB,Marcus Mariota (41229358),Marcus Mariota,41229358,CPT,13500,PHI@WAS 12/20/2025 05:00PM ET,WAS,13.18
WR,DeVonta Smith (41229359),DeVonta Smith,41229359,CPT,13200,PHI@WAS 12/20/2025 05:00PM ET,PHI,12.78
WR,Deebo Samuel Sr. (41229360),Deebo Samuel Sr.,41229360,CPT,12600,PHI@WAS 12/20/2025 05:00PM ET,WAS,12.79
RB,Chris Rodriguez Jr. (41229361),Chris Rodriguez Jr.,41229361,CPT,11100,PHI@WAS 12/20/2025 05:00PM ET,WAS,5.71
QB,Jalen Hurts (41229300),Jalen Hurts,41229300,FLEX,11000,PHI@WAS 12/20/2025 05:00PM ET,PHI,20.27
RB,Saquon Barkley (41229301),Saquon Barkley,41229301,FLEX,10600,PHI@WAS 12/20/2025 05:00PM ET,PHI,15.09
RB,Jacory Croskey-Merritt (41229362),Jacory Croskey-Merritt,41229362,CPT,10500,PHI@WAS 12/20/2025 05:00PM ET,WAS,7.96
QB,Jayden Daniels (41229302),Jayden Daniels,41229302,FLEX,10000,PHI@WAS 12/20/2025 05:00PM ET,WAS,17.04
WR,A.J. Brown (41229303),A.J. Brown,41229303,FLEX,9800,PHI@WAS 12/20/2025 05:00PM ET,PHI,15.77
WR,Terry McLaurin (41229304),Terry McLaurin,41229304,FLEX,9400,PHI@WAS 12/20/2025 05:00PM ET,WAS,12.13
TE,Dallas Goedert (41229363),Dallas Goedert,41229363,CPT,9300,PHI@WAS 12/20/2025 05:00PM ET,PHI,12.78
QB,Marcus Mariota (41229305),Marcus Mariota,41229305,FLEX,9000,PHI@WAS 12/20/2025 05:00PM ET,WAS,13.18
QB,Tanner McKee (41229364),Tanner McKee,41229364,CPT,9000,PHI@WAS 12/20/2025 05:00PM ET,PHI,1.01
QB,Sam Hartman (41229365),Sam Hartman,41229365,CPT,9000,PHI@WAS 12/20/2025 05:00PM ET,WAS,0
QB,Kyle McCord (41229366),Kyle McCord,41229366,CPT,9000,PHI@WAS 12/20/2025 05:00PM ET,PHI,0
QB,Sam Howell (41229367),Sam Howell,41229367,CPT,9000,PHI@WAS 12/20/2025 05:00PM ET,PHI,0
QB,Josh Johnson (41229368),Josh Johnson,41229368,CPT,9000,PHI@WAS 12/20/2025 05:00PM ET,WAS,0
WR,DeVonta Smith (41229306),DeVonta Smith,41229306,FLEX,8800,PHI@WAS 12/20/2025 05:00PM ET,PHI,12.78
WR,Deebo Samuel Sr. (41229307),Deebo Samuel Sr.,41229307,FLEX,8400,PHI@WAS 12/20/2025 05:00PM ET,WAS,12.79
DST,Eagles  (41229369),Eagles ,41229369,CPT,8400,PHI@WAS 12/20/2025 05:00PM ET,PHI,8.07
K,Jake Elliott (41229370),Jake Elliott,41229370,CPT,7500,PHI@WAS 12/20/2025 05:00PM ET,PHI,7.14
RB,Chris Rodriguez Jr. (41229308),Chris Rodriguez Jr.,41229308,FLEX,7400,PHI@WAS 12/20/2025 05:00PM ET,WAS,5.71
RB,Jacory Croskey-Merritt (41229309),Jacory Croskey-Merritt,41229309,FLEX,7000,PHI@WAS 12/20/2025 05:00PM ET,WAS,7.96
K,Jake Moody (41229371),Jake Moody,41229371,CPT,6900,PHI@WAS 12/20/2025 05:00PM ET,WAS,9.33
TE,Dallas Goedert (41229310),Dallas Goedert,41229310,FLEX,6200,PHI@WAS 12/20/2025 05:00PM ET,PHI,12.78
QB,Tanner McKee (41229311),Tanner McKee,41229311,FLEX,6000,PHI@WAS 12/20/2025 05:00PM ET,PHI,1.01
QB,Sam Hartman (41229312),Sam Hartman,41229312,FLEX,6000,PHI@WAS 12/20/2025 05:00PM ET,WAS,0
QB,Kyle McCord (41229313),Kyle McCord,41229313,FLEX,6000,PHI@WAS 12/20/2025 05:00PM ET,PHI,0
QB,Sam Howell (41229314),Sam Howell,41229314,FLEX,6000,PHI@WAS 12/20/2025 05:00PM ET,PHI,0
QB,Josh Johnson (41229315),Josh Johnson,41229315,FLEX,6000,PHI@WAS 12/20/2025 05:00PM ET,WAS,0
RB,Jeremy McNichols (41229372),Jeremy McNichols,41229372,CPT,6000,PHI@WAS 12/20/2025 05:00PM ET,WAS,4.46
WR,Noah Brown (41229373),Noah Brown,41229373,CPT,5700,PHI@WAS 12/20/2025 05:00PM ET,WAS,3.32
DST,Eagles  (41229316),Eagles ,41229316,FLEX,5600,PHI@WAS 12/20/2025 05:00PM ET,PHI,8.07
RB,Tank Bigsby (41229374),Tank Bigsby,41229374,CPT,5400,PHI@WAS 12/20/2025 05:00PM ET,PHI,1.97
DST,Commanders  (41229375),Commanders ,41229375,CPT,5100,PHI@WAS 12/20/2025 05:00PM ET,WAS,4.43
K,Jake Elliott (41229317),Jake Elliott,41229317,FLEX,5000,PHI@WAS 12/20/2025 05:00PM ET,PHI,7.14
WR,Jaylin Lane (41229376),Jaylin Lane,41229376,CPT,4800,PHI@WAS 12/20/2025 05:00PM ET,WAS,3.59
K,Jake Moody (41229318),Jake Moody,41229318,FLEX,4600,PHI@WAS 12/20/2025 05:00PM ET,WAS,9.33
WR,Luke McCaffrey (41229377),Luke McCaffrey,41229377,CPT,4500,PHI@WAS 12/20/2025 05:00PM ET,WAS,5.7
TE,John Bates (41229378),John Bates,41229378,CPT,4200,PHI@WAS 12/20/2025 05:00PM ET,WAS,1.5
RB,Jeremy McNichols (41229319),Jeremy McNichols,41229319,FLEX,4000,PHI@WAS 12/20/2025 05:00PM ET,WAS,4.46
TE,Ben Sinnott (41229379),Ben Sinnott,41229379,CPT,3900,PHI@WAS 12/20/2025 05:00PM ET,WAS,1.44
WR,Noah Brown (41229320),Noah Brown,41229320,FLEX,3800,PHI@WAS 12/20/2025 05:00PM ET,WAS,3.32
RB,Tank Bigsby (41229321),Tank Bigsby,41229321,FLEX,3600,PHI@WAS 12/20/2025 05:00PM ET,PHI,1.97
DST,Commanders  (41229322),Commanders ,41229322,FLEX,3400,PHI@WAS 12/20/2025 05:00PM ET,WAS,4.43
WR,Treylon Burks (41229380),Treylon Burks,41229380,CPT,3300,PHI@WAS 12/20/2025 05:00PM ET,WAS,3.74
WR,Jaylin Lane (41229323),Jaylin Lane,41229323,FLEX,3200,PHI@WAS 12/20/2025 05:00PM ET,WAS,3.59
WR,Luke McCaffrey (41229324),Luke McCaffrey,41229324,FLEX,3000,PHI@WAS 12/20/2025 05:00PM ET,WAS,5.7
WR,Jahan Dotson (41229381),Jahan Dotson,41229381,CPT,3000,PHI@WAS 12/20/2025 05:00PM ET,PHI,2.78
TE,John Bates (41229325),John Bates,41229325,FLEX,2800,PHI@WAS 12/20/2025 05:00PM ET,WAS,1.5
TE,Ben Sinnott (41229326),Ben Sinnott,41229326,FLEX,2600,PHI@WAS 12/20/2025 05:00PM ET,WAS,1.44
TE,Grant Calcaterra (41229382),Grant Calcaterra,41229382,CPT,2400,PHI@WAS 12/20/2025 05:00PM ET,PHI,0.93
WR,Treylon Burks (41229327),Treylon Burks,41229327,FLEX,2200,PHI@WAS 12/20/2025 05:00PM ET,WAS,3.74
RB,Will Shipley (41229383),Will Shipley,41229383,CPT,2100,PHI@WAS 12/20/2025 05:00PM ET,PHI,1.22
WR,Jahan Dotson (41229328),Jahan Dotson,41229328,FLEX,2000,PHI@WAS 12/20/2025 05:00PM ET,PHI,2.78
WR,Chris Moore (41229384),Chris Moore,41229384,CPT,1800,PHI@WAS 12/20/2025 05:00PM ET,WAS,3.28
TE,Grant Calcaterra (41229329),Grant Calcaterra,41229329,FLEX,1600,PHI@WAS 12/20/2025 05:00PM ET,PHI,0.93
WR,Darius Cooper (41229385),Darius Cooper,41229385,CPT,1500,PHI@WAS 12/20/2025 05:00PM ET,PHI,1.05
RB,Will Shipley (41229330),Will Shipley,41229330,FLEX,1400,PHI@WAS 12/20/2025 05:00PM ET,PHI,1.22
WR,Chris Moore (41229331),Chris Moore,41229331,FLEX,1200,PHI@WAS 12/20/2025 05:00PM ET,WAS,3.28
WR,Robbie Chosen (41229386),Robbie Chosen,41229386,CPT,1200,PHI@WAS 12/20/2025 05:00PM ET,WAS,3.43
WR,Darius Cooper (41229332),Darius Cooper,41229332,FLEX,1000,PHI@WAS 12/20/2025 05:00PM ET,PHI,1.05
TE,Colson Yankoff (41229387),Colson Yankoff,41229387,CPT,900,PHI@WAS 12/20/2025 05:00PM ET,WAS,0.32
WR,Robbie Chosen (41229333),Robbie Chosen,41229333,FLEX,800,PHI@WAS 12/20/2025 05:00PM ET,WAS,3.43
