,TE,Team,Season,1,2
10,Dalton Kincaid,BUF,111.0,115.0,108.0
44,Trey McBride,ARI,111.0,113.0,
24,Isaiah Likely,NYG,110.0,111.0,
9,Dallas Goedert,PHI,108.0,109.0,
34,Mike Gesicki,CIN,107.0,109.0,
38,Sam LaPorta,DET,106.0,105.0,104.0
31,Mark Andrews,BAL,105.0,107.0,
43,Travis Kelce,KAN,105.0,107.0,
33,Michael Mayer,LVR,103.0,105.0,
3,Cade Otton,TAM,102.0,104.0,
39,TJ Hockenson,MIN,102.0,103.0,
14,David Njoku,LAC,102.0,103.0,
11,Dalton Schultz,HOU,102.0,103.0,
27,Juwan Johnson,NOR,102.0,103.0,
46,Tyler Warren,IND,101.0,102.0,
37,Pat Freiermuth,PIT,101.0,102.0,
45,Tucker Kraft,GNB,101.0,103.0,
8,Colston Loveland,CHI,100.0,102.0,
18,Evan Engram,DEN,100.0,101.0,
22,Harold Fannin,CLE,99.0,100.0,
29,Kyle Pitts,ATL,98.0,99.0,
7,Cole Kmet,CHI,98.0,100.0,
26,Jonnu Smith,GNB,97.0,99.0,
21,Gunnar Helm,TEN,97.0,99.0,
0,AJ Barner,SEA,96.0,98.0,
23,Hunter Henry,NWE,96.0,97.0,
19,George Kittle,SFO,96.0,98.0,
35,Noah Fant,NOR,96.0,98.0,
25,Jake Ferguson,DAL,96.0,98.0,
5,Chig Okonkwo,WAS,95.0,97.0,
20,Greg Dulcich,MIA,95.0,96.0,
6,Colby Parkinson,LAR,95.0,96.0,
42,Tommy Tremble,CAR,95.0,97.0,
15,Dawson Knox,BUF,91.0,93.0,94.0
12,Darnell Washington,PIT,91.0,93.0,
1,Ben Sinnott,WAS,,88.0,
2,Brenton Strange,JAX,,102.0,
4,Charlie Kolar,LAC,,89.0,
13,Darren Waller,CAR,,96.0,
16,Drew Sample,CIN,,96.0,
17,Durham Smythe,BAL,,92.0,
28,Kenyon Sadiq,NYJ,,99.0,
30,Luke Farrell,SFO,,95.0,
32,Mason Taylor,NYJ,,95.0,
36,Noah Gray,KAN,,91.0,
40,Terrance Ferguson,LAR,,93.0,
41,Theo Johnson,NYG,,93.0,
