,Team,Defense Grade,Offense Grade,Team Grade
6,SEA,112.0,112.0,112.0
5,LAR,113.0,110.0,111.5
2,GNB,117.0,102.0,109.5
18,IND,97.0,122.0,109.5
3,ATL,114.0,103.0,108.5
0,DEN,122.0,94.0,108.0
7,KAN,105.0,108.0,106.5
9,DET,103.0,109.0,106.0
19,BAL,97.0,114.0,105.5
11,SFO,102.0,106.0,104.0
15,TAM,99.0,108.0,103.5
4,HOU,113.0,93.0,103.0
13,LAC,101.0,105.0,103.0
23,BUF,96.0,110.0,103.0
25,WAS,94.0,110.0,102.0
12,PHI,102.0,100.0,101.0
26,PIT,92.0,107.0,99.5
30,DAL,86.0,113.0,99.5
17,JAX,97.0,101.0,99.0
22,MIN,96.0,99.0,97.5
28,NWE,90.0,105.0,97.5
1,CLE,119.0,75.0,97.0
16,ARI,98.0,95.0,96.5
27,CHI,90.0,101.0,95.5
8,LVR,105.0,85.0,95.0
14,NOR,101.0,88.0,94.5
20,CAR,97.0,91.0,94.0
21,NYG,96.0,92.0,94.0
29,MIA,88.0,95.0,91.5
10,NYJ,102.0,77.0,89.5
31,CIN,86.0,90.0,88.0
24,TEN,95.0,80.0,87.5
