Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status
WR,Puka Nacua (44080768),Puka Nacua,44080768,CPT,16800,SF@LAR 09/10/2026 08:35PM ET,LAR,25.1,
RB,Christian McCaffrey (44080769),Christian McCaffrey,44080769,CPT,15900,SF@LAR 09/10/2026 08:35PM ET,SF,24.8,
QB,Matthew Stafford (44080770),Matthew Stafford,44080770,CPT,14700,SF@LAR 09/10/2026 08:35PM ET,LAR,22.1,
QB,Brock Purdy (44080771),Brock Purdy,44080771,CPT,14100,SF@LAR 09/10/2026 08:35PM ET,SF,20.1,
WR,Davante Adams (44080772),Davante Adams,44080772,CPT,13800,SF@LAR 09/10/2026 08:35PM ET,LAR,15.4,
RB,Kyren Williams (44080773),Kyren Williams,44080773,CPT,12900,SF@LAR 09/10/2026 08:35PM ET,LAR,16.3,
WR,Mike Evans (44080774),Mike Evans,44080774,CPT,12300,SF@LAR 09/10/2026 08:35PM ET,SF,11,
WR,Puka Nacua (44080714),Puka Nacua,44080714,FLEX,11200,SF@LAR 09/10/2026 08:35PM ET,LAR,25.1,
TE,George Kittle (44080775),George Kittle,44080775,CPT,11100,SF@LAR 09/10/2026 08:35PM ET,SF,13.8,
RB,Christian McCaffrey (44080715),Christian McCaffrey,44080715,FLEX,10600,SF@LAR 09/10/2026 08:35PM ET,SF,24.8,
WR,Deebo Samuel Sr. (44080776),Deebo Samuel Sr.,44080776,CPT,10500,SF@LAR 09/10/2026 08:35PM ET,SF,11.8,
WR,De'Zhaun Stribling (44080777),De'Zhaun Stribling,44080777,CPT,9900,SF@LAR 09/10/2026 08:35PM ET,SF,0,
QB,Matthew Stafford (44080716),Matthew Stafford,44080716,FLEX,9800,SF@LAR 09/10/2026 08:35PM ET,LAR,22.1,
QB,Brock Purdy (44080717),Brock Purdy,44080717,FLEX,9400,SF@LAR 09/10/2026 08:35PM ET,SF,20.1,
WR,Davante Adams (44080718),Davante Adams,44080718,FLEX,9200,SF@LAR 09/10/2026 08:35PM ET,LAR,15.4,
QB,Stetson Bennett IV (44080778),Stetson Bennett IV,44080778,CPT,9000,SF@LAR 09/10/2026 08:35PM ET,LAR,0,
QB,Mac Jones (44080779),Mac Jones,44080779,CPT,9000,SF@LAR 09/10/2026 08:35PM ET,SF,12.3,
QB,Ty Simpson (44080780),Ty Simpson,44080780,CPT,9000,SF@LAR 09/10/2026 08:35PM ET,LAR,0,
QB,Matthew Caldwell (44080781),Matthew Caldwell,44080781,CPT,9000,SF@LAR 09/10/2026 08:35PM ET,LAR,0,IR
QB,Kurtis Rourke (44080782),Kurtis Rourke,44080782,CPT,9000,SF@LAR 09/10/2026 08:35PM ET,SF,0,
RB,Kyren Williams (44080719),Kyren Williams,44080719,FLEX,8600,SF@LAR 09/10/2026 08:35PM ET,LAR,16.3,
WR,Mike Evans (44080720),Mike Evans,44080720,FLEX,8200,SF@LAR 09/10/2026 08:35PM ET,SF,11,
K,Harrison Mevis (44080783),Harrison Mevis,44080783,CPT,7500,SF@LAR 09/10/2026 08:35PM ET,LAR,9.6,
TE,George Kittle (44080721),George Kittle,44080721,FLEX,7400,SF@LAR 09/10/2026 08:35PM ET,SF,13.8,
K,Eddy Pineiro (44080784),Eddy Pineiro,44080784,CPT,7200,SF@LAR 09/10/2026 08:35PM ET,SF,9.6,
WR,Deebo Samuel Sr. (44080722),Deebo Samuel Sr.,44080722,FLEX,7000,SF@LAR 09/10/2026 08:35PM ET,SF,11.8,
RB,Blake Corum (44080785),Blake Corum,44080785,CPT,6900,SF@LAR 09/10/2026 08:35PM ET,LAR,7.3,
WR,De'Zhaun Stribling (44080723),De'Zhaun Stribling,44080723,FLEX,6600,SF@LAR 09/10/2026 08:35PM ET,SF,0,
TE,Jake Tonges (44080786),Jake Tonges,44080786,CPT,6600,SF@LAR 09/10/2026 08:35PM ET,SF,5.6,
QB,Stetson Bennett IV (44080724),Stetson Bennett IV,44080724,FLEX,6000,SF@LAR 09/10/2026 08:35PM ET,LAR,0,
QB,Mac Jones (44080725),Mac Jones,44080725,FLEX,6000,SF@LAR 09/10/2026 08:35PM ET,SF,12.3,
QB,Ty Simpson (44080726),Ty Simpson,44080726,FLEX,6000,SF@LAR 09/10/2026 08:35PM ET,LAR,0,
QB,Matthew Caldwell (44080727),Matthew Caldwell,44080727,FLEX,6000,SF@LAR 09/10/2026 08:35PM ET,LAR,0,IR
QB,Kurtis Rourke (44080728),Kurtis Rourke,44080728,FLEX,6000,SF@LAR 09/10/2026 08:35PM ET,SF,0,
DST,Rams (44080787),Rams,44080787,CPT,6000,SF@LAR 09/10/2026 08:35PM ET,LAR,7.6,
WR,Demarcus Robinson (44080788),Demarcus Robinson,44080788,CPT,5700,SF@LAR 09/10/2026 08:35PM ET,SF,5.3,
TE,Colby Parkinson (44080789),Colby Parkinson,44080789,CPT,5400,SF@LAR 09/10/2026 08:35PM ET,LAR,8.9,
DST,49ers (44080790),49ers,44080790,CPT,5100,SF@LAR 09/10/2026 08:35PM ET,SF,4.1,
K,Harrison Mevis (44080729),Harrison Mevis,44080729,FLEX,5000,SF@LAR 09/10/2026 08:35PM ET,LAR,9.6,
K,Eddy Pineiro (44080730),Eddy Pineiro,44080730,FLEX,4800,SF@LAR 09/10/2026 08:35PM ET,SF,9.6,
TE,Terrance Ferguson (44080791),Terrance Ferguson,44080791,CPT,4800,SF@LAR 09/10/2026 08:35PM ET,LAR,3.4,
RB,Blake Corum (44080731),Blake Corum,44080731,FLEX,4600,SF@LAR 09/10/2026 08:35PM ET,LAR,7.3,
RB,Kaelon Black (44080792),Kaelon Black,44080792,CPT,4500,SF@LAR 09/10/2026 08:35PM ET,SF,0,
TE,Jake Tonges (44080732),Jake Tonges,44080732,FLEX,4400,SF@LAR 09/10/2026 08:35PM ET,SF,5.6,
WR,Jordan Whittington (44080793),Jordan Whittington,44080793,CPT,4200,SF@LAR 09/10/2026 08:35PM ET,LAR,2.2,
DST,Rams (44080733),Rams,44080733,FLEX,4000,SF@LAR 09/10/2026 08:35PM ET,LAR,7.6,
TE,Tyler Higbee (44080794),Tyler Higbee,44080794,CPT,3900,SF@LAR 09/10/2026 08:35PM ET,LAR,6.4,
WR,Demarcus Robinson (44080734),Demarcus Robinson,44080734,FLEX,3800,SF@LAR 09/10/2026 08:35PM ET,SF,5.3,
TE,Colby Parkinson (44080735),Colby Parkinson,44080735,FLEX,3600,SF@LAR 09/10/2026 08:35PM ET,LAR,8.9,
WR,Tutu Atwell (44080795),Tutu Atwell,44080795,CPT,3600,SF@LAR 09/10/2026 08:35PM ET,LAR,2.8,
DST,49ers (44080736),49ers,44080736,FLEX,3400,SF@LAR 09/10/2026 08:35PM ET,SF,4.1,
WR,Jordan Watkins (44080796),Jordan Watkins,44080796,CPT,3300,SF@LAR 09/10/2026 08:35PM ET,SF,0.9,
TE,Terrance Ferguson (44080737),Terrance Ferguson,44080737,FLEX,3200,SF@LAR 09/10/2026 08:35PM ET,LAR,3.4,
RB,Kaelon Black (44080738),Kaelon Black,44080738,FLEX,3000,SF@LAR 09/10/2026 08:35PM ET,SF,0,
RB,Jordan James (44080797),Jordan James,44080797,CPT,3000,SF@LAR 09/10/2026 08:35PM ET,SF,0.8,
WR,Jordan Whittington (44080739),Jordan Whittington,44080739,FLEX,2800,SF@LAR 09/10/2026 08:35PM ET,LAR,2.2,
TE,Luke Farrell (44080798),Luke Farrell,44080798,CPT,2700,SF@LAR 09/10/2026 08:35PM ET,SF,1.7,
TE,Tyler Higbee (44080740),Tyler Higbee,44080740,FLEX,2600,SF@LAR 09/10/2026 08:35PM ET,LAR,6.4,
WR,Tutu Atwell (44080741),Tutu Atwell,44080741,FLEX,2400,SF@LAR 09/10/2026 08:35PM ET,LAR,2.8,
TE,Max Klare (44080799),Max Klare,44080799,CPT,2400,SF@LAR 09/10/2026 08:35PM ET,LAR,0,
WR,Jordan Watkins (44080742),Jordan Watkins,44080742,FLEX,2200,SF@LAR 09/10/2026 08:35PM ET,SF,0.9,
RB,Kyle Juszczyk (44080800),Kyle Juszczyk,44080800,CPT,2100,SF@LAR 09/10/2026 08:35PM ET,SF,3.6,
RB,Jordan James (44080743),Jordan James,44080743,FLEX,2000,SF@LAR 09/10/2026 08:35PM ET,SF,0.8,
TE,Luke Farrell (44080744),Luke Farrell,44080744,FLEX,1800,SF@LAR 09/10/2026 08:35PM ET,SF,1.7,
WR,Konata Mumpfield (44080801),Konata Mumpfield,44080801,CPT,1800,SF@LAR 09/10/2026 08:35PM ET,LAR,1.5,
TE,Max Klare (44080745),Max Klare,44080745,FLEX,1600,SF@LAR 09/10/2026 08:35PM ET,LAR,0,
WR,Jacob Cowing (44080802),Jacob Cowing,44080802,CPT,1500,SF@LAR 09/10/2026 08:35PM ET,SF,0,
RB,Kyle Juszczyk (44080746),Kyle Juszczyk,44080746,FLEX,1400,SF@LAR 09/10/2026 08:35PM ET,SF,3.6,
WR,Konata Mumpfield (44080747),Konata Mumpfield,44080747,FLEX,1200,SF@LAR 09/10/2026 08:35PM ET,LAR,1.5,
WR,CJ Daniels (44080803),CJ Daniels,44080803,CPT,1200,SF@LAR 09/10/2026 08:35PM ET,LAR,0,
WR,Jacob Cowing (44080748),Jacob Cowing,44080748,FLEX,1000,SF@LAR 09/10/2026 08:35PM ET,SF,0,
TE,Davis Allen (44080804),Davis Allen,44080804,CPT,900,SF@LAR 09/10/2026 08:35PM ET,LAR,3.1,
WR,CJ Daniels (44080749),CJ Daniels,44080749,FLEX,800,SF@LAR 09/10/2026 08:35PM ET,LAR,0,
TE,Davis Allen (44080750),Davis Allen,44080750,FLEX,600,SF@LAR 09/10/2026 08:35PM ET,LAR,3.1,
RB,Ronnie Rivers (44080805),Ronnie Rivers,44080805,CPT,600,SF@LAR 09/10/2026 08:35PM ET,LAR,0.3,
RB,Ronnie Rivers (44080751),Ronnie Rivers,44080751,FLEX,400,SF@LAR 09/10/2026 08:35PM ET,LAR,0.3,
RB,Dean Connors (44080806),Dean Connors,44080806,CPT,300,SF@LAR 09/10/2026 08:35PM ET,LAR,0,
RB,Jordan Waters (44080807),Jordan Waters,44080807,CPT,300,SF@LAR 09/10/2026 08:35PM ET,LAR,0,
RB,Sincere McCormick (44080808),Sincere McCormick,44080808,CPT,300,SF@LAR 09/10/2026 08:35PM ET,SF,0,
WR,Ricky Pearsall (44080809),Ricky Pearsall,44080809,CPT,300,SF@LAR 09/10/2026 08:35PM ET,SF,9.5,IR
WR,Christian Kirk (44080810),Christian Kirk,44080810,CPT,300,SF@LAR 09/10/2026 08:35PM ET,SF,6.6,IR
WR,Xavier Smith (44080811),Xavier Smith,44080811,CPT,300,SF@LAR 09/10/2026 08:35PM ET,LAR,2.5,
WR,Alex Bachman (44080812),Alex Bachman,44080812,CPT,300,SF@LAR 09/10/2026 08:35PM ET,LAR,0.2,
WR,Brennan Presley (44080813),Brennan Presley,44080813,CPT,300,SF@LAR 09/10/2026 08:35PM ET,LAR,0,
WR,Wesley Grimes (44080814),Wesley Grimes,44080814,CPT,300,SF@LAR 09/10/2026 08:35PM ET,SF,0,
WR,Will Pauling (44080815),Will Pauling,44080815,CPT,300,SF@LAR 09/10/2026 08:35PM ET,SF,0,
WR,KhaDarel Hodge (44080816),KhaDarel Hodge,44080816,CPT,300,SF@LAR 09/10/2026 08:35PM ET,SF,0.5,
TE,Dan Villari (44080817),Dan Villari,44080817,CPT,300,SF@LAR 09/10/2026 08:35PM ET,LAR,0,
TE,Khalil Dinkins (44080818),Khalil Dinkins,44080818,CPT,300,SF@LAR 09/10/2026 08:35PM ET,SF,0,
WR,Brandon Aiyuk (44080819),Brandon Aiyuk,44080819,CPT,300,SF@LAR 09/10/2026 08:35PM ET,SF,0,OUT
TE,Brayden Willis (44080820),Brayden Willis,44080820,CPT,300,SF@LAR 09/10/2026 08:35PM ET,SF,0,
RB,Isaac Guerendo (44080821),Isaac Guerendo,44080821,CPT,300,SF@LAR 09/10/2026 08:35PM ET,SF,0,OUT
RB,Dean Connors (44080752),Dean Connors,44080752,FLEX,200,SF@LAR 09/10/2026 08:35PM ET,LAR,0,
