,WR,Team,Season,1,2
54,Jaxon Smith-Njigba,SEA,125.0,115.0,122.0
91,Parker Washington,JAX,117.0,113.0,112.0
24,Davante Adams,LAR,116.0,101.0,121.0
3,Amon-Ra St. Brown,DET,113.0,108.0,111.0
11,CeeDee Lamb,DAL,113.0,105.0,115.0
63,Justin Jefferson,MIN,112.0,110.0,107.0
49,Jalen Coker,CAR,111.0,108.0,107.0
93,Puka Nacua,LAR,110.0,108.0,
16,Chris Olave,NOR,110.0,108.0,107.0
17,Christian Watson,GNB,109.0,106.0,106.0
107,Tetairoa McMillan,CAR,109.0,105.0,109.0
27,DeVonta Smith,PHI,109.0,104.0,110.0
56,Jaylen Waddle,DEN,108.0,96.0,117.0
105,Tee Higgins,CIN,108.0,103.0,109.0
30,Denzel Boston,CLE,108.0,104.0,108.0
20,DJ Moore,BUF,108.0,110.0,
110,Tre Tucker,LVR,108.0,101.0,112.0
29,Demarcus Robinson,SFO,107.0,102.0,
87,Mike Evans,SFO,107.0,104.0,106.0
84,Matthew Golden,GNB,107.0,107.0,104.0
28,Deebo Samuel,SFO,107.0,107.0,103.0
38,Garrett Wilson,NYJ,106.0,109.0,102.0
71,Khalil Shakir,BUF,106.0,105.0,104.0
65,Kalif Raymond,CHI,106.0,110.0,100.0
103,Stefon Diggs,WAS,106.0,104.0,104.0
33,Dontayvion Wicks,PHI,106.0,104.0,105.0
6,Brian Thomas,JAX,106.0,105.0,104.0
1,Adonai Mitchell,NYJ,106.0,104.0,105.0
62,Joshua Palmer,BUF,105.0,102.0,103.0
61,Josh Downs,IND,105.0,100.0,109.0
74,Ladd McConkey,LAC,105.0,108.0,99.0
31,Devaughn Vele,NOR,104.0,101.0,105.0
2,Alec Pierce,IND,104.0,104.0,
8,Caleb Douglas,MIA,104.0,104.0,99.0
81,Malik Nabers,NYG,104.0,109.0,97.0
39,George Pickens,DAL,104.0,103.0,105.0
82,Malik Washington,MIA,104.0,103.0,103.0
77,Luther Burden,CHI,104.0,104.0,102.0
97,Rashod Bateman,BAL,104.0,99.0,108.0
69,Keon Coleman,BUF,103.0,96.0,105.0
44,Ja'Marr Chase,CIN,103.0,100.0,106.0
36,Elic Ayomanor,TEN,103.0,96.0,110.0
15,Chris Moore,BAL,103.0,,97.0
5,Antonio Williams,WAS,103.0,108.0,97.0
64,KC Concepcion,CLE,103.0,102.0,102.0
108,Tez Johnson,TAM,103.0,,104.0
100,Romeo Doubs,NWE,103.0,97.0,108.0
68,Kendrick Bourne,ARI,102.0,105.0,96.0
37,Emeka Egbuka,TAM,102.0,103.0,100.0
10,Carnell Tate,TEN,102.0,100.0,103.0
117,Xavier Worthy,KAN,102.0,101.0,102.0
99,Rome Odunze,CHI,102.0,103.0,100.0
86,Michael Wilson,ARI,102.0,103.0,100.0
89,Nico Collins,HOU,102.0,106.0,
51,Jameson Williams,DET,102.0,103.0,101.0
80,Malachi Fields,NYG,102.0,101.0,101.0
106,Terry McLaurin,WAS,102.0,99.0,104.0
112,Tyquan Thornton,KAN,101.0,97.0,103.0
95,Rashee Rice,KAN,101.0,98.0,103.0
96,Rashid Shaheed,SEA,101.0,97.0,105.0
101,Ryan Flournoy,DAL,101.0,100.0,102.0
48,Jakobi Meyers,JAX,101.0,103.0,99.0
18,Cooper Kupp,SEA,101.0,101.0,99.0
21,DK Metcalf,PIT,101.0,103.0,100.0
34,Drake London,ATL,100.0,100.0,99.0
109,Tre Harris,LAC,100.0,98.0,101.0
75,Laquon Treadwell,IND,100.0,,104.0
67,Keenan Allen,IND,100.0,100.0,99.0
78,Mack Hollins,NWE,100.0,101.0,98.0
14,Chris Godwin,TAM,100.0,100.0,100.0
23,Darnell Mooney,NYG,100.0,100.0,100.0
115,Xavier Legette,CAR,99.0,95.0,102.0
45,Jack Bech,LVR,99.0,101.0,97.0
19,Courtland Sutton,DEN,99.0,97.0,101.0
50,Jalen Nailor,LVR,99.0,101.0,97.0
59,Jordan Addison,MIN,99.0,97.0,102.0
114,Xavier Hutchinson,HOU,99.0,100.0,99.0
57,Jaylin Noel,HOU,98.0,101.0,96.0
113,Wan'Dale Robinson,TEN,98.0,100.0,96.0
92,Pat Bryant,DEN,98.0,101.0,95.0
98,Roman Wilson,PIT,98.0,98.0,98.0
58,Jerry Jeudy,CLE,97.0,100.0,95.0
94,Quentin Johnston,LAC,97.0,98.0,97.0
104,Ted Hurst,TAM,97.0,96.0,98.0
7,Bryce Lance,NOR,97.0,97.0,96.0
35,Dyami Brown,WAS,97.0,96.0,99.0
26,DeMario Douglas,NWE,97.0,100.0,95.0
42,Isaiah Williams,NYJ,97.0,96.0,99.0
66,Kayshon Boutte,HOU,97.0,97.0,98.0
83,Marvin Harrison Jr.,ARI,97.0,100.0,94.0
52,Jared Wayne,HOU,97.0,,98.0
41,Isaac TeSlaa,DET,97.0,94.0,101.0
79,Makai Lemon,PHI,96.0,97.0,97.0
73,LaJohntay Wester,BAL,96.0,97.0,96.0
46,Jahan Dotson,ATL,96.0,98.0,96.0
55,Jayden Reed,GNB,96.0,98.0,
40,Germie Bernard,PIT,96.0,,100.0
4,Andrei Iosivas,CIN,95.0,97.0,94.0
9,Calvin Ridley,TEN,95.0,91.0,102.0
12,Chris Bell,MIA,95.0,96.0,93.0
85,Michael Pittman Jr.,PIT,95.0,99.0,
72,Konata Mumpfield,LAR,94.0,,97.0
102,Skyy Moore,GNB,93.0,,97.0
70,Kevin Coleman,MIA,91.0,91.0,91.0
90,Olamide Zaccheaus,ATL,91.0,,92.0
13,Chris Blair,ATL,90.0,,93.0
47,Jahdae Walker,CHI,90.0,94.0,
116,Xavier Smith,LAR,90.0,,93.0
0,A.J. Brown,NWE,,98.0,
22,Darius Cooper,PHI,,,100.0
25,De'Zhaun Stribling,SFO,,91.0,
32,Devontez Walker,BAL,,,102.0
43,Ja'Kobi Lane,BAL,,99.0,
53,Jauan Jennings,MIN,,95.0,
60,Jordan Whittington,LAR,,92.0,
76,Lewis Bond,HOU,,,87.0
88,Myles Price,MIN,,,94.0
111,Treylon Burks,WAS,,,94.0
118,Zay Flowers,BAL,,128.0,
