,Player,Pos,Team,Week,Passing,Rushing,Receiving,xFP
0,AJ Barner,TE,SEA,1,0.0,0.0,2.82,2.82
1,AJ Dillon,RB,CAR,1,0.0,2.97,0.0,2.97
2,Aaron Jones,RB,MIN,1,0.0,8.06,1.71,9.77
3,Aaron Rodgers,QB,PIT,1,18.78,1.81,0.0,20.59
4,Adam Trautman,TE,DEN,1,0.0,0.0,4.3,4.3
5,Adonai Mitchell,WR,NYJ,1,0.0,0.0,5.58,5.58
6,Alec Pierce,WR,IND,1,0.0,0.0,11.59,11.59
7,Ameer Abdullah,RB,JAX,1,0.0,1.66,1.36,3.02
8,Amon-Ra St. Brown,WR,DET,1,0.0,0.0,21.87,21.87
9,Amon-Ra St. Brown,WR,DET,2,0.0,0.0,22.71,22.71
10,Andrei Iosivas,WR,CIN,1,0.0,0.0,4.74,4.74
11,Andrew Ogletree,TE,IND,1,0.0,0.0,1.71,1.71
12,Antonio Williams,WR,WAS,1,0.0,0.0,7.25,7.25
13,Arian Smith,WR,NYJ,1,0.0,0.0,1.75,1.75
14,Ashton Dulin,WR,IND,1,0.0,0.0,1.27,1.27
15,Ashton Jeanty,RB,LVR,1,0.0,13.95,9.8,23.75
16,Baker Mayfield,QB,TAM,1,11.5,3.82,0.0,15.32
17,Barion Brown,WR,NOR,1,0.0,0.26,0.0,0.26
18,Bhayshul Tuten,RB,JAX,1,0.0,9.57,1.44,11.01
19,Bijan Robinson,RB,ATL,1,0.0,12.75,13.62,26.369999999999997
20,Blake Corum,RB,LAR,1,0.0,5.27,0.0,5.27
21,Blake Whiteheart,TE,CLE,1,0.0,0.0,1.77,1.77
22,Bo Melton,WR,GNB,1,0.0,0.0,1.58,1.58
23,Bo Nix,QB,DEN,1,8.8,1.43,0.0,10.23
24,Brady Russell,RB,SEA,1,0.0,0.0,3.16,3.16
25,Braelon Allen,RB,NYJ,1,0.0,6.8,1.6,8.4
26,Breece Hall,RB,NYJ,1,0.0,14.61,3.0,17.61
27,Brenton Strange,TE,JAX,1,0.0,0.0,5.45,5.45
28,Brevyn Spann-Ford,TE,DAL,1,0.0,0.0,2.81,2.81
29,Brian Robinson,RB,ATL,1,0.0,6.43,0.0,6.43
30,Brian Thomas,WR,JAX,1,0.0,0.0,5.3,5.3
31,Brock Purdy,QB,SFO,1,14.28,3.33,0.0,17.61
32,Brock Wright,TE,DET,1,0.0,0.0,1.36,1.36
33,Bryce Lance,WR,NOR,1,0.0,0.0,6.27,6.27
34,Bryce Young,QB,CAR,1,17.97,2.06,0.0,20.029999999999998
35,Bucky Irving,RB,TAM,1,0.0,4.94,9.35,14.29
36,C.J. Stroud,QB,HOU,1,17.67,1.45,0.0,19.12
37,Cade Otton,TE,TAM,1,0.0,0.0,8.51,8.51
38,Cade Stover,TE,HOU,1,0.0,0.0,1.54,1.54
39,Caleb Douglas,WR,MIA,1,0.0,0.0,12.55,12.55
40,Caleb Williams,QB,CHI,1,14.92,7.46,0.0,22.38
41,Cam Skattebo,RB,NYG,1,0.0,11.89,0.0,11.89
42,Cam Ward,QB,TEN,1,12.75,1.95,0.0,14.7
43,Cameron Johnston,SPEC,PIT,1,0.34,0.0,0.0,0.34
44,Carnell Tate,WR,TEN,1,0.0,0.0,9.99,9.99
45,Carson Wentz,QB,MIN,1,9.04,2.7,0.0,11.739999999999998
46,CeeDee Lamb,WR,DAL,1,0.0,0.35,12.97,13.32
47,Chase Brown,RB,CIN,1,0.0,13.47,8.41,21.880000000000003
48,Chig Okonkwo,TE,WAS,1,0.0,0.0,5.19,5.19
49,Chimere Dike,WR,TEN,1,0.0,0.0,1.49,1.49
50,Chris Bell,WR,MIA,1,0.0,0.0,3.98,3.98
51,Chris Godwin,WR,TAM,1,0.0,0.78,6.02,6.8
52,Chris Moore,WR,BAL,1,0.0,0.0,4.12,4.12
53,Chris Olave,WR,NOR,1,0.0,0.0,22.69,22.69
54,Chris Rodriguez,RB,JAX,1,0.0,4.59,0.0,4.59
55,Christian McCaffrey,RB,SFO,1,0.0,6.41,11.75,18.16
56,Christian Watson,WR,GNB,1,0.0,0.0,14.72,14.72
57,Christopher Brooks,RB,GNB,1,0.0,3.89,1.25,5.140000000000001
58,Chuba Hubbard,RB,CAR,1,0.0,7.62,4.48,12.100000000000001
59,Colby Parkinson,TE,LAR,1,0.0,0.0,3.2,3.2
60,Cole Kmet,TE,CHI,1,0.0,0.0,5.59,5.59
