,Player,Week,FPts,xFP,Diff
1445,Jahmyr Gibbs,12,58.4,26.67,31.73
1784,Jonathan Taylor,8,40.4,9.74,30.66
3125,Tre Tucker,3,43.9,16.18,27.72
1849,Josh Allen,11,47.68,20.62,27.06
1441,Jahmyr Gibbs,7,39.8,13.92,25.88
1546,James Cook,8,36.6,11.5,25.1
1786,Jonathan Taylor,10,52.6,27.69,24.91
1443,Jahmyr Gibbs,10,41.2,16.95,24.25
360,Brock Bowers,9,46.3,22.14,24.16
835,David Montgomery,3,32.4,8.67,23.73
895,De'Von Achane,10,43.5,20.76,22.74
959,Derrick Henry,1,34.2,11.59,22.61
3218,Tucker Kraft,8,36.3,13.8,22.5
1566,Jared Goff,2,36.96,14.97,21.99
2866,Saquon Barkley,8,36.4,14.81,21.59
1613,Jaxon Smith-Njigba,12,40.1,18.56,21.54
1139,Emeka Egbuka,5,34.3,12.87,21.43
3143,TreVeyon Henderson,10,31.0,9.57,21.43
123,Amon-Ra St. Brown,2,42.2,21.04,21.16
2890,Sean Tucker,11,37.0,15.92,21.08
2622,Pat Freiermuth,7,31.1,10.06,21.04
178,Ashton Jeanty,4,37.5,16.49,21.01
639,Colston Loveland,9,32.8,12.19,20.61
2990,Tee Higgins,9,36.1,15.94,20.16
2838,Sam Darnold,9,31.2,11.11,20.09
6,A.J. Brown,7,31.1,11.1,20.0
1419,Jacory Croskey-Merritt,5,31.0,11.82,19.18
316,Breece Hall,8,35.86,17.39,18.47
1924,Justice Hill,4,28.7,10.38,18.32
713,DK Metcalf,4,26.6,8.43,18.17
1783,Jonathan Taylor,7,34.2,16.08,18.12
2680,RJ Harvey,8,24.1,6.08,18.02
1029,Drake London,9,41.8,23.87,17.93
2588,Omarion Hampton,4,30.5,12.7,17.8
2021,Kayshon Boutte,6,26.3,8.91,17.39
2304,Malik Nabers,2,40.7,23.34,17.36
2594,Oronde Gadsden,7,32.4,15.1,17.3
925,DeVonta Smith,7,36.3,19.22,17.08
2329,Mark Andrews,3,27.1,10.03,17.07
425,Caleb Williams,9,38.7,21.68,17.02
2203,Lamar Jackson,1,29.36,12.55,16.81
1204,George Pickens,4,36.4,19.65,16.75
1211,George Pickens,12,32.6,15.89,16.71
247,Bijan Robinson,6,38.8,22.32,16.48
1206,George Pickens,6,34.8,18.33,16.47
2766,Rico Dowdle,5,35.4,19.03,16.37
2835,Sam Darnold,5,31.64,15.47,16.17
1596,Javonte Williams,5,29.9,13.73,16.17
3213,Tucker Kraft,2,27.4,11.27,16.13
3018,Tetairoa McMillan,11,36.0,20.02,15.98
1778,Jonathan Taylor,2,32.5,16.6,15.9
2802,Romeo Doubs,4,29.8,13.98,15.82
2261,Luther Burden,3,22.8,6.99,15.81
1536,Jameis Winston,12,36.24,20.56,15.68
2715,Rashid Shaheed,5,24.4,8.73,15.67
748,Dalton Kincaid,9,25.1,9.49,15.61
891,De'Von Achane,6,34.0,18.45,15.55
385,Bryce Young,11,34.82,19.35,15.47
724,Dak Prescott,4,33.96,18.7,15.26
1607,Jaxon Smith-Njigba,5,30.2,15.01,15.19
1511,Jalen Nailor,10,26.4,11.22,15.18
686,D'Andre Swift,6,28.5,13.33,15.17
586,Christian McCaffrey,11,35.1,19.96,15.14
1368,Ja'Marr Chase,5,32.0,16.87,15.13
1779,Jonathan Taylor,3,35.8,20.67,15.13
582,Christian McCaffrey,7,42.1,27.19,14.91
1820,Jordan Mason,3,26.6,11.72,14.88
401,C.J. Stroud,5,28.76,13.89,14.87
1562,Jameson Williams,10,26.9,12.24,14.66
1813,Jordan Love,8,31.3,16.65,14.65
125,Amon-Ra St. Brown,4,26.0,11.36,14.64
2789,Rome Odunze,2,34.8,20.2,14.6
277,Bo Nix,7,39.96,25.41,14.55
3476,Zay Flowers,1,31.1,16.79,14.31
1199,George Kittle,11,24.7,10.55,14.15
1030,Drake London,10,27.4,13.41,13.99
3081,Tory Horton,9,20.8,6.91,13.89
1847,Josh Allen,9,28.82,14.95,13.87
1495,Jalen Hurts,7,27.04,13.18,13.86
2645,Puka Nacua,4,39.0,25.2,13.8
556,Chris Olave,7,26.8,13.12,13.68
3370,Wan'Dale Robinson,2,31.2,17.54,13.66
453,Cam Skattebo,6,31.0,17.37,13.63
2347,Marquise Brown,6,20.5,6.87,13.63
1365,Ja'Marr Chase,2,39.5,25.97,13.53
1210,George Pickens,11,32.4,18.91,13.49
1555,Jameson Williams,2,21.8,8.36,13.44
3204,Tua Tagovailoa,8,24.2,10.78,13.42
420,Caleb Williams,3,29.12,15.72,13.4
1746,Joe Flacco,9,36.7,23.37,13.33
2201,Ladd McConkey,10,23.7,10.4,13.3
1358,JJ McCarthy,1,23.22,10.06,13.16
14,AJ Barner,5,24.3,11.22,13.08
33,Aaron Rodgers,1,25.66,12.65,13.01
738,Dallas Goedert,8,17.8,4.8,13.0
613,Cody White,9,13.0,0.0,13.0
396,Bucky Irving,4,29.5,16.54,12.96
2652,Quentin Johnston,1,24.9,12.07,12.83
995,Devontez Walker,2,16.6,3.78,12.82
1496,Jalen Hurts,8,25.36,12.55,12.81
1846,Josh Allen,8,23.22,10.57,12.65
1573,Jared Goff,10,27.8,15.24,12.56
3182,Trey McBride,11,30.5,17.96,12.54
1932,Justin Fields,4,28.14,15.65,12.49
3193,Troy Franklin,8,26.9,14.41,12.49
734,Dallas Goedert,4,19.7,7.22,12.48
1975,Juwan Johnson,10,19.2,6.72,12.48
1035,Drake Maye,4,23.22,10.78,12.44
2078,Kenneth Walker,2,21.8,9.43,12.37
2643,Puka Nacua,2,27.6,15.24,12.36
1135,Emeka Egbuka,1,23.6,11.24,12.36
667,Courtland Sutton,3,26.8,14.44,12.36
3223,Tutu Atwell,4,15.8,3.45,12.35
1181,Geno Smith,3,26.06,13.91,12.15
725,Dak Prescott,5,28.28,16.15,12.13
489,CeeDee Lamb,7,25.0,13.02,11.98
1550,James Cook,12,24.9,12.93,11.97
2633,Patrick Mahomes,6,31.48,19.62,11.86
1942,Justin Herbert,1,30.92,19.07,11.85
1691,Jeremy McNichols,3,13.8,1.97,11.83
9,A.J. Brown,12,28.0,16.17,11.83
3408,Xavier Hutchinson,5,16.8,5.06,11.74
2204,Lamar Jackson,2,26.3,14.58,11.72
252,Bijan Robinson,11,33.3,21.6,11.7
2814,Russell Wilson,2,34.3,22.6,11.7
1608,Jaxon Smith-Njigba,6,33.2,21.51,11.69
513,Chase Brown,8,25.5,13.84,11.66
3027,Tez Johnson,10,20.2,8.54,11.66
1541,James Cook,2,29.5,17.89,11.61
2207,Lamar Jackson,9,25.56,13.98,11.58
915,DeMario Douglas,9,23.0,11.44,11.56
827,Davante Adams,7,26.5,14.95,11.55
772,Daniel Jones,1,29.48,17.93,11.55
1026,Drake London,4,28.0,16.47,11.53
591,Christian Watson,11,20.6,9.26,11.34
246,Bijan Robinson,4,31.1,19.81,11.29
2075,Kenneth Gainwell,11,29.5,18.27,11.23
206,Baker Mayfield,5,29.66,18.48,11.18
1865,Josh Jacobs,6,32.0,20.83,11.17
706,DJ Moore,9,22.98,11.82,11.16
3234,Ty Johnson,11,15.0,3.85,11.15
2009,Kareem Hunt,5,18.7,7.66,11.04
2109,Khalil Shakir,8,20.8,9.8,11.0
2770,Rico Dowdle,9,31.1,20.1,11.0
2197,Ladd McConkey,6,26.0,15.09,10.91
2365,Marvin Mims,4,20.5,9.59,10.91
1843,Josh Allen,4,25.86,15.01,10.85
2402,Matthew Stafford,4,30.4,19.56,10.84
1810,Jordan Love,4,30.28,19.5,10.78
709,DJ Moore,12,23.4,12.66,10.74
2846,Sam LaPorta,5,20.2,9.48,10.72
736,Dallas Goedert,6,29.0,18.33,10.67
2767,Rico Dowdle,6,36.9,26.27,10.63
1459,Jake Ferguson,7,21.9,11.32,10.58
1649,Jaylen Waddle,5,26.0,15.5,10.5
809,Darnell Mooney,12,16.4,5.9,10.5
559,Chris Olave,10,24.4,13.95,10.45
2863,Saquon Barkley,5,17.8,7.43,10.37
1652,Jaylen Waddle,8,20.9,10.57,10.33
818,Darren Waller,4,17.7,7.38,10.32
2170,Kyle Williams,10,14.2,3.96,10.24
1033,Drake Maye,2,26.3,16.08,10.22
828,Davante Adams,9,23.0,12.8,10.2
3144,TreVeyon Henderson,11,32.3,22.1,10.2
1569,Jared Goff,5,21.12,10.93,10.19
767,Daniel Bellinger,7,17.8,7.63,10.17
1930,Justin Fields,1,29.52,19.35,10.17
1039,Drake Maye,8,27.28,17.12,10.16
1266,Hunter Henry,3,29.0,18.84,10.16
2705,Rashee Rice,8,25.5,15.38,10.12
1275,Hunter Henry,12,27.5,17.39,10.11
2106,Khalil Shakir,4,17.9,7.79,10.11
2595,Oronde Gadsden,8,18.7,8.61,10.09
898,DeAndre Hopkins,2,14.4,4.33,10.07
2205,Lamar Jackson,3,27.02,16.96,10.06
2156,Kyle Pitts,4,18.0,7.96,10.04
1605,Jaxon Smith-Njigba,3,20.6,10.63,9.97
3394,Woody Marks,4,27.9,17.95,9.95
1619,Jaxson Dart,7,29.42,19.48,9.94
2234,Luke McCaffrey,3,14.6,4.67,9.93
132,Amon-Ra St. Brown,12,32.9,22.99,9.91
1610,Jaxon Smith-Njigba,9,25.0,15.11,9.89
3342,Tyrell Shavers,11,19.0,9.13,9.87
2012,Kareem Hunt,8,17.2,7.37,9.83
1781,Jonathan Taylor,5,31.6,21.83,9.77
2667,Quinshon Judkins,7,26.4,16.63,9.77
2442,Michael Pittman Jr.,3,19.3,9.58,9.72
278,Bo Nix,8,24.78,15.11,9.67
