"Player","Pos","Team","Opp","DK Proj","FD Proj","FFPC Proj","Standard Proj","Half PPR Proj","Full PPR Proj","DK Ceiling","FD Ceiling","Slate"
"Jonathan Taylor","RB","IND","TEN","26.2","24.5","24.7","21.5","23.0","24.6","42.3","40.3","Main"
"Patrick Mahomes","QB","KC","WAS","24.5","24.3","25.5","22.6","22.6","22.6","35.5","35.5","Monday"
"Bijan Robinson","RB","ATL","MIA","23.9","21.4","22.8","18.0","20.4","22.7","39.3","36.2","Main"
"Christian McCaffrey","RB","SF","@HOU","23.8","20.8","22.8","17.0","19.8","22.7","38.0","34.2","Main"
"Ja'Marr Chase","WR","CIN","NYJ","22.8","18.8","21.6","13.7","17.6","21.5","38.2","32.7","Main"
"Josh Allen","QB","BUF","@CAR","22.3","22.1","23.4","20.9","20.9","20.9","33.9","33.9","Main"
"Jalen Hurts","QB","PHI","NYG","22.0","21.7","23.2","20.7","20.7","20.7","33.0","32.9","Main"
"Lamar Jackson","QB","BAL","CHI","21.9","21.7","23.1","20.5","20.5","20.5","34.0","33.9","Main"
"Bo Nix","QB","DEN","DAL","21.9","21.7","22.9","20.3","20.3","20.3","33.0","33.0","Main"
"Baker Mayfield","QB","TB","@NO","21.1","20.9","22.2","19.4","19.4","19.4","32.2","32.2","Main"
"De'Von Achane","RB","MIA","@ATL","20.8","18.2","20.1","15.0","17.5","19.9","34.0","30.7","Main"
"Daniel Jones","QB","IND","TEN","20.7","20.5","21.8","19.0","19.0","19.0","32.5","32.5","Main"
"Justin Herbert","QB","LAC","MIN","20.5","20.2","21.5","18.6","18.6","18.6","31.6","31.5","Thursday"
"Saquon Barkley","RB","PHI","NYG","20.2","18.7","18.9","16.2","17.5","18.8","34.2","32.5","Main"
"Drake Maye","QB","NE","CLE","20.0","19.7","21.1","18.6","18.6","18.6","30.6","30.5","Main"
"Rachaad White","RB","TB","@NO","19.8","17.9","19.0","15.3","17.1","18.9","33.9","31.5","Main"
"Dak Prescott","QB","DAL","@DEN","19.3","19.1","20.3","17.5","17.5","17.5","29.7","29.7","Main"
"James Cook","RB","BUF","@CAR","19.2","18.0","18.1","15.9","16.9","18.0","33.1","31.6","Main"
"CeeDee Lamb","WR","DAL","@DEN","19.1","15.8","18.1","11.5","14.8","18.1","33.3","28.6","Main"
"Jordan Love","QB","GB","@PIT","18.9","18.8","20.0","17.2","17.2","17.2","29.5","29.5","Sunday"
"Josh Jacobs","RB","GB","@PIT","18.8","17.2","18.0","14.9","16.4","17.9","32.1","30.0","Sunday"
"Emeka Egbuka","WR","TB","@NO","18.7","15.8","17.8","12.1","14.9","17.7","33.4","29.3","Main"
"Rashee Rice","WR","KC","WAS","18.3","14.8","17.6","10.7","14.1","17.6","32.0","27.1","Monday"
"Jaxson Dart","QB","NYG","@PHI","18.2","17.9","19.0","16.7","16.7","16.7","28.4","28.3","Main"
"Caleb Williams","QB","CHI","@BAL","18.1","17.8","19.3","16.7","16.7","16.7","28.7","28.6","Main"
"Spencer Rattler","QB","NO","TB","17.9","17.7","19.0","16.3","16.3","16.3","28.2","28.1","Main"
